,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
filles,0.04491725768321513,0.0508274231678487,0.03546099290780142,0.057919621749408984,0.03309692671394799,0.11465721040189125,0.20803782505910165,0.04728132387706856,0.031914893617021274,0.1288416075650118
femmes,0.03832752613240418,0.05226480836236934,0.027874564459930314,0.05226480836236934,0.03484320557491289,0.09988385598141696,0.2183507549361208,0.04413472706155633,0.0313588850174216,0.13588850174216027
hommes,0.056504599211563734,0.05387647831800263,0.035479632063074903,0.07752956636005257,0.04204993429697766,0.11432325886990802,0.20630749014454666,0.052562417871222074,0.05387647831800263,0.1314060446780552
femelles,0.04523809523809524,0.05238095238095238,0.02619047619047619,0.055952380952380955,0.036904761904761905,0.11666666666666667,0.20357142857142857,0.04642857142857143,0.03333333333333333,0.1380952380952381
mâles,0.05422446406052964,0.05044136191677175,0.03783102143757881,0.07313997477931904,0.0403530895334174,0.1210592686002522,0.19546027742749053,0.05296343001261034,0.044136191677175286,0.13366960907944514
garçons,0.04904306220095694,0.04904306220095694,0.03110047846889952,0.05980861244019139,0.028708133971291867,0.11483253588516747,0.19497607655502391,0.04784688995215311,0.03588516746411483,0.12799043062200957
petits amis,0.041820418204182044,0.05166051660516605,0.02706027060270603,0.06642066420664207,0.04428044280442804,0.11439114391143912,0.2115621156211562,0.06150061500615006,0.03198031980319803,0.13284132841328414
petites amies,0.0324254215304799,0.04409857328145266,0.018158236057068743,0.04928664072632944,0.040207522697795074,0.0946822308690013,0.20752269779507135,0.04928664072632944,0.028534370946822308,0.12710765239948119
belles-mères,0.03455964325529543,0.059085841694537344,0.014492753623188406,0.045707915273132664,0.045707915273132664,0.09364548494983277,0.21070234113712374,0.04013377926421405,0.026755852842809364,0.12931995540691194
beaux-pères,0.04489337822671156,0.06734006734006734,0.025813692480359147,0.05387205387205387,0.04826038159371493,0.09764309764309764,0.20089786756453423,0.03928170594837262,0.038159371492704826,0.12457912457912458
dames,0.03803680981595092,0.06012269938650307,0.0196319018404908,0.06012269938650307,0.03680981595092025,0.09815950920245399,0.21717791411042944,0.05030674846625767,0.033128834355828224,0.13496932515337423
messieurs,0.05512820512820513,0.05,0.02564102564102564,0.07564102564102564,0.03333333333333333,0.11923076923076924,0.20512820512820512,0.04871794871794872,0.04871794871794872,0.1371794871794872
frères,0.04579207920792079,0.04579207920792079,0.027227722772277228,0.07425742574257425,0.0297029702970297,0.12004950495049505,0.19306930693069307,0.0594059405940594,0.043316831683168314,0.12871287128712872
sœurs,0.03909952606635071,0.0485781990521327,0.02014218009478673,0.05924170616113744,0.02962085308056872,0.0971563981042654,0.1966824644549763,0.04739336492890995,0.03672985781990521,0.13507109004739337
mères,0.038686987104337635,0.05509964830011723,0.022274325908558032,0.05275498241500586,0.03751465416178194,0.10785463071512309,0.21101992966002345,0.044548651817116064,0.03399765533411489,0.13481828839390386
pères,0.05121951219512195,0.045121951219512194,0.02804878048780488,0.06829268292682927,0.03536585365853658,0.11585365853658537,0.1975609756097561,0.05,0.045121951219512194,0.1353658536585366
grands-pères,0.0397196261682243,0.05724299065420561,0.026869158878504672,0.0630841121495327,0.04672897196261682,0.102803738317757,0.21495327102803738,0.0455607476635514,0.04672897196261682,0.1308411214953271
grand-mères,0.03225806451612903,0.059907834101382486,0.018433179723502304,0.05414746543778802,0.044930875576036866,0.09907834101382489,0.2073732718894009,0.04032258064516129,0.03686635944700461,0.1336405529953917
mariées,0.03981797497155859,0.05688282138794084,0.020477815699658702,0.048919226393629126,0.03640500568828214,0.09442548350398179,0.19112627986348124,0.04209328782707622,0.034129692832764506,0.12400455062571103
mariés,0.04561824729891957,0.05402160864345738,0.024009603841536616,0.060024009603841535,0.04441776710684274,0.10204081632653061,0.18967587034813926,0.04561824729891957,0.03841536614645858,0.1368547418967587
écolières,0.03349282296650718,0.056220095693779906,0.014354066985645933,0.050239234449760764,0.034688995215311005,0.10287081339712918,0.1901913875598086,0.04066985645933014,0.03229665071770335,0.12679425837320574
écoliers,0.0392638036809816,0.049079754601226995,0.014723926380368098,0.06503067484662577,0.025766871165644172,0.10920245398773006,0.18159509202453988,0.05030674846625767,0.03558282208588957,0.12515337423312883
mamans,0.0392156862745098,0.058823529411764705,0.02306805074971165,0.05651672433679354,0.04498269896193772,0.1118800461361015,0.22029988465974626,0.040369088811995385,0.03806228373702422,0.13264129181084197
papas,0.042091836734693876,0.04081632653061224,0.025510204081632654,0.06505102040816327,0.03443877551020408,0.10714285714285714,0.19770408163265307,0.05229591836734694,0.039540816326530615,0.1326530612244898
