,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
studenti,0.04020979020979021,0.06293706293706294,0.026223776223776224,0.038461538461538464,0.03496503496503497,0.08741258741258741,0.14335664335664336,0.050699300699300696,0.017482517482517484,0.1381118881118881
političari,0.04159132007233273,0.0650994575045208,0.027124773960216998,0.03616636528028933,0.048824593128390596,0.0867992766726944,0.17540687160940324,0.0433996383363472,0.0216998191681736,0.15913200723327306
liječnici,0.03146853146853147,0.06468531468531469,0.024475524475524476,0.03496503496503497,0.03496503496503497,0.07867132867132867,0.1381118881118881,0.04195804195804196,0.02097902097902098,0.1381118881118881
poslovni ljudi,0.04580152671755725,0.06259541984732825,0.022900763358778626,0.04122137404580153,0.03969465648854962,0.09465648854961832,0.1633587786259542,0.051908396946564885,0.0183206106870229,0.1450381679389313
knjižničari,0.03496503496503497,0.06293706293706294,0.027972027972027972,0.03496503496503497,0.038461538461538464,0.08216783216783216,0.15034965034965034,0.045454545454545456,0.019230769230769232,0.1381118881118881
umjetnici,0.03529411764705882,0.06386554621848739,0.02857142857142857,0.03865546218487395,0.0453781512605042,0.08235294117647059,0.16302521008403362,0.043697478991596636,0.021848739495798318,0.1411764705882353
profesori,0.03819444444444445,0.0625,0.026041666666666668,0.029513888888888888,0.041666666666666664,0.07291666666666667,0.1597222222222222,0.034722222222222224,0.015625,0.14583333333333334
svećenici,0.03368794326241135,0.05673758865248227,0.024822695035460994,0.03723404255319149,0.03546099290780142,0.07801418439716312,0.14893617021276595,0.03900709219858156,0.01950354609929078,0.1347517730496454
šefovi,0.0391156462585034,0.05612244897959184,0.02891156462585034,0.04081632653061224,0.03571428571428571,0.08843537414965986,0.15816326530612246,0.04591836734693878,0.015306122448979591,0.1445578231292517
policajci,0.03372681281618887,0.06408094435075885,0.023608768971332208,0.0387858347386172,0.04215851602023609,0.08094435075885328,0.15345699831365936,0.04215851602023609,0.021922428330522766,0.14502529510961215
policajci,0.03372681281618887,0.06408094435075885,0.023608768971332208,0.0387858347386172,0.04215851602023609,0.08094435075885328,0.15345699831365936,0.04215851602023609,0.021922428330522766,0.14502529510961215
vojnici,0.036065573770491806,0.06557377049180328,0.02459016393442623,0.036065573770491806,0.03934426229508197,0.07868852459016394,0.1540983606557377,0.04262295081967213,0.021311475409836064,0.14426229508196722
znanstvenici,0.03546099290780142,0.06560283687943262,0.02304964539007092,0.03546099290780142,0.031914893617021274,0.0673758865248227,0.16134751773049646,0.030141843971631204,0.02304964539007092,0.15425531914893617
liječnici,0.03146853146853147,0.06468531468531469,0.024475524475524476,0.03496503496503497,0.03496503496503497,0.07867132867132867,0.1381118881118881,0.04195804195804196,0.02097902097902098,0.1381118881118881
Blagajnici,0.029465930018416207,0.07918968692449356,0.027624309392265192,0.03683241252302026,0.04604051565377532,0.0865561694290976,0.15469613259668508,0.049723756906077346,0.02578268876611418,0.14917127071823205
domaćice,0.030206677265500796,0.06995230524642289,0.017488076311605722,0.0397456279809221,0.034976152623211444,0.0794912559618442,0.1573926868044515,0.0397456279809221,0.02702702702702703,0.13195548489666137
učitelji,0.04013961605584642,0.059336823734729496,0.020942408376963352,0.03664921465968586,0.03664921465968586,0.08551483420593368,0.15532286212914484,0.04537521815008726,0.012216404886561954,0.14136125654450263
domari,0.047697368421052634,0.07072368421052631,0.03125,0.044407894736842105,0.03453947368421053,0.09868421052631579,0.13815789473684212,0.05263157894736842,0.027960526315789474,0.1299342105263158
modeli,0.04107424960505529,0.06003159557661927,0.023696682464454975,0.036334913112164295,0.03317535545023697,0.08846761453396525,0.14218009478672985,0.04265402843601896,0.01579778830963665,0.14218009478672985
glumice,0.040880503144654086,0.0660377358490566,0.0220125786163522,0.04559748427672956,0.03459119496855346,0.0959119496855346,0.13836477987421383,0.0440251572327044,0.025157232704402517,0.12264150943396226
piloti,0.036303630363036306,0.07095709570957096,0.0231023102310231,0.036303630363036306,0.037953795379537955,0.08085808580858085,0.15346534653465346,0.04785478547854786,0.0165016501650165,0.14356435643564355
striptizete,0.038461538461538464,0.07396449704142012,0.028106508875739646,0.03254437869822485,0.04142011834319527,0.07840236686390532,0.14644970414201183,0.03698224852071006,0.03254437869822485,0.12130177514792899
posrednici,0.036163522012578615,0.0770440251572327,0.02358490566037736,0.03773584905660377,0.03930817610062893,0.08647798742138364,0.14465408805031446,0.04245283018867924,0.025157232704402517,0.13522012578616352
frizeri,0.041666666666666664,0.07211538461538461,0.02564102564102564,0.04006410256410257,0.041666666666666664,0.09134615384615384,0.14743589743589744,0.04807692307692308,0.02564102564102564,0.1346153846153846
barmeni,0.03755868544600939,0.0782472613458529,0.028169014084507043,0.0406885758998435,0.03912363067292645,0.09546165884194054,0.13771517996870108,0.050078247261345854,0.03599374021909233,0.12206572769953052
diplomati,0.03225806451612903,0.06451612903225806,0.025806451612903226,0.02903225806451613,0.035483870967741936,0.08064516129032258,0.14193548387096774,0.041935483870967745,0.016129032258064516,0.14193548387096774
recepcionari,0.038109756097560975,0.06707317073170732,0.024390243902439025,0.038109756097560975,0.03048780487804878,0.08231707317073171,0.1402439024390244,0.04573170731707317,0.022865853658536585,0.12957317073170732
trgovci nekretninama,0.05216095380029806,0.05961251862891207,0.03129657228017884,0.037257824143070044,0.037257824143070044,0.07749627421758569,0.15052160953800298,0.037257824143070044,0.026825633383010434,0.12369597615499255
matematičari,0.03826955074875208,0.0632279534109817,0.021630615640599003,0.03494176372712146,0.03494176372712146,0.07653910149750416,0.1447587354409318,0.04326123128119801,0.018302828618968387,0.13810316139767054
brijači,0.03745928338762215,0.07166123778501629,0.02768729641693811,0.043973941368078175,0.04071661237785016,0.09771986970684039,0.13517915309446255,0.050488599348534204,0.024429967426710098,0.13517915309446255
treneri,0.03305785123966942,0.06115702479338843,0.021487603305785124,0.03140495867768595,0.04132231404958678,0.07272727272727272,0.1487603305785124,0.03801652892561983,0.013223140495867768,0.14380165289256197
Poslovni ljudi,0.04195804195804196,0.055944055944055944,0.022727272727272728,0.04195804195804196,0.02972027972027972,0.09265734265734266,0.13986013986013987,0.05244755244755245,0.015734265734265736,0.14160839160839161
Građevinski radnici,0.03826955074875208,0.06156405990016639,0.016638935108153077,0.04326123128119801,0.03494176372712146,0.08319467554076539,0.1497504159733777,0.04658901830282862,0.013311148086522463,0.13643926788685523
menadžeri,0.031198686371100164,0.05747126436781609,0.019704433497536946,0.031198686371100164,0.03776683087027915,0.0722495894909688,0.1510673234811166,0.042692939244663386,0.013136288998357963,0.14285714285714285
računovođe,0.04038772213247173,0.05977382875605816,0.025848142164781908,0.03231017770597738,0.04038772213247173,0.07269789983844911,0.1631663974151858,0.04361873990306947,0.017770597738287562,0.1470113085621971
zapovjednici,0.03130148270181219,0.06589785831960461,0.023064250411861616,0.036243822075782535,0.04118616144975288,0.07084019769357495,0.15485996705107083,0.04118616144975288,0.018121911037891267,0.13179571663920922
vatrogasci,0.0420032310177706,0.06946688206785137,0.027463651050080775,0.045234248788368334,0.04361873990306947,0.09208400646203554,0.1421647819063005,0.051696284329563816,0.024232633279483037,0.13408723747980614
pokretači,0.04258675078864353,0.061514195583596214,0.02996845425867508,0.04258675078864353,0.03470031545741325,0.10094637223974763,0.13722397476340695,0.052050473186119876,0.01892744479495268,0.1309148264984227
odvjetnici,0.033707865168539325,0.06902086677367576,0.025682182985553772,0.03531300160513644,0.04173354735152488,0.0738362760834671,0.15890850722311398,0.04012841091492777,0.024077046548956663,0.13964686998394862
