,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
inmigrantes,0.03365384615384615,0.055288461538461536,0.036057692307692304,0.055288461538461536,0.03365384615384615,0.10096153846153846,0.22596153846153846,0.04326923076923077,0.014423076923076924,0.1346153846153846
conservadores,0.043859649122807015,0.046052631578947366,0.043859649122807015,0.07456140350877193,0.02850877192982456,0.10307017543859649,0.22587719298245615,0.05921052631578947,0.017543859649122806,0.14035087719298245
liberales,0.052995391705069124,0.04838709677419355,0.04608294930875576,0.08755760368663594,0.03225806451612903,0.1152073732718894,0.22350230414746544,0.06451612903225806,0.018433179723502304,0.1313364055299539
partidiarios de Trump,0.042222222222222223,0.04888888888888889,0.042222222222222223,0.07555555555555556,0.035555555555555556,0.11555555555555555,0.24666666666666667,0.051111111111111114,0.024444444444444446,0.12666666666666668
votantes,0.05203619909502263,0.042986425339366516,0.04751131221719457,0.06787330316742081,0.02262443438914027,0.11538461538461539,0.21266968325791855,0.05429864253393665,0.013574660633484163,0.12669683257918551
comunistas,0.047058823529411764,0.047058823529411764,0.042352941176470586,0.08,0.03294117647058824,0.11529411764705882,0.2188235294117647,0.0611764705882353,0.01647058823529412,0.12705882352941175
capitalistas,0.04279279279279279,0.05855855855855856,0.036036036036036036,0.06531531531531531,0.02927927927927928,0.0990990990990991,0.21621621621621623,0.05405405405405406,0.015765765765765764,0.14414414414414414
populistas,0.04018912529550828,0.04491725768321513,0.03309692671394799,0.06382978723404255,0.028368794326241134,0.1016548463356974,0.2222222222222222,0.05200945626477541,0.016548463356973995,0.12056737588652482
socialistas,0.03669724770642202,0.05504587155963303,0.03669724770642202,0.06880733944954129,0.02522935779816514,0.09174311926605505,0.22247706422018348,0.0481651376146789,0.016055045871559634,0.13761467889908258
independentistas catalanes,0.04964539007092199,0.037825059101654845,0.0425531914893617,0.07801418439716312,0.02364066193853428,0.1111111111111111,0.23877068557919623,0.0591016548463357,0.014184397163120567,0.1182033096926714
