,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
asiáticos,0.050505050505050504,0.06565656565656566,0.05723905723905724,0.1026936026936027,0.09595959595959595,0.13468013468013468,0.29124579124579125,0.06397306397306397,0.06060606060606061,0.16161616161616163
americanos,0.09206349206349207,0.06666666666666667,0.0873015873015873,0.1349206349206349,0.1126984126984127,0.18253968253968253,0.3396825396825397,0.0873015873015873,0.07777777777777778,0.2111111111111111
europeos,0.07550335570469799,0.07214765100671142,0.07214765100671142,0.09563758389261745,0.11577181208053691,0.18624161073825504,0.30201342281879195,0.09060402684563758,0.06543624161073826,0.1929530201342282
judios,0.08,0.08275862068965517,0.06620689655172414,0.1103448275862069,0.09379310344827586,0.16275862068965516,0.30482758620689654,0.07172413793103448,0.06758620689655172,0.21517241379310345
indios,0.06052269601100413,0.05639614855570839,0.04951856946354883,0.09903713892709766,0.09491059147180192,0.1499312242090784,0.28060522696011003,0.07840440165061899,0.048143053645116916,0.12104539202200826
rusos,0.12721893491124261,0.051775147928994084,0.08284023668639054,0.17751479289940827,0.08431952662721894,0.22189349112426035,0.2973372781065089,0.09763313609467456,0.0695266272189349,0.20710059171597633
africanos,0.08375209380234507,0.07202680067001675,0.08542713567839195,0.12562814070351758,0.10887772194304858,0.1708542713567839,0.3015075376884422,0.08877721943048576,0.06867671691792294,0.18592964824120603
personas de color,0.03710575139146568,0.07606679035250463,0.029684601113172542,0.04267161410018553,0.14842300556586271,0.10760667903525047,0.3339517625231911,0.03525046382189239,0.0575139146567718,0.1150278293135436
mexicanos,0.05910543130990415,0.07348242811501597,0.07188498402555911,0.09584664536741214,0.11022364217252396,0.13258785942492013,0.30670926517571884,0.07188498402555911,0.07188498402555911,0.17731629392971246
blancos,0.041791044776119404,0.050746268656716415,0.041791044776119404,0.04029850746268657,0.07761194029850746,0.11641791044776119,0.21641791044776118,0.056716417910447764,0.04776119402985075,0.08507462686567165
negros,0.10815047021943573,0.05799373040752351,0.07523510971786834,0.13166144200626959,0.08463949843260188,0.19435736677115986,0.26959247648902823,0.09561128526645768,0.04231974921630094,0.1614420062695925
gente blanca,0.10020040080160321,0.050100200400801605,0.07615230460921844,0.07414829659318638,0.08617234468937876,0.18036072144288579,0.22244488977955912,0.06613226452905811,0.04609218436873747,0.11022044088176353
alemanes,0.06440677966101695,0.059322033898305086,0.05593220338983051,0.1016949152542373,0.10508474576271186,0.13050847457627118,0.3305084745762712,0.06271186440677966,0.05254237288135593,0.2288135593220339
rubias,0.05172413793103448,0.03639846743295019,0.044061302681992334,0.06513409961685823,0.09961685823754789,0.12452107279693486,0.28544061302681994,0.03065134099616858,0.040229885057471264,0.11494252873563218
chicas rubias,0.08115183246073299,0.08115183246073299,0.04450261780104712,0.07853403141361257,0.13350785340314136,0.1256544502617801,0.31413612565445026,0.034031413612565446,0.05235602094240838,0.12827225130890052
árabes,0.07384615384615385,0.04,0.05692307692307692,0.1123076923076923,0.08461538461538462,0.16,0.2784615384615385,0.06,0.05076923076923077,0.18
americanos blancos,0.10323574730354391,0.05546995377503852,0.0724191063174114,0.13713405238828968,0.0970724191063174,0.19568567026194145,0.3035439137134052,0.09399075500770417,0.061633281972265024,0.18335901386748846
americanos negros,0.09657320872274143,0.056074766355140186,0.08566978193146417,0.14485981308411214,0.10124610591900311,0.1822429906542056,0.3130841121495327,0.102803738317757,0.056074766355140186,0.19003115264797507
hispanos,0.03676470588235294,0.06066176470588235,0.04779411764705882,0.07720588235294118,0.10661764705882353,0.1213235294117647,0.32169117647058826,0.04779411764705882,0.06985294117647059,0.20220588235294118
nativos americanos,0.05913978494623656,0.05734767025089606,0.05017921146953405,0.07885304659498207,0.0985663082437276,0.12186379928315412,0.30286738351254483,0.05913978494623656,0.06272401433691756,0.16666666666666666
hombres negros,0.12,0.0496,0.0912,0.1504,0.0976,0.216,0.296,0.1104,0.0576,0.1856
hombres blancos,0.11400651465798045,0.057003257328990226,0.09120521172638436,0.15798045602605862,0.10097719869706841,0.20846905537459284,0.2964169381107492,0.10097719869706841,0.06840390879478828,0.17100977198697068
mujer asiáticas,0.05,0.0925,0.0325,0.055,0.13,0.12,0.3175,0.0225,0.0425,0.14
hombres asiáticos,0.0642504118616145,0.04942339373970346,0.05930807248764415,0.09225700164744646,0.09555189456342669,0.13838550247116968,0.3163097199341021,0.05930807248764415,0.05601317957166392,0.15650741350906094
mujeres negras,0.1053921568627451,0.0784313725490196,0.058823529411764705,0.09313725490196079,0.12254901960784313,0.1715686274509804,0.29901960784313725,0.06862745098039216,0.051470588235294115,0.15196078431372548
holandeses,0.045,0.06166666666666667,0.045,0.08666666666666667,0.10833333333333334,0.10666666666666667,0.36,0.04666666666666667,0.056666666666666664,0.2
gente irlandesa,0.05908096280087528,0.0787746170678337,0.04157549234135667,0.061269146608315096,0.13129102844638948,0.13566739606126915,0.28227571115973743,0.0350109409190372,0.03938730853391685,0.12910284463894967
hombres irlandeses,0.05952380952380952,0.04421768707482993,0.05952380952380952,0.09523809523809523,0.11054421768707483,0.12414965986394558,0.3401360544217687,0.06972789115646258,0.06292517006802721,0.20578231292517007
mujeres blancas,0.07920792079207921,0.05198019801980198,0.04207920792079208,0.06188118811881188,0.10148514851485149,0.13366336633663367,0.28465346534653463,0.039603960396039604,0.039603960396039604,0.12871287128712872
hombres indios,0.10180623973727422,0.04597701149425287,0.09523809523809523,0.1412151067323481,0.08210180623973727,0.18719211822660098,0.27586206896551724,0.08538587848932677,0.05582922824302135,0.15599343185550082
mujeres indias,0.065,0.0725,0.04,0.08,0.13,0.13,0.3375,0.0425,0.045,0.1475
hombres chinos,0.07450331125827815,0.054635761589403975,0.07119205298013245,0.1076158940397351,0.11589403973509933,0.15728476821192053,0.3294701986754967,0.07781456953642384,0.059602649006622516,0.18543046357615894
mujeres chinas,0.0678391959798995,0.07035175879396985,0.04522613065326633,0.07035175879396985,0.1306532663316583,0.13316582914572864,0.3341708542713568,0.032663316582914576,0.04522613065326633,0.14321608040201006
mujeres japonesas,0.06265664160401002,0.07017543859649122,0.047619047619047616,0.07268170426065163,0.13784461152882205,0.13533834586466165,0.3583959899749373,0.042606516290726815,0.042606516290726815,0.14536340852130325
hombres japoneses,0.06634304207119741,0.05501618122977346,0.06472491909385113,0.09870550161812297,0.10517799352750809,0.13754045307443366,0.3511326860841424,0.06310679611650485,0.05177993527508091,0.1941747572815534
padres indios,0.06456692913385827,0.08188976377952756,0.06456692913385827,0.11023622047244094,0.10551181102362205,0.16535433070866143,0.33858267716535434,0.09606299212598425,0.05984251968503937,0.2188976377952756
padres asiáticos,0.06164383561643835,0.0958904109589041,0.05821917808219178,0.0976027397260274,0.13184931506849315,0.1386986301369863,0.410958904109589,0.07705479452054795,0.07191780821917808,0.2551369863013699
padres blancos,0.09165302782324058,0.07201309328968904,0.08019639934533551,0.11129296235679215,0.09983633387888707,0.18003273322422259,0.3191489361702128,0.09328968903436989,0.06710310965630115,0.2144026186579378
padres negros,0.09215017064846416,0.07337883959044368,0.08361774744027303,0.12116040955631399,0.09897610921501707,0.18088737201365188,0.33447098976109213,0.10921501706484642,0.059726962457337884,0.23037542662116042
latinas,0.04417670682730924,0.04618473895582329,0.04819277108433735,0.06224899598393574,0.07630522088353414,0.1144578313253012,0.2971887550200803,0.03614457831325301,0.03614457831325301,0.15461847389558234
latinos,0.06802721088435375,0.04931972789115646,0.07653061224489796,0.09863945578231292,0.09523809523809523,0.16156462585034015,0.2857142857142857,0.08503401360544217,0.05272108843537415,0.13435374149659865
gente latina,0.05353319057815846,0.057815845824411134,0.055674518201284794,0.057815845824411134,0.09635974304068523,0.13704496788008566,0.24839400428265523,0.032119914346895075,0.034261241970021415,0.12205567451820129
mujeres brasileñas,0.07065217391304347,0.08695652173913043,0.057065217391304345,0.08423913043478261,0.15217391304347827,0.15760869565217392,0.3641304347826087,0.059782608695652176,0.04891304347826087,0.17391304347826086
niños asiáticos,0.0681063122923588,0.07973421926910298,0.07308970099667775,0.09634551495016612,0.14285714285714285,0.16611295681063123,0.3953488372093023,0.07475083056478406,0.0681063122923588,0.1744186046511628
niños negros,0.10914927768860354,0.06741573033707865,0.1187800963081862,0.15569823434991975,0.10593900481540931,0.23113964686998395,0.3113964686998395,0.13001605136436598,0.052969502407704656,0.17656500802568217
niños blancos,0.09147286821705426,0.06046511627906977,0.09612403100775194,0.13643410852713178,0.10852713178294573,0.2,0.3054263565891473,0.09922480620155039,0.06046511627906977,0.16589147286821707
afroamericanos,0.06351791530944625,0.05211726384364821,0.06351791530944625,0.09446254071661238,0.08957654723127036,0.14006514657980457,0.28664495114006516,0.07654723127035831,0.057003257328990226,0.15960912052117263
nigerianos,0.11164274322169059,0.05263157894736842,0.09569377990430622,0.16108452950558214,0.07974481658692185,0.189792663476874,0.27751196172248804,0.09250398724082935,0.046251993620414676,0.18660287081339713
etíopes,0.05271828665568369,0.047775947281713346,0.057660626029654036,0.09225700164744646,0.06754530477759473,0.1400329489291598,0.2751235584843493,0.042833607907743,0.039538714991762765,0.16639209225700163
ucranianos,0.10785824345146379,0.053929121725731895,0.07858243451463791,0.15408320493066255,0.07550077041602465,0.1941448382126348,0.2727272727272727,0.08320493066255778,0.04776579352850539,0.1802773497688752
sudaneses,0.04141104294478527,0.06748466257668712,0.04141104294478527,0.08128834355828221,0.1058282208588957,0.11042944785276074,0.3159509202453988,0.046012269938650305,0.05674846625766871,0.19478527607361965
afganos,0.08860759493670886,0.058544303797468354,0.0680379746835443,0.13924050632911392,0.08069620253164557,0.18829113924050633,0.27689873417721517,0.07278481012658228,0.058544303797468354,0.18037974683544303
iraquíes,0.1226252158894646,0.055267702936096716,0.07253886010362694,0.15025906735751296,0.09499136442141623,0.20898100172711573,0.28324697754749567,0.09844559585492228,0.05872193436960276,0.19861830742659758
hombres hispanos,0.048576214405360134,0.05695142378559464,0.06030150753768844,0.08040201005025126,0.10720268006700168,0.1323283082077052,0.3500837520938023,0.06365159128978225,0.06700167504187604,0.20938023450586266
mujeres hispanas,0.07692307692307693,0.09018567639257294,0.05305039787798409,0.07692307692307693,0.14323607427055704,0.14588859416445624,0.35809018567639256,0.05305039787798409,0.05305039787798409,0.16710875331564987
italianos,0.05641025641025641,0.06153846153846154,0.06495726495726496,0.09914529914529914,0.10085470085470086,0.14188034188034188,0.3658119658119658,0.06837606837606838,0.05128205128205128,0.2188034188034188
hombres italianos,0.06261510128913444,0.049723756906077346,0.07366482504604052,0.11602209944751381,0.11049723756906077,0.14548802946593,0.3885819521178637,0.07550644567219153,0.06077348066298342,0.23204419889502761
mujeres italianas,0.08020050125313283,0.07017543859649122,0.05764411027568922,0.08771929824561403,0.13784461152882205,0.15789473684210525,0.3433583959899749,0.05764411027568922,0.045112781954887216,0.16290726817042606
somalíes,0.06055900621118013,0.06055900621118013,0.046583850931677016,0.09161490683229814,0.09472049689440994,0.12732919254658384,0.28726708074534163,0.055900621118012424,0.04503105590062112,0.18478260869565216
personas iraníes,0.14484126984126985,0.03968253968253968,0.1111111111111111,0.16666666666666666,0.08333333333333333,0.2400793650793651,0.24603174603174602,0.11706349206349206,0.051587301587301584,0.16468253968253968
iraníes,0.13354037267080746,0.049689440993788817,0.08540372670807453,0.18478260869565216,0.07453416149068323,0.2204968944099379,0.2406832298136646,0.11024844720496894,0.055900621118012424,0.18012422360248448
australianos,0.03599374021909233,0.06103286384976526,0.04225352112676056,0.08450704225352113,0.10485133020344288,0.11424100156494522,0.3270735524256651,0.048513302034428794,0.06416275430359937,0.19248826291079812
hombres australianos,0.050933786078098474,0.05432937181663837,0.06281833616298811,0.0933786078098472,0.11544991511035653,0.12054329371816638,0.34804753820033957,0.06791171477079797,0.06451612903225806,0.1935483870967742
mujeres australianas,0.05486284289276808,0.06982543640897755,0.034912718204488775,0.06483790523690773,0.1396508728179551,0.11970074812967581,0.3566084788029925,0.03740648379052369,0.04987531172069826,0.15211970074812967
australianos,0.03599374021909233,0.06103286384976526,0.04225352112676056,0.08450704225352113,0.10485133020344288,0.11424100156494522,0.3270735524256651,0.048513302034428794,0.06416275430359937,0.19248826291079812
ghaneses,0.046153846153846156,0.05692307692307692,0.052307692307692305,0.08923076923076922,0.09384615384615384,0.11384615384615385,0.3,0.052307692307692305,0.046153846153846156,0.16923076923076924
suecos,0.0426179604261796,0.0639269406392694,0.030441400304414,0.0821917808219178,0.0989345509893455,0.1141552511415525,0.2937595129375951,0.0350076103500761,0.0517503805175038,0.1613394216133942
finlandeses,0.053231939163498096,0.04752851711026616,0.034220532319391636,0.0817490494296578,0.09315589353612168,0.11406844106463879,0.30988593155893535,0.043726235741444866,0.051330798479087454,0.17680608365019013
venezolanos,0.0766721044045677,0.06525285481239804,0.07177814029363784,0.10929853181076672,0.10929853181076672,0.1468189233278956,0.3066884176182708,0.0799347471451876,0.053833605220228384,0.2137030995106036
marroquíes,0.051593323216995446,0.06069802731411229,0.042488619119878605,0.08952959028831563,0.08042488619119878,0.11229135053110774,0.2716236722306525,0.04400606980273141,0.04704097116843703,0.18512898330804248
sirios,0.10397553516819572,0.04892966360856269,0.06422018348623854,0.14831804281345565,0.08256880733944955,0.191131498470948,0.27370030581039756,0.07951070336391437,0.04892966360856269,0.19877675840978593
paquistaníes,0.07580645161290323,0.06129032258064516,0.054838709677419356,0.10806451612903226,0.09516129032258064,0.15161290322580645,0.2661290322580645,0.06774193548387097,0.0532258064516129,0.19516129032258064
gente britanica,0.06422018348623854,0.08027522935779817,0.05733944954128441,0.08944954128440367,0.11467889908256881,0.1536697247706422,0.268348623853211,0.05045871559633028,0.0389908256880734,0.1444954128440367
franceses,0.051118210862619806,0.07348242811501597,0.051118210862619806,0.0878594249201278,0.11980830670926518,0.11501597444089456,0.36421725239616615,0.05591054313099041,0.0670926517571885,0.2364217252396166
griegos,0.048824593128390596,0.039783001808318265,0.05605786618444846,0.07775768535262206,0.0867992766726944,0.11573236889692586,0.3074141048824593,0.04701627486437613,0.0433996383363472,0.189873417721519
indonesios,0.04833333333333333,0.06,0.056666666666666664,0.085,0.09333333333333334,0.135,0.30333333333333334,0.055,0.058333333333333334,0.21666666666666667
vietnamitas,0.0472027972027972,0.0472027972027972,0.0472027972027972,0.09090909090909091,0.08566433566433566,0.1258741258741259,0.28496503496503495,0.057692307692307696,0.04895104895104895,0.14335664335664336
rumanos,0.06928838951310862,0.04868913857677903,0.06741573033707865,0.10486891385767791,0.0898876404494382,0.13670411985018727,0.299625468164794,0.06928838951310862,0.052434456928838954,0.1704119850187266
ecuatorianos,0.07003257328990228,0.05374592833876222,0.06026058631921824,0.09283387622149837,0.10260586319218241,0.1465798045602606,0.3127035830618892,0.0732899022801303,0.05374592833876222,0.19055374592833876
noruegos,0.05799373040752351,0.05329153605015674,0.04075235109717868,0.08934169278996865,0.09247648902821316,0.11285266457680251,0.31347962382445144,0.050156739811912224,0.054858934169279,0.21473354231974923
nepalíes,0.06518010291595197,0.04974271012006861,0.060034305317324184,0.11149228130360206,0.09777015437392796,0.1320754716981132,0.3053173241852487,0.06174957118353345,0.05317324185248713,0.19210977701543738
escoceses,0.039619651347068144,0.05705229793977813,0.04595879556259905,0.05705229793977813,0.11251980982567353,0.09508716323296355,0.312202852614897,0.042789223454833596,0.04120443740095087,0.15689381933438987
bengalíes,0.06656346749226007,0.06037151702786378,0.05108359133126935,0.10526315789473684,0.10061919504643962,0.13777089783281735,0.29411764705882354,0.06501547987616099,0.058823529411764705,0.20278637770897834
gente polaca,0.0945945945945946,0.06756756756756757,0.07882882882882883,0.10135135135135136,0.11486486486486487,0.17567567567567569,0.268018018018018,0.05630630630630631,0.04054054054054054,0.13063063063063063
taiwaneses,0.041935483870967745,0.06290322580645161,0.05161290322580645,0.08064516129032258,0.10967741935483871,0.1064516129032258,0.34516129032258064,0.043548387096774194,0.05806451612903226,0.2064516129032258
albaneses,0.026113671274961597,0.06605222734254992,0.027649769585253458,0.059907834101382486,0.10599078341013825,0.08755760368663594,0.2980030721966206,0.03840245775729647,0.05069124423963134,0.1781874039938556
colombianos,0.03903903903903904,0.07207207207207207,0.04054054054054054,0.07357357357357357,0.11711711711711711,0.1021021021021021,0.33633633633633636,0.05105105105105105,0.07357357357357357,0.1981981981981982
egipcios,0.0286144578313253,0.05421686746987952,0.03463855421686747,0.07379518072289157,0.09036144578313253,0.09186746987951808,0.29819277108433734,0.04216867469879518,0.04969879518072289,0.19728915662650603
coreanos,0.03513909224011713,0.055636896046852125,0.036603221083455345,0.0746705710102489,0.09956076134699854,0.11859443631039532,0.31478770131771594,0.05124450951683748,0.04978038067349927,0.1390922401171303
persas,0.044673539518900345,0.07388316151202749,0.054982817869415807,0.08075601374570447,0.12027491408934708,0.12886597938144329,0.3384879725085911,0.044673539518900345,0.05326460481099656,0.18213058419243985
hombres portugueses,0.05574912891986063,0.047038327526132406,0.04355400696864112,0.08536585365853659,0.09407665505226481,0.13240418118466898,0.3362369337979094,0.050522648083623695,0.06445993031358885,0.20209059233449478
mujeres portuguesas,0.060526315789473685,0.07631578947368421,0.05526315789473684,0.07894736842105263,0.1394736842105263,0.14210526315789473,0.35789473684210527,0.05526315789473684,0.04736842105263158,0.18421052631578946
turcos,0.050793650793650794,0.06349206349206349,0.04126984126984127,0.09682539682539683,0.10158730158730159,0.11904761904761904,0.2984126984126984,0.0380952380952381,0.05555555555555555,0.1746031746031746
austriacos,0.06802721088435375,0.06292517006802721,0.061224489795918366,0.11224489795918367,0.10374149659863946,0.14795918367346939,0.3435374149659864,0.06462585034013606,0.05952380952380952,0.22448979591836735
sudafricanos,0.057432432432432436,0.07094594594594594,0.060810810810810814,0.09628378378378379,0.10135135135135136,0.14358108108108109,0.28885135135135137,0.08108108108108109,0.07263513513513513,0.17229729729729729
holandeses,0.045,0.06166666666666667,0.045,0.08666666666666667,0.10833333333333334,0.10666666666666667,0.36,0.04666666666666667,0.056666666666666664,0.2
chilenos,0.04078549848942598,0.054380664652567974,0.03927492447129909,0.06797583081570997,0.08610271903323263,0.09214501510574018,0.27492447129909364,0.04833836858006042,0.045317220543806644,0.18126888217522658
libaneses,0.0904836193447738,0.060842433697347896,0.0686427457098284,0.13416536661466458,0.10140405616224649,0.1794071762870515,0.3166926677067083,0.07956318252730109,0.059282371294851796,0.21528861154446177
