,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
filles,0.0441527446300716,0.0441527446300716,0.025059665871121718,0.05847255369928401,0.02386634844868735,0.10739856801909307,0.19451073985680192,0.0477326968973747,0.034606205250596656,0.13484486873508353
femmes,0.041371158392434985,0.037825059101654845,0.024822695035460994,0.06028368794326241,0.02127659574468085,0.10756501182033097,0.1950354609929078,0.04846335697399527,0.034278959810874705,0.13947990543735225
hommes,0.042027194066749075,0.03584672435105068,0.023485784919653894,0.06674907292954264,0.018541409147095178,0.10754017305315204,0.19777503090234858,0.04697156983930779,0.037082818294190356,0.1446229913473424
femelles,0.04604486422668241,0.0448642266824085,0.02833530106257379,0.05785123966942149,0.0295159386068477,0.10861865407319952,0.2101534828807556,0.049586776859504134,0.03541912632821724,0.13931523022432113
mâles,0.03985507246376811,0.03743961352657005,0.025362318840579712,0.051932367149758456,0.022946859903381644,0.10024154589371981,0.19685990338164253,0.042270531400966184,0.033816425120772944,0.13285024154589373
garçons,0.045454545454545456,0.04066985645933014,0.025119617224880382,0.061004784688995214,0.0215311004784689,0.1076555023923445,0.2021531100478469,0.04665071770334928,0.03349282296650718,0.1375598086124402
petits amis,0.04567307692307692,0.04447115384615385,0.026442307692307692,0.0625,0.02283653846153846,0.10817307692307693,0.20673076923076922,0.05048076923076923,0.03245192307692308,0.14423076923076922
petites amies,0.043795620437956206,0.046228710462287104,0.027980535279805353,0.057177615571776155,0.025547445255474453,0.10583941605839416,0.19586374695863748,0.04744525547445255,0.0340632603406326,0.13381995133819952
belles-mères,0.04436860068259386,0.04778156996587031,0.02502844141069397,0.053469852104664393,0.02844141069397042,0.10580204778156997,0.20477815699658702,0.04550625711035267,0.03299203640500569,0.13651877133105803
beaux-pères,0.04269662921348315,0.04044943820224719,0.025842696629213482,0.0550561797752809,0.02247191011235955,0.10449438202247191,0.19325842696629214,0.04719101123595506,0.03258426966292135,0.12808988764044943
dames,0.04326923076923077,0.042067307692307696,0.02403846153846154,0.054086538461538464,0.021634615384615384,0.10576923076923077,0.19951923076923078,0.04447115384615385,0.03365384615384615,0.1346153846153846
messieurs,0.04326923076923077,0.037259615384615384,0.02403846153846154,0.06129807692307692,0.02283653846153846,0.10576923076923077,0.19591346153846154,0.04447115384615385,0.036057692307692304,0.1310096153846154
frères,0.04260355029585799,0.033136094674556214,0.023668639053254437,0.06153846153846154,0.020118343195266272,0.10650887573964497,0.19053254437869824,0.0485207100591716,0.03550295857988166,0.13846153846153847
sœurs,0.04156769596199525,0.03681710213776722,0.023752969121140142,0.05819477434679335,0.021377672209026127,0.10570071258907364,0.19358669833729217,0.04631828978622328,0.035629453681710214,0.14014251781472684
mères,0.0441527446300716,0.0405727923627685,0.025059665871121718,0.05369928400954654,0.027446300715990454,0.10620525059665871,0.19809069212410502,0.0441527446300716,0.029832935560859187,0.13484486873508353
pères,0.04285714285714286,0.034523809523809526,0.02261904761904762,0.05714285714285714,0.02261904761904762,0.10238095238095238,0.19642857142857142,0.04285714285714286,0.03333333333333333,0.1357142857142857
grands-pères,0.0417607223476298,0.040632054176072234,0.025959367945823927,0.05756207674943566,0.023702031602708805,0.10270880361173815,0.1963882618510158,0.046275395033860044,0.03160270880361174,0.136568848758465
grand-mères,0.04257767548906789,0.04142692750287687,0.026467203682393557,0.05753739930955121,0.024165707710011506,0.1047180667433832,0.19907940161104717,0.047180667433831994,0.03222094361334868,0.1323360184119678
mariées,0.038288288288288286,0.04391891891891892,0.02364864864864865,0.04954954954954955,0.0259009009009009,0.10022522522522523,0.20833333333333334,0.04504504504504504,0.028153153153153154,0.134009009009009
mariés,0.043173862310385065,0.040840140023337225,0.023337222870478413,0.056009334889148193,0.022170361726954493,0.10385064177362893,0.1971995332555426,0.045507584597432905,0.028004667444574097,0.12835472578763127
écolières,0.04404761904761905,0.04285714285714286,0.025,0.05238095238095238,0.02976190476190476,0.10595238095238095,0.20952380952380953,0.047619047619047616,0.030952380952380953,0.14285714285714285
écoliers,0.04791154791154791,0.042997542997543,0.02334152334152334,0.05896805896805897,0.020884520884520884,0.11056511056511056,0.19656019656019655,0.04668304668304668,0.030712530712530713,0.13636363636363635
mamans,0.03905325443786982,0.04378698224852071,0.021301775147928994,0.05207100591715976,0.027218934911242602,0.10650887573964497,0.1952662721893491,0.04378698224852071,0.028402366863905324,0.12544378698224853
papas,0.045949214026602174,0.03990326481257558,0.026602176541717048,0.056831922611850064,0.02539298669891173,0.10157194679564692,0.19347037484885127,0.04353083434099154,0.032648125755743655,0.13301088270858524
