,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Θρησκευόμενοι,0.025974025974025976,0.08571428571428572,0.023376623376623377,0.023376623376623377,0.04935064935064935,0.07792207792207792,0.16883116883116883,0.04155844155844156,0.04155844155844156,0.10649350649350649
μουσουλμάνοι,0.03409090909090909,0.07954545454545454,0.022727272727272728,0.031818181818181815,0.05227272727272727,0.07727272727272727,0.18636363636363637,0.04772727272727273,0.045454545454545456,0.11818181818181818
Χριστιανοί,0.022857142857142857,0.08,0.017142857142857144,0.017142857142857144,0.05142857142857143,0.05714285714285714,0.1742857142857143,0.03428571428571429,0.045714285714285714,0.11714285714285715
Ινδουιστές,0.03,0.085,0.02,0.0275,0.05,0.08,0.1775,0.0425,0.045,0.11
άθεοι,0.02577319587628866,0.09278350515463918,0.01804123711340206,0.02577319587628866,0.05670103092783505,0.06443298969072164,0.18556701030927836,0.041237113402061855,0.04381443298969072,0.11855670103092783
Βουδιστές,0.033766233766233764,0.07792207792207792,0.02077922077922078,0.025974025974025976,0.046753246753246755,0.08571428571428572,0.17142857142857143,0.04155844155844156,0.04415584415584416,0.10909090909090909
Καθολικοί,0.0387409200968523,0.0774818401937046,0.029055690072639227,0.03389830508474576,0.04600484261501211,0.09443099273607748,0.1694915254237288,0.05569007263922518,0.043583535108958835,0.1089588377723971
Προτεστάντες,0.02631578947368421,0.07631578947368421,0.018421052631578946,0.02368421052631579,0.05263157894736842,0.06842105263157895,0.1763157894736842,0.039473684210526314,0.039473684210526314,0.11578947368421053
Σιχ,0.030555555555555555,0.07777777777777778,0.030555555555555555,0.019444444444444445,0.05277777777777778,0.08055555555555556,0.18333333333333332,0.04722222222222222,0.05,0.10555555555555556
Μορμόνοι,0.031578947368421054,0.08421052631578947,0.02631578947368421,0.02894736842105263,0.05526315789473684,0.07105263157894737,0.1763157894736842,0.04736842105263158,0.04736842105263158,0.10526315789473684
