,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
indios,0.06052269601100413,0.05639614855570839,0.04951856946354883,0.09903713892709766,0.09491059147180192,0.1499312242090784,0.28060522696011003,0.07840440165061899,0.048143053645116916,0.12104539202200826
rusos,0.12721893491124261,0.051775147928994084,0.08284023668639054,0.17751479289940827,0.08431952662721894,0.22189349112426035,0.2973372781065089,0.09763313609467456,0.0695266272189349,0.20710059171597633
africanos,0.08375209380234507,0.07202680067001675,0.08542713567839195,0.12562814070351758,0.10887772194304858,0.1708542713567839,0.3015075376884422,0.08877721943048576,0.06867671691792294,0.18592964824120603
personas de color,0.03710575139146568,0.07606679035250463,0.029684601113172542,0.04267161410018553,0.14842300556586271,0.10760667903525047,0.3339517625231911,0.03525046382189239,0.0575139146567718,0.1150278293135436
mexicanos,0.05910543130990415,0.07348242811501597,0.07188498402555911,0.09584664536741214,0.11022364217252396,0.13258785942492013,0.30670926517571884,0.07188498402555911,0.07188498402555911,0.17731629392971246
negros,0.10815047021943573,0.05799373040752351,0.07523510971786834,0.13166144200626959,0.08463949843260188,0.19435736677115986,0.26959247648902823,0.09561128526645768,0.04231974921630094,0.1614420062695925
árabes,0.07384615384615385,0.04,0.05692307692307692,0.1123076923076923,0.08461538461538462,0.16,0.2784615384615385,0.06,0.05076923076923077,0.18
americanos negros,0.09657320872274143,0.056074766355140186,0.08566978193146417,0.14485981308411214,0.10124610591900311,0.1822429906542056,0.3130841121495327,0.102803738317757,0.056074766355140186,0.19003115264797507
hombres negros,0.12,0.0496,0.0912,0.1504,0.0976,0.216,0.296,0.1104,0.0576,0.1856
mujer asiáticas,0.05,0.0925,0.0325,0.055,0.13,0.12,0.3175,0.0225,0.0425,0.14
hombres asiáticos,0.0642504118616145,0.04942339373970346,0.05930807248764415,0.09225700164744646,0.09555189456342669,0.13838550247116968,0.3163097199341021,0.05930807248764415,0.05601317957166392,0.15650741350906094
mujeres negras,0.1053921568627451,0.0784313725490196,0.058823529411764705,0.09313725490196079,0.12254901960784313,0.1715686274509804,0.29901960784313725,0.06862745098039216,0.051470588235294115,0.15196078431372548
