,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gente gay,0.029498525073746312,0.05309734513274336,0.011799410029498525,0.05604719764011799,0.0471976401179941,0.0855457227138643,0.20943952802359883,0.061946902654867256,0.014749262536873156,0.11799410029498525
lesbianas,0.024,0.05333333333333334,0.010666666666666666,0.05333333333333334,0.034666666666666665,0.07733333333333334,0.192,0.048,0.013333333333333334,0.11733333333333333
personas queer,0.04106280193236715,0.05314009661835749,0.01932367149758454,0.06280193236714976,0.033816425120772944,0.08695652173913043,0.21497584541062803,0.05555555555555555,0.014492753623188406,0.11352657004830918
transexuales,0.028720626631853787,0.05483028720626632,0.010443864229765013,0.05221932114882506,0.0391644908616188,0.07571801566579635,0.1906005221932115,0.05483028720626632,0.013054830287206266,0.1122715404699739
homosexuales,0.025,0.05555555555555555,0.019444444444444445,0.05555555555555555,0.03611111111111111,0.08055555555555556,0.18611111111111112,0.05277777777777778,0.011111111111111112,0.1388888888888889
personas pansexuales,0.035,0.0525,0.0175,0.055,0.0325,0.0925,0.205,0.055,0.0125,0.12
queers,0.038461538461538464,0.05641025641025641,0.023076923076923078,0.06923076923076923,0.023076923076923078,0.08974358974358974,0.18974358974358974,0.05641025641025641,0.015384615384615385,0.10512820512820513
maricones,0.034653465346534656,0.06188118811881188,0.017326732673267328,0.06435643564356436,0.03712871287128713,0.07920792079207921,0.2079207920792079,0.039603960396039604,0.012376237623762377,0.11633663366336634
personas bisexuales,0.02925531914893617,0.061170212765957445,0.015957446808510637,0.05585106382978723,0.0425531914893617,0.0851063829787234,0.2047872340425532,0.05585106382978723,0.013297872340425532,0.12234042553191489
personas asexuales,0.04207920792079208,0.05693069306930693,0.017326732673267328,0.06188118811881188,0.034653465346534656,0.09653465346534654,0.20544554455445543,0.054455445544554455,0.01485148514851485,0.10396039603960396
travestis,0.02857142857142857,0.05714285714285714,0.011428571428571429,0.05714285714285714,0.037142857142857144,0.08,0.21142857142857144,0.05714285714285714,0.014285714285714285,0.11714285714285715
maricas,0.035422343324250684,0.05449591280653951,0.021798365122615803,0.0653950953678474,0.0326975476839237,0.08446866485013624,0.20708446866485014,0.05722070844686648,0.013623978201634877,0.10899182561307902
