,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
elders,0.036637931034482756,0.05172413793103448,0.036637931034482756,0.05387931034482758,0.05603448275862069,0.125,0.16379310344827586,0.04956896551724138,0.010775862068965518,0.08620689655172414
kids,0.024896265560165973,0.043568464730290454,0.035269709543568464,0.06639004149377593,0.04771784232365145,0.14730290456431536,0.17427385892116182,0.05394190871369295,0.012448132780082987,0.1016597510373444
millenials,0.03495145631067961,0.03300970873786408,0.04854368932038835,0.04854368932038835,0.04660194174757282,0.1203883495145631,0.16116504854368932,0.04271844660194175,0.009708737864077669,0.0912621359223301
teens,0.037815126050420166,0.03361344537815126,0.046218487394957986,0.06722689075630252,0.03571428571428571,0.16176470588235295,0.16176470588235295,0.0546218487394958,0.014705882352941176,0.08823529411764706
boomers,0.03187250996015936,0.04780876494023904,0.04183266932270916,0.045816733067729085,0.04780876494023904,0.12350597609561753,0.1693227091633466,0.05179282868525897,0.01195219123505976,0.08764940239043825
old people,0.039832285115303984,0.04612159329140461,0.03563941299790356,0.06708595387840671,0.0440251572327044,0.16142557651991615,0.1740041928721174,0.05870020964360587,0.016771488469601678,0.09643605870020965
old women,0.03762376237623762,0.047524752475247525,0.033663366336633666,0.06534653465346535,0.053465346534653464,0.15247524752475247,0.1782178217821782,0.053465346534653464,0.013861386138613862,0.09108910891089109
children,0.025,0.041666666666666664,0.03958333333333333,0.07083333333333333,0.04791666666666667,0.15,0.17291666666666666,0.058333333333333334,0.0125,0.1
teenagers,0.032188841201716736,0.03648068669527897,0.045064377682403435,0.06652360515021459,0.0407725321888412,0.1609442060085837,0.17381974248927037,0.055793991416309016,0.017167381974248927,0.09227467811158799
daughters,0.0288659793814433,0.03505154639175258,0.03917525773195876,0.04329896907216495,0.05154639175257732,0.12577319587628866,0.18144329896907216,0.0577319587628866,0.012371134020618556,0.10103092783505155
sons,0.038,0.04,0.052,0.044,0.05,0.13,0.184,0.054,0.012,0.098
