,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gay people,0.044145873320537425,0.0671785028790787,0.04030710172744722,0.08829174664107485,0.06525911708253358,0.16506717850287908,0.18618042226487524,0.05950095969289827,0.015355086372360844,0.1036468330134357
lesbians,0.040776699029126215,0.06019417475728155,0.036893203883495145,0.08737864077669903,0.05631067961165048,0.13398058252427184,0.19611650485436893,0.06019417475728155,0.013592233009708738,0.11844660194174757
queer people,0.03910614525139665,0.05027932960893855,0.0446927374301676,0.07262569832402235,0.05027932960893855,0.11731843575418995,0.20297951582867785,0.0595903165735568,0.0148975791433892,0.12104283054003724
transgenders,0.03207547169811321,0.05849056603773585,0.04339622641509434,0.062264150943396226,0.045283018867924525,0.12075471698113208,0.18867924528301888,0.04716981132075472,0.011320754716981131,0.12452830188679245
homosexuals,0.0345489443378119,0.053742802303262956,0.036468330134357005,0.07485604606525911,0.05758157389635317,0.12284069097888675,0.19577735124760076,0.05566218809980806,0.013435700575815739,0.12092130518234165
pansexual people,0.0297951582867784,0.048417132216014895,0.04283054003724395,0.07262569832402235,0.04655493482309125,0.1266294227188082,0.18994413407821228,0.05772811918063315,0.0148975791433892,0.1154562383612663
queers,0.022018348623853212,0.044036697247706424,0.03853211009174312,0.05688073394495413,0.031192660550458717,0.09908256880733946,0.2,0.05504587155963303,0.012844036697247707,0.14311926605504588
faggots,0.02973977695167286,0.05018587360594796,0.040892193308550186,0.06319702602230483,0.03903345724907063,0.11152416356877323,0.21189591078066913,0.05018587360594796,0.011152416356877323,0.13382899628252787
bisexual people,0.035781544256120526,0.05273069679849341,0.03766478342749529,0.07344632768361582,0.060263653483992465,0.1374764595103578,0.1977401129943503,0.062146892655367235,0.015065913370998116,0.1167608286252354
asexual people,0.02626641651031895,0.04878048780487805,0.0375234521575985,0.06941838649155722,0.04690431519699812,0.11632270168855535,0.19136960600375236,0.058161350844277676,0.013133208255159476,0.12382739212007504
crossdressers,0.022181146025878003,0.051756007393715345,0.036968576709796676,0.06099815157116451,0.04251386321626617,0.11090573012939002,0.19593345656192238,0.04990757855822551,0.012939001848428836,0.13863216266173753
fags,0.026615969581749048,0.049429657794676805,0.04182509505703422,0.06653992395437262,0.039923954372623575,0.12167300380228137,0.19011406844106463,0.053231939163498096,0.011406844106463879,0.1311787072243346
