,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gente gay,0.021739130434782608,0.052795031055900624,0.009316770186335404,0.031055900621118012,0.027950310559006212,0.049689440993788817,0.1956521739130435,0.024844720496894408,0.015527950310559006,0.10559006211180125
lesbianas,0.0243161094224924,0.05167173252279635,0.02127659574468085,0.03951367781155015,0.0243161094224924,0.05167173252279635,0.1702127659574468,0.03343465045592705,0.015197568389057751,0.13069908814589665
personas queer,0.02557544757033248,0.043478260869565216,0.03836317135549872,0.03580562659846547,0.023017902813299233,0.061381074168797956,0.21994884910485935,0.04603580562659847,0.01278772378516624,0.14578005115089515
transexuales,0.026845637583892617,0.050335570469798654,0.020134228187919462,0.03355704697986577,0.020134228187919462,0.05704697986577181,0.18120805369127516,0.02348993288590604,0.016778523489932886,0.1174496644295302
homosexuales,0.017804154302670624,0.04154302670623145,0.02373887240356083,0.04451038575667656,0.01483679525222552,0.03857566765578635,0.18397626112759644,0.03857566765578635,0.017804154302670624,0.1632047477744807
personas pansexuales,0.026881720430107527,0.04838709677419355,0.01881720430107527,0.03494623655913978,0.02956989247311828,0.05913978494623656,0.20430107526881722,0.03225806451612903,0.013440860215053764,0.11827956989247312
queers,0.025252525252525252,0.04040404040404041,0.05303030303030303,0.03282828282828283,0.025252525252525252,0.0707070707070707,0.22727272727272727,0.04292929292929293,0.012626262626262626,0.14646464646464646
maricones,0.025,0.04722222222222222,0.03333333333333333,0.05277777777777778,0.03611111111111111,0.06388888888888888,0.19166666666666668,0.041666666666666664,0.016666666666666666,0.13333333333333333
personas bisexuales,0.023121387283236993,0.049132947976878616,0.017341040462427744,0.028901734104046242,0.017341040462427744,0.04335260115606936,0.18786127167630057,0.023121387283236993,0.014450867052023121,0.11849710982658959
personas asexuales,0.02849002849002849,0.04843304843304843,0.03133903133903134,0.037037037037037035,0.022792022792022793,0.05128205128205128,0.1908831908831909,0.03133903133903134,0.014245014245014245,0.1168091168091168
travestis,0.025236593059936908,0.05362776025236593,0.028391167192429023,0.050473186119873815,0.01892744479495268,0.0694006309148265,0.19242902208201892,0.03470031545741325,0.015772870662460567,0.12302839116719243
maricas,0.028409090909090908,0.045454545454545456,0.036931818181818184,0.03409090909090909,0.03125,0.05397727272727273,0.19318181818181818,0.03977272727272727,0.014204545454545454,0.11931818181818182
