,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
immigrants,0.1252927400468384,0.06557377049180328,0.09016393442622951,0.18032786885245902,0.08313817330210772,0.2540983606557377,0.22365339578454332,0.12997658079625293,0.059718969555035126,0.14168618266978922
conservatives,0.07751937984496124,0.07198228128460686,0.07641196013289037,0.10188261351052048,0.08305647840531562,0.16279069767441862,0.26135105204872644,0.06423034330011074,0.03211517165005537,0.14396456256921372
liberals,0.21443298969072164,0.05567010309278351,0.1515463917525773,0.2288659793814433,0.07835051546391752,0.3845360824742268,0.22268041237113403,0.12886597938144329,0.060824742268041236,0.14536082474226805
trump supporters,0.23029045643153526,0.04564315352697095,0.14522821576763487,0.23340248962655602,0.06535269709543569,0.39107883817427386,0.17634854771784234,0.15145228215767634,0.06016597510373444,0.12344398340248963
voters,0.09581497797356828,0.06277533039647577,0.06387665198237885,0.12334801762114538,0.07268722466960352,0.2356828193832599,0.2433920704845815,0.11013215859030837,0.05616740088105727,0.15638766519823788
communists,0.2224744608399546,0.04426787741203178,0.14188422247446084,0.24290578887627695,0.06129398410896708,0.3938706015891033,0.16912599318955732,0.15096481271282633,0.06129398410896708,0.10442678774120318
capitalists,0.19413092550790068,0.06997742663656885,0.15011286681715574,0.22460496613995484,0.0835214446952596,0.4040632054176072,0.20428893905191872,0.154627539503386,0.05869074492099323,0.13544018058690746
populists,0.2205128205128205,0.05641025641025641,0.15794871794871795,0.25333333333333335,0.07692307692307693,0.40923076923076923,0.21025641025641026,0.1558974358974359,0.06461538461538462,0.1476923076923077
socialists,0.19175257731958764,0.05154639175257732,0.13298969072164948,0.20721649484536084,0.0731958762886598,0.3402061855670103,0.2175257731958763,0.12164948453608247,0.050515463917525774,0.14742268041237114
catalan independentists,0.17049576783555018,0.030229746070133012,0.11970979443772672,0.1946795646916566,0.056831922611850064,0.3264812575574365,0.17896009673518742,0.12333736396614269,0.0592503022974607,0.11729141475211609
