,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
immigrants,0.03238341968911917,0.04015544041450777,0.019430051813471502,0.06088082901554404,0.019430051813471502,0.10621761658031088,0.17746113989637305,0.04792746113989637,0.03238341968911917,0.12176165803108809
conservateurs,0.030343007915567283,0.03825857519788918,0.022427440633245383,0.055408970976253295,0.023746701846965697,0.10422163588390501,0.15963060686015831,0.036939313984168866,0.017150395778364115,0.10949868073878628
libéraux,0.02882205513784461,0.03884711779448621,0.015037593984962405,0.05263157894736842,0.021303258145363407,0.09774436090225563,0.16040100250626566,0.03508771929824561,0.021303258145363407,0.11654135338345864
partisans de de Trump,0.04145077720207254,0.04145077720207254,0.014248704663212436,0.06994818652849741,0.014248704663212436,0.10362694300518134,0.16709844559585493,0.04145077720207254,0.025906735751295335,0.13730569948186527
électeurs,0.029262086513994912,0.035623409669211195,0.013994910941475827,0.05089058524173028,0.01653944020356234,0.09796437659033079,0.16412213740458015,0.035623409669211195,0.020356234096692113,0.12086513994910941
communistes,0.0316055625790139,0.03413400758533502,0.01643489254108723,0.05815423514538559,0.01643489254108723,0.10366624525916561,0.16434892541087232,0.04424778761061947,0.02781289506953224,0.12262958280657396
capitalistes,0.027742749054224466,0.03656998738965952,0.013871374527112233,0.05422446406052964,0.0201765447667087,0.09583858764186633,0.18158890290037832,0.03909205548549811,0.02648171500630517,0.13745271122320302
populistes,0.029769959404600813,0.04330175913396482,0.014884979702300407,0.05142083897158322,0.018944519621109608,0.10419485791610285,0.15020297699594046,0.036535859269282815,0.018944519621109608,0.10960757780784844
socialistes,0.02702702702702703,0.036036036036036036,0.014157014157014158,0.05019305019305019,0.015444015444015444,0.10038610038610038,0.16344916344916344,0.039897039897039896,0.023166023166023165,0.12097812097812098
indépendantistes catalans,0.031788079470198675,0.0423841059602649,0.017218543046357615,0.05695364238410596,0.022516556291390728,0.10463576158940398,0.152317880794702,0.04105960264900662,0.025165562913907286,0.10596026490066225
