,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
asiáticos,0.04608294930875576,0.059907834101382486,0.04377880184331797,0.06912442396313365,0.03456221198156682,0.11059907834101383,0.22119815668202766,0.06682027649769585,0.018433179723502304,0.1313364055299539
americanos,0.04470588235294118,0.05176470588235294,0.042352941176470586,0.07529411764705882,0.03294117647058824,0.10823529411764705,0.22823529411764706,0.06588235294117648,0.018823529411764704,0.13176470588235295
europeos,0.038202247191011236,0.04719101123595506,0.04719101123595506,0.06292134831460675,0.029213483146067417,0.10112359550561797,0.23370786516853934,0.05393258426966292,0.017977528089887642,0.1393258426966292
judios,0.056133056133056136,0.05405405405405406,0.058212058212058215,0.08108108108108109,0.035343035343035345,0.1288981288981289,0.21205821205821207,0.07276507276507277,0.02286902286902287,0.13513513513513514
indios,0.0525164113785558,0.05470459518599562,0.0525164113785558,0.08096280087527352,0.03282275711159737,0.12691466083150985,0.22538293216630198,0.06345733041575492,0.019693654266958426,0.13129102844638948
rusos,0.05,0.05227272727272727,0.056818181818181816,0.075,0.03636363636363636,0.12954545454545455,0.20227272727272727,0.0659090909090909,0.01818181818181818,0.12954545454545455
africanos,0.04215456674473068,0.05152224824355972,0.04918032786885246,0.07259953161592506,0.03278688524590164,0.11943793911007025,0.22716627634660422,0.06791569086651054,0.01639344262295082,0.12177985948477751
personas de color,0.037825059101654845,0.054373522458628844,0.04491725768321513,0.07092198581560284,0.0425531914893617,0.10874704491725769,0.25059101654846333,0.04964539007092199,0.02127659574468085,0.15130023640661938
mexicanos,0.04,0.0575,0.045,0.0675,0.0375,0.1075,0.2375,0.06,0.02,0.1425
blancos,0.04535637149028078,0.056155507559395246,0.05183585313174946,0.0755939524838013,0.0367170626349892,0.11447084233261338,0.22894168466522677,0.06047516198704104,0.019438444924406047,0.14254859611231102
negros,0.04044943820224719,0.05393258426966292,0.05393258426966292,0.07191011235955057,0.033707865168539325,0.10561797752808989,0.2247191011235955,0.0651685393258427,0.015730337078651686,0.1348314606741573
gente blanca,0.0405982905982906,0.05555555555555555,0.049145299145299144,0.07051282051282051,0.038461538461538464,0.12393162393162394,0.25213675213675213,0.057692307692307696,0.02564102564102564,0.1388888888888889
