,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
hipsters,0.1058139534883721,0.03604651162790698,0.09651162790697675,0.12558139534883722,0.03488372093023256,0.2186046511627907,0.12790697674418605,0.08372093023255814,0.044186046511627906,0.06976744186046512
nerds,0.11884753901560624,0.04321728691476591,0.10804321728691477,0.14765906362545017,0.04081632653061224,0.24849939975990396,0.12605042016806722,0.07563025210084033,0.05402160864345738,0.09723889555822329
rednecks,0.12351543942992874,0.04631828978622328,0.11401425178147269,0.16152019002375298,0.026128266033254157,0.24228028503562946,0.11520190023752969,0.09263657957244656,0.04631828978622328,0.07363420427553444
homeless people,0.11565420560747663,0.04205607476635514,0.10046728971962617,0.1542056074766355,0.03154205607476635,0.2219626168224299,0.12850467289719625,0.10397196261682243,0.0455607476635514,0.08060747663551401
feminists,0.1483644859813084,0.03387850467289719,0.11799065420560748,0.1764018691588785,0.03271028037383177,0.2827102803738318,0.1378504672897196,0.10163551401869159,0.04789719626168224,0.10514018691588785
rich people,0.10321864594894561,0.048834628190899,0.09433962264150944,0.12430632630410655,0.038845726970033294,0.19755826859045506,0.15427302996670367,0.0876803551609323,0.04772475027746948,0.11320754716981132
poor people,0.11072664359861592,0.05074971164936563,0.10034602076124567,0.1303344867358708,0.03229527104959631,0.20761245674740483,0.14071510957324107,0.08881199538638986,0.0461361014994233,0.10034602076124567
criminals,0.1694915254237288,0.04180790960451977,0.11186440677966102,0.20564971751412428,0.02824858757062147,0.2994350282485876,0.13333333333333333,0.1096045197740113,0.05875706214689266,0.11864406779661017
frats,0.11938382541720154,0.04621309370988447,0.11296534017971759,0.1514762516046213,0.029525032092426188,0.24261874197689345,0.10783055198973042,0.09499358151476252,0.0410783055198973,0.09370988446726572
frat boys,0.12029161603888214,0.04860267314702309,0.10328068043742406,0.14823815309842042,0.0425273390036452,0.23572296476306198,0.12393681652490887,0.0692588092345079,0.05103280680437424,0.11300121506682867
sorority girls,0.1167076167076167,0.04054054054054054,0.11179361179361179,0.14250614250614252,0.036855036855036855,0.2334152334152334,0.1167076167076167,0.07985257985257985,0.04914004914004914,0.09950859950859951
hippies,0.12425328554360812,0.04181600955794504,0.1027479091995221,0.15651135005973715,0.038231780167264036,0.24372759856630824,0.14217443249701314,0.1063321385902031,0.04659498207885305,0.08482676224611709
geeks,0.1172069825436409,0.04239401496259352,0.11221945137157108,0.13840399002493767,0.034912718204488775,0.23316708229426433,0.11970074812967581,0.06982543640897755,0.05361596009975062,0.08728179551122195
goths,0.13711583924349882,0.04491725768321513,0.11229314420803782,0.16312056737588654,0.030732860520094562,0.25886524822695034,0.13356973995271867,0.09101654846335698,0.04609929078014184,0.09692671394799054
punks,0.15980629539951574,0.04116222760290557,0.11743341404358354,0.1937046004842615,0.03389830508474576,0.2917675544794189,0.11016949152542373,0.10653753026634383,0.059322033898305086,0.07990314769975787
Californians,0.09688581314878893,0.04844290657439446,0.08650519031141868,0.13379469434832755,0.03229527104959631,0.18685121107266436,0.15916955017301038,0.07958477508650519,0.03575547866205306,0.1061130334486736
celebrities,0.10153482880755609,0.05076741440377804,0.09445100354191263,0.10979929161747344,0.048406139315230225,0.18772136953955135,0.15584415584415584,0.05548996458087367,0.05548996458087367,0.10743801652892562
redheads,0.12440758293838862,0.04028436018957346,0.11255924170616113,0.1504739336492891,0.024881516587677725,0.24170616113744076,0.12440758293838862,0.08886255924170616,0.04976303317535545,0.08886255924170616
