,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
immigrants,0.03368421052631579,0.03368421052631579,0.031578947368421054,0.06315789473684211,0.037894736842105266,0.14105263157894737,0.16,0.056842105263157895,0.010526315789473684,0.09894736842105263
conservatives,0.04564315352697095,0.03319502074688797,0.05186721991701245,0.05186721991701245,0.03941908713692946,0.14315352697095435,0.15145228215767634,0.04149377593360996,0.012448132780082987,0.0995850622406639
liberals,0.03171247357293869,0.042283298097251586,0.02959830866807611,0.06553911205073996,0.048625792811839326,0.14587737843551796,0.17124735729386892,0.05708245243128964,0.016913319238900635,0.10570824524312897
trump supporters,0.038461538461538464,0.03643724696356275,0.04251012145748988,0.058704453441295545,0.05060728744939271,0.15991902834008098,0.1659919028340081,0.06072874493927125,0.018218623481781375,0.07489878542510121
voters,0.028056112224448898,0.03406813627254509,0.03406813627254509,0.07615230460921844,0.04609218436873747,0.1462925851703407,0.1743486973947896,0.05410821643286573,0.014028056112224449,0.11222444889779559
communists,0.029227557411273485,0.04801670146137787,0.037578288100208766,0.054279749478079335,0.05219206680584551,0.14613778705636743,0.15657620041753653,0.054279749478079335,0.014613778705636743,0.09812108559498957
capitalists,0.025806451612903226,0.043010752688172046,0.02795698924731183,0.06881720430107527,0.047311827956989246,0.13978494623655913,0.17419354838709677,0.060215053763440864,0.012903225806451613,0.0967741935483871
populists,0.03982300884955752,0.030973451327433628,0.04424778761061947,0.06858407079646017,0.048672566371681415,0.17035398230088494,0.1592920353982301,0.061946902654867256,0.015486725663716814,0.09513274336283185
socialists,0.033542976939203356,0.0440251572327044,0.03773584905660377,0.05870020964360587,0.050314465408805034,0.1488469601677149,0.16561844863731656,0.05660377358490566,0.020964360587002098,0.09853249475890985
catalan independentists,0.04184100418410042,0.043933054393305436,0.03556485355648536,0.03765690376569038,0.04184100418410042,0.13389121338912133,0.14853556485355648,0.0502092050209205,0.010460251046025104,0.060669456066945605
