,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
religieux,0.043586550435865505,0.052303860523038606,0.023661270236612703,0.074719800747198,0.033623910336239106,0.10709838107098381,0.1930261519302615,0.053549190535491904,0.047322540473225407,0.12453300124533001
musulmans,0.055198973042362,0.043645699614890884,0.03209242618741977,0.07573812580231065,0.044929396662387676,0.12323491655969192,0.20410783055198972,0.057766367137355584,0.05263157894736842,0.14505776636713735
chrétiens,0.059343434343434344,0.04040404040404041,0.02904040404040404,0.07702020202020202,0.03409090909090909,0.1275252525252525,0.19444444444444445,0.056818181818181816,0.045454545454545456,0.1351010101010101
hindous,0.039473684210526314,0.033625730994152045,0.021929824561403508,0.07748538011695906,0.017543859649122806,0.12280701754385964,0.18567251461988304,0.06140350877192982,0.039473684210526314,0.14181286549707603
athées,0.0441527446300716,0.045346062052505964,0.02386634844868735,0.06682577565632458,0.03699284009546539,0.11097852028639618,0.19331742243436753,0.04892601431980907,0.041766109785202864,0.12649164677804295
bouddhistes,0.05459057071960298,0.043424317617866005,0.02481389578163772,0.0707196029776675,0.03970223325062035,0.12655086848635236,0.2022332506203474,0.05955334987593052,0.04466501240694789,0.12655086848635236
catholiques,0.06002554278416347,0.035759897828863345,0.0280970625798212,0.07662835249042145,0.03065134099616858,0.13537675606641125,0.1826309067688378,0.06257982120051085,0.038314176245210725,0.13282247765006386
protestants,0.05798969072164949,0.045103092783505154,0.03350515463917526,0.07989690721649484,0.03608247422680412,0.125,0.1958762886597938,0.059278350515463915,0.04381443298969072,0.13402061855670103
sikhs,0.04949238578680203,0.046954314720812185,0.0266497461928934,0.07868020304568528,0.024111675126903553,0.11928934010152284,0.19035532994923857,0.048223350253807105,0.04060913705583756,0.11294416243654823
mormons,0.036989795918367346,0.04846938775510204,0.021683673469387755,0.06377551020408163,0.030612244897959183,0.10586734693877552,0.1913265306122449,0.04846938775510204,0.039540816326530615,0.13010204081632654
