,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ainés,0.026582278481012658,0.0379746835443038,0.012658227848101266,0.05569620253164557,0.0189873417721519,0.09113924050632911,0.16329113924050634,0.03291139240506329,0.020253164556962026,0.10886075949367088
enfants,0.038860103626943004,0.034974093264248704,0.022020725388601035,0.06606217616580311,0.022020725388601035,0.10103626943005181,0.17357512953367876,0.038860103626943004,0.029792746113989636,0.13212435233160622
millenials,0.026683608640406607,0.036848792884371026,0.012706480304955527,0.052096569250317665,0.022871664548919948,0.09148665819567979,0.17534942820838628,0.035578144853875476,0.021601016518424398,0.12452350698856417
adolescents,0.03346720214190094,0.03614457831325301,0.018741633199464525,0.06693440428380187,0.025435073627844713,0.10441767068273092,0.16198125836680052,0.04685408299866131,0.028112449799196786,0.11780455153949129
baby-boomers,0.02743142144638404,0.04114713216957606,0.012468827930174564,0.048628428927680795,0.02493765586034913,0.08728179551122195,0.1745635910224439,0.028678304239401497,0.014962593516209476,0.12344139650872818
personnes âgées,0.03188775510204082,0.036989795918367346,0.02040816326530612,0.05357142857142857,0.02423469387755102,0.08928571428571429,0.1836734693877551,0.03826530612244898,0.026785714285714284,0.13392857142857142
vieilles femmes,0.029411764705882353,0.04411764705882353,0.015931372549019607,0.05392156862745098,0.02696078431372549,0.09926470588235294,0.18995098039215685,0.03676470588235294,0.02696078431372549,0.14460784313725492
enfants,0.038860103626943004,0.034974093264248704,0.022020725388601035,0.06606217616580311,0.022020725388601035,0.10103626943005181,0.17357512953367876,0.038860103626943004,0.029792746113989636,0.13212435233160622
adolescents,0.03346720214190094,0.03614457831325301,0.018741633199464525,0.06693440428380187,0.025435073627844713,0.10441767068273092,0.16198125836680052,0.04685408299866131,0.028112449799196786,0.11780455153949129
filles,0.02781289506953224,0.040455120101137804,0.01643489254108723,0.05941845764854614,0.025284450063211124,0.09355246523388117,0.1820480404551201,0.03666245259165613,0.02402022756005057,0.12895069532237674
fils,0.03201024327784891,0.034571062740076826,0.020486555697823303,0.06530089628681178,0.019206145966709345,0.11139564660691421,0.1677336747759283,0.03969270166453265,0.026888604353393086,0.1267605633802817
