,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ainés,0.04311377245508982,0.03952095808383234,0.025149700598802394,0.055089820359281436,0.022754491017964073,0.10538922155688622,0.19640718562874251,0.046706586826347304,0.02874251497005988,0.13293413173652693
enfants,0.04410011918951132,0.03814064362336114,0.026221692491060787,0.06912991656734208,0.021454112038140644,0.10846245530393325,0.1966626936829559,0.050059594755661505,0.03098927294398093,0.13706793802145412
millenials,0.04529616724738676,0.04529616724738676,0.023228803716608595,0.053426248548199766,0.025551684088269456,0.10452961672473868,0.21022067363530778,0.04529616724738676,0.032520325203252036,0.14285714285714285
adolescents,0.044902912621359224,0.04004854368932039,0.024271844660194174,0.06067961165048544,0.019417475728155338,0.10679611650485436,0.18446601941747573,0.043689320388349516,0.03033980582524272,0.12985436893203883
baby-boomers,0.04439252336448598,0.04439252336448598,0.02336448598130841,0.05957943925233645,0.02219626168224299,0.102803738317757,0.19626168224299065,0.04672897196261682,0.029205607476635514,0.1261682242990654
personnes âgées,0.03760282021151586,0.03760282021151586,0.024676850763807285,0.057579318448883664,0.0199764982373678,0.09870740305522914,0.19623971797884843,0.04230317273795535,0.03172737955346651,0.13043478260869565
vieilles femmes,0.044444444444444446,0.042105263157894736,0.026900584795321637,0.05964912280701754,0.023391812865497075,0.10877192982456141,0.19883040935672514,0.050292397660818715,0.031578947368421054,0.13567251461988303
enfants,0.04410011918951132,0.03814064362336114,0.026221692491060787,0.06912991656734208,0.021454112038140644,0.10846245530393325,0.1966626936829559,0.050059594755661505,0.03098927294398093,0.13706793802145412
adolescents,0.044902912621359224,0.04004854368932039,0.024271844660194174,0.06067961165048544,0.019417475728155338,0.10679611650485436,0.18446601941747573,0.043689320388349516,0.03033980582524272,0.12985436893203883
filles,0.0441527446300716,0.0441527446300716,0.025059665871121718,0.05847255369928401,0.02386634844868735,0.10739856801909307,0.19451073985680192,0.0477326968973747,0.034606205250596656,0.13484486873508353
fils,0.041716328963051254,0.04052443384982122,0.025029797377830752,0.06436233611442194,0.023837902264600714,0.10250297973778308,0.20381406436233612,0.04529201430274136,0.03456495828367104,0.14421930870083433
