,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
filles,0.06526806526806526,0.039627039627039624,0.054778554778554776,0.07109557109557109,0.05827505827505827,0.1317016317016317,0.18065268065268064,0.047785547785547784,0.030303030303030304,0.09906759906759907
femmes,0.06971428571428571,0.038857142857142854,0.053714285714285714,0.07314285714285715,0.052571428571428575,0.13485714285714287,0.18057142857142858,0.05142857142857143,0.03314285714285714,0.10742857142857143
hommes,0.06100217864923747,0.03812636165577342,0.0457516339869281,0.07298474945533769,0.049019607843137254,0.12200435729847495,0.19172113289760348,0.046840958605664486,0.03159041394335512,0.10457516339869281
femelles,0.06584821428571429,0.04017857142857143,0.052455357142857144,0.08035714285714286,0.05357142857142857,0.13727678571428573,0.18191964285714285,0.05357142857142857,0.03459821428571429,0.09598214285714286
mâles,0.06621773288439955,0.04152637485970819,0.04601571268237935,0.08080808080808081,0.052749719416386086,0.12794612794612795,0.1829405162738496,0.05387205387205387,0.03479236812570146,0.09764309764309764
garçons,0.0654627539503386,0.039503386004514675,0.050790067720090294,0.0744920993227991,0.056433408577878104,0.12866817155756208,0.17607223476297967,0.046275395033860044,0.03611738148984198,0.09593679458239278
petits amis,0.06040992448759439,0.05070118662351672,0.05393743257820928,0.07335490830636461,0.06040992448759439,0.13052858683926646,0.18878101402373246,0.061488673139158574,0.037756202804746494,0.09924487594390508
petites amies,0.062159214830970554,0.05779716466739367,0.05343511450381679,0.07197382769901854,0.05997818974918211,0.13631406761177753,0.1875681570338059,0.05888767720828789,0.03707742639040349,0.09596510359869138
belles-mères,0.061659192825112105,0.04932735426008968,0.04932735426008968,0.06838565022421525,0.05941704035874439,0.13340807174887892,0.2006726457399103,0.052690582959641255,0.034753363228699555,0.10874439461883408
beaux-pères,0.0625,0.0537280701754386,0.046052631578947366,0.0756578947368421,0.05592105263157895,0.13157894736842105,0.19956140350877194,0.05482456140350877,0.04276315789473684,0.11074561403508772
dames,0.06447831184056271,0.038686987104337635,0.053927315357561546,0.06565064478311841,0.05509964830011723,0.1254396248534584,0.1899179366940211,0.044548651817116064,0.029308323563892145,0.10668229777256741
messieurs,0.0707070707070707,0.04264870931537598,0.04713804713804714,0.08417508417508418,0.052749719416386086,0.13468013468013468,0.19304152637485972,0.051627384960718295,0.037037037037037035,0.1111111111111111
frères,0.06823266219239374,0.049217002237136466,0.0436241610738255,0.08389261744966443,0.053691275167785234,0.13758389261744966,0.1789709172259508,0.06599552572706935,0.0436241610738255,0.1029082774049217
sœurs,0.061452513966480445,0.05251396648044693,0.05027932960893855,0.07932960893854749,0.055865921787709494,0.1318435754189944,0.19106145251396647,0.05921787709497207,0.03910614525139665,0.09944134078212291
mères,0.06956521739130435,0.05326086956521739,0.051086956521739134,0.08260869565217391,0.057608695652173914,0.14456521739130435,0.19891304347826086,0.06086956521739131,0.03695652173913044,0.11630434782608695
pères,0.06753812636165578,0.054466230936819175,0.04357298474945534,0.07734204793028322,0.05555555555555555,0.12745098039215685,0.1906318082788671,0.054466230936819175,0.03594771241830065,0.12200435729847495
grands-pères,0.062159214830970554,0.05452562704471101,0.04362050163576881,0.08396946564885496,0.05561613958560523,0.13304252998909488,0.21155943293347873,0.05561613958560523,0.04252998909487459,0.12431842966194111
grand-mères,0.06298342541436464,0.05414364640883978,0.045303867403314914,0.08176795580110498,0.056353591160221,0.13259668508287292,0.20994475138121546,0.05414364640883978,0.039779005524861875,0.12044198895027625
mariées,0.06100217864923747,0.05664488017429194,0.044662309368191724,0.07952069716775599,0.06100217864923747,0.13616557734204793,0.1906318082788671,0.05555555555555555,0.04793028322440087,0.11002178649237472
mariés,0.05952380952380952,0.05519480519480519,0.04220779220779221,0.07683982683982683,0.06060606060606061,0.1341991341991342,0.1893939393939394,0.05519480519480519,0.049783549783549784,0.10714285714285714
écolières,0.06198347107438017,0.03512396694214876,0.05268595041322314,0.08057851239669421,0.038223140495867766,0.1384297520661157,0.1652892561983471,0.06508264462809918,0.03409090909090909,0.08884297520661157
écoliers,0.0712719298245614,0.05043859649122807,0.04824561403508772,0.08552631578947369,0.05482456140350877,0.14802631578947367,0.18640350877192982,0.05701754385964912,0.043859649122807015,0.10197368421052631
mamans,0.06352683461117196,0.05914567360350493,0.05147864184008762,0.07667031763417305,0.06681270536692223,0.13362541073384446,0.20262869660460023,0.05147864184008762,0.033953997809419496,0.11610076670317634
papas,0.0703125,0.056919642857142856,0.05133928571428571,0.08147321428571429,0.0625,0.13839285714285715,0.19308035714285715,0.052455357142857144,0.03794642857142857,0.11607142857142858
