,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
homosexuels,0.030379746835443037,0.039240506329113925,0.015189873417721518,0.053164556962025315,0.02278481012658228,0.1,0.16329113924050634,0.039240506329113925,0.027848101265822784,0.11392405063291139
lesbiennes,0.02631578947368421,0.03884711779448621,0.015037593984962405,0.05639097744360902,0.021303258145363407,0.09899749373433583,0.16541353383458646,0.040100250626566414,0.018796992481203006,0.12406015037593984
queers,0.02165605095541401,0.044585987261146494,0.007643312101910828,0.049681528662420385,0.024203821656050957,0.08280254777070063,0.1821656050955414,0.03184713375796178,0.024203821656050957,0.12611464968152866
transgenres,0.02435897435897436,0.03717948717948718,0.01282051282051282,0.05384615384615385,0.020512820512820513,0.1,0.16282051282051282,0.035897435897435895,0.020512820512820513,0.1282051282051282
homosexuels,0.030379746835443037,0.039240506329113925,0.015189873417721518,0.053164556962025315,0.02278481012658228,0.1,0.16329113924050634,0.039240506329113925,0.027848101265822784,0.11392405063291139
personnes pansexuelles,0.029556650246305417,0.03571428571428571,0.012315270935960592,0.04926108374384237,0.019704433497536946,0.09113300492610837,0.1748768472906404,0.0332512315270936,0.024630541871921183,0.12192118226600986
personnes queers,0.026888604353393086,0.03969270166453265,0.011523687580025609,0.06145966709346991,0.014084507042253521,0.09475032010243278,0.176696542893726,0.03841229193341869,0.030729833546734954,0.13956466069142126
pédés,0.03153745072273324,0.03810775295663601,0.01445466491458607,0.051248357424441525,0.024967148488830485,0.10249671484888305,0.16557161629434955,0.040735873850197106,0.02102496714848883,0.10775295663600526
personnes bisexuelles,0.0341047503045067,0.037758830694275276,0.014616321559074299,0.049939098660170524,0.025578562728380026,0.09744214372716199,0.17174177831912302,0.037758830694275276,0.029232643118148598,0.12667478684531058
personnes asexuelles,0.035175879396984924,0.03768844221105527,0.01507537688442211,0.05150753768844221,0.02135678391959799,0.0992462311557789,0.1670854271356784,0.038944723618090454,0.02512562814070352,0.12311557788944724
travestis,0.026027397260273973,0.03972602739726028,0.01643835616438356,0.050684931506849315,0.02054794520547945,0.0958904109589041,0.1589041095890411,0.038356164383561646,0.021917808219178082,0.1136986301369863
tapettes,0.026385224274406333,0.03430079155672823,0.013192612137203167,0.05672823218997362,0.021108179419525065,0.10026385224274406,0.15963060686015831,0.03562005277044855,0.018469656992084433,0.11081794195250659
