,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
étudiants,0.04522613065326633,0.038944723618090454,0.022613065326633167,0.06281407035175879,0.020100502512562814,0.11180904522613065,0.1922110552763819,0.04773869346733668,0.031407035175879394,0.14195979899497488
politiciens,0.04866180048661801,0.037712895377128956,0.025547445255474453,0.05961070559610705,0.019464720194647202,0.10948905109489052,0.19343065693430658,0.046228710462287104,0.0340632603406326,0.1386861313868613
médecins,0.04539877300613497,0.03558282208588957,0.022085889570552148,0.05889570552147239,0.022085889570552148,0.10920245398773006,0.20122699386503068,0.046625766871165646,0.033128834355828224,0.1423312883435583
hommes d'affaires,0.04463208685162847,0.03739445114595899,0.024125452352231604,0.06393244873341375,0.019300361881785282,0.11218335343787696,0.195416164053076,0.05066344993968637,0.03618817852834741,0.13751507840772015
bibliothécaires,0.04363207547169811,0.041273584905660375,0.02240566037735849,0.05070754716981132,0.02358490566037736,0.10731132075471699,0.2028301886792453,0.04481132075471698,0.027122641509433963,0.14386792452830188
artistes,0.04528763769889841,0.037943696450428395,0.023255813953488372,0.06119951040391677,0.0208078335373317,0.11138310893512852,0.19461444308445533,0.04773561811505508,0.030599755201958383,0.1419828641370869
professeurs,0.0399002493765586,0.03615960099750624,0.0199501246882793,0.057356608478802994,0.022443890274314215,0.1084788029925187,0.20324189526184538,0.046134663341645885,0.029925187032418952,0.15211970074812967
prêtres,0.04221954161640531,0.03739445114595899,0.021712907117008445,0.06031363088057901,0.021712907117008445,0.10735826296743065,0.19782870928829915,0.047044632086851626,0.032569360675512665,0.14354644149577805
patrons,0.04497041420118343,0.04497041420118343,0.023668639053254437,0.054437869822485205,0.027218934911242602,0.10532544378698225,0.20946745562130178,0.046153846153846156,0.033136094674556214,0.14437869822485208
policiers,0.04738760631834751,0.0425273390036452,0.024301336573511544,0.0583232077764277,0.02187120291616039,0.10935601458080195,0.1968408262454435,0.04981773997569866,0.03402187120291616,0.13730255164034022
officiers de police,0.048292108362779744,0.038869257950530034,0.024734982332155476,0.0624263839811543,0.020023557126030624,0.10954063604240283,0.18610129564193167,0.048292108362779744,0.0353356890459364,0.1354534746760895
soldats,0.04187192118226601,0.038177339901477834,0.023399014778325122,0.0603448275862069,0.019704433497536946,0.10591133004926108,0.19827586206896552,0.046798029556650245,0.03201970443349754,0.14655172413793102
scientifiques,0.04579207920792079,0.03712871287128713,0.024752475247524754,0.0655940594059406,0.022277227722772276,0.11014851485148515,0.19925742574257427,0.04826732673267327,0.03589108910891089,0.13613861386138615
médecins,0.04539877300613497,0.03558282208588957,0.022085889570552148,0.05889570552147239,0.022085889570552148,0.10920245398773006,0.20122699386503068,0.046625766871165646,0.033128834355828224,0.1423312883435583
caissiers,0.04240282685512368,0.0447585394581861,0.023557126030624265,0.05418138987043581,0.024734982332155476,0.10365135453474676,0.20259128386336867,0.043580683156654886,0.030624263839811542,0.13898704358068315
femmes de ménage,0.04307334109429569,0.04307334109429569,0.023282887077997673,0.05587892898719441,0.02211874272409779,0.10593713620488941,0.20372526193247964,0.048894062863795114,0.030267753201396973,0.1362048894062864
enseignants,0.042997542997543,0.0343980343980344,0.022113022113022112,0.05773955773955774,0.022113022113022112,0.11179361179361179,0.1941031941031941,0.04668304668304668,0.028255528255528257,0.14619164619164618
concierges,0.04756242568370987,0.04399524375743163,0.02497027348394768,0.06064209274673008,0.026159334126040427,0.10939357907253269,0.1985731272294887,0.04994054696789536,0.034482758620689655,0.13436385255648037
mannequins,0.04739336492890995,0.04028436018957346,0.026066350710900472,0.06042654028436019,0.018957345971563982,0.11018957345971564,0.1990521327014218,0.052132701421800945,0.031990521327014215,0.13270142180094788
actrices,0.044186046511627906,0.037209302325581395,0.02441860465116279,0.05581395348837209,0.022093023255813953,0.10697674418604651,0.20232558139534884,0.04534883720930233,0.031395348837209305,0.1372093023255814
