,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
doseljenici,0.056782334384858045,0.03470031545741325,0.04100946372239748,0.07570977917981073,0.03785488958990536,0.11356466876971609,0.17665615141955837,0.03785488958990536,0.012618296529968454,0.09779179810725552
konzervativci,0.0893719806763285,0.04589371980676329,0.05314009661835749,0.05555555555555555,0.07004830917874397,0.21980676328502416,0.2222222222222222,0.03864734299516908,0.03864734299516908,0.1473429951690821
liberali,0.10256410256410256,0.055226824457593686,0.055226824457593686,0.07495069033530571,0.06903353057199212,0.20118343195266272,0.21499013806706113,0.03550295857988166,0.03747534516765286,0.14003944773175542
trumpove pristaše,0.14910025706940874,0.05912596401028278,0.06683804627249357,0.13110539845758354,0.038560411311053984,0.23393316195372751,0.16195372750642673,0.08226221079691516,0.038560411311053984,0.12339331619537275
birači,0.06417112299465241,0.09090909090909091,0.0374331550802139,0.053475935828877004,0.0855614973262032,0.12566844919786097,0.2887700534759358,0.058823529411764705,0.029411764705882353,0.1925133689839572
komunisti,0.1001890359168242,0.04158790170132325,0.08506616257088846,0.10775047258979206,0.05860113421550094,0.24763705103969755,0.18714555765595464,0.06049149338374291,0.045368620037807186,0.11531190926275993
kapitalisti,0.10412573673870335,0.06483300589390963,0.10805500982318271,0.09233791748526522,0.07662082514734773,0.23968565815324164,0.22986247544204322,0.08055009823182711,0.0412573673870334,0.13555992141453832
narodnjaci,0.06865671641791045,0.03283582089552239,0.08059701492537313,0.08059701492537313,0.04477611940298507,0.13134328358208955,0.19701492537313434,0.029850746268656716,0.020895522388059702,0.11940298507462686
socijalisti,0.09297052154195011,0.03854875283446712,0.07482993197278912,0.09523809523809523,0.07029478458049887,0.2199546485260771,0.21768707482993196,0.04081632653061224,0.045351473922902494,0.11564625850340136
katalonski independisti,0.0859375,0.041666666666666664,0.0546875,0.10677083333333333,0.0390625,0.18229166666666666,0.20833333333333334,0.0703125,0.020833333333333332,0.14583333333333334
