,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
immigrants,0.023166023166023165,0.04826254826254826,0.02895752895752896,0.0694980694980695,0.03861003861003861,0.10617760617760617,0.19111969111969113,0.052123552123552123,0.011583011583011582,0.13127413127413126
conservatives,0.04007285974499089,0.052823315118397086,0.04553734061930783,0.06375227686703097,0.04189435336976321,0.13296903460837886,0.18579234972677597,0.052823315118397086,0.012750455373406194,0.12932604735883424
liberals,0.028089887640449437,0.054307116104868915,0.033707865168539325,0.07116104868913857,0.04681647940074907,0.11423220973782772,0.19850187265917604,0.052434456928838954,0.013108614232209739,0.14794007490636704
trump supporters,0.026833631484794274,0.04830053667262969,0.03398926654740608,0.06618962432915922,0.046511627906976744,0.12343470483005367,0.19499105545617174,0.0518783542039356,0.014311270125223614,0.13595706618962433
voters,0.02214022140221402,0.05350553505535055,0.025830258302583026,0.06273062730627306,0.03690036900369004,0.1070110701107011,0.18265682656826568,0.046125461254612546,0.012915129151291513,0.12546125461254612
communists,0.0347985347985348,0.054945054945054944,0.02564102564102564,0.07509157509157509,0.04395604395604396,0.1282051282051282,0.1813186813186813,0.05311355311355311,0.014652014652014652,0.10989010989010989
capitalists,0.022304832713754646,0.05762081784386617,0.02973977695167286,0.06505576208178439,0.046468401486988845,0.10594795539033457,0.20260223048327136,0.05018587360594796,0.013011152416356878,0.13197026022304834
populists,0.030592734225621414,0.05353728489483748,0.036328871892925434,0.06692160611854685,0.04206500956022945,0.11854684512428298,0.20267686424474188,0.0497131931166348,0.011472275334608031,0.13193116634799235
socialists,0.02702702702702703,0.055855855855855854,0.032432432432432434,0.06666666666666667,0.05045045045045045,0.11351351351351352,0.1945945945945946,0.05225225225225225,0.012612612612612612,0.13333333333333333
catalan independentists,0.034220532319391636,0.043726235741444866,0.028517110266159697,0.06653992395437262,0.043726235741444866,0.11787072243346007,0.1958174904942966,0.058935361216730035,0.013307984790874524,0.13688212927756654
