,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
étudiants,0.04739336492890995,0.0509478672985782,0.02014218009478673,0.06398104265402843,0.030805687203791468,0.11729857819905214,0.20260663507109006,0.04976303317535545,0.03909952606635071,0.11848341232227488
politiciens,0.05384615384615385,0.04230769230769231,0.03333333333333333,0.06794871794871794,0.028205128205128206,0.11923076923076924,0.1858974358974359,0.05384615384615385,0.041025641025641026,0.14358974358974358
médecins,0.05184331797235023,0.059907834101382486,0.029953917050691243,0.06336405529953917,0.04032258064516129,0.1152073732718894,0.20967741935483872,0.05069124423963134,0.05184331797235023,0.14170506912442396
hommes d'affaires,0.04838709677419355,0.05086848635235732,0.019851116625310174,0.06327543424317618,0.028535980148883373,0.10794044665012408,0.21215880893300249,0.05459057071960298,0.034739454094292806,0.13399503722084366
bibliothécaires,0.03958090803259604,0.05587892898719441,0.020954598370197905,0.06286379511059371,0.03259604190919674,0.10360884749708964,0.19324796274738068,0.05355064027939464,0.034924330616996506,0.12572759022118743
artistes,0.04540162980209546,0.059371362048894066,0.015133876600698487,0.06984866123399301,0.033760186263096625,0.10244470314318975,0.21187427240977882,0.05471478463329453,0.04307334109429569,0.12223515715948778
professeurs,0.048134777376654635,0.05174488567990373,0.024067388688327317,0.06016847172081829,0.030084235860409144,0.11191335740072202,0.2045728038507822,0.05054151624548736,0.03730445246690734,0.13116726835138387
prêtres,0.054388133498145856,0.05067985166872682,0.02843016069221261,0.07169344870210136,0.037082818294190356,0.1273176761433869,0.2126081582200247,0.05686032138442522,0.04449938195302843,0.13597033374536466
patrons,0.041469194312796206,0.04028436018957346,0.014218009478672985,0.06279620853080568,0.027251184834123223,0.11137440758293839,0.1943127962085308,0.0509478672985782,0.03317535545023697,0.12914691943127962
policiers,0.0535279805352798,0.052311435523114354,0.027980535279805353,0.07177615571776155,0.0267639902676399,0.12165450121654502,0.17761557177615572,0.0535279805352798,0.046228710462287104,0.1362530413625304
officiers de police,0.047398843930635835,0.05086705202312139,0.025433526011560695,0.06820809248554913,0.019653179190751446,0.10635838150289018,0.18034682080924855,0.047398843930635835,0.035838150289017344,0.13410404624277455
soldats,0.0519159456118665,0.04697156983930779,0.029666254635352288,0.07045735475896168,0.022249690976514216,0.12360939431396786,0.2027194066749073,0.05067985166872682,0.042027194066749075,0.13967861557478367
scientifiques,0.04880952380952381,0.06190476190476191,0.030952380952380953,0.06547619047619048,0.03333333333333333,0.12380952380952381,0.20714285714285716,0.04642857142857143,0.05238095238095238,0.1392857142857143
