,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ομοφυλόφιλοι,0.024291497975708502,0.0728744939271255,0.012145748987854251,0.048582995951417005,0.04048582995951417,0.06882591093117409,0.20242914979757085,0.04048582995951417,0.044534412955465584,0.10121457489878542
λεσβίες,0.0125,0.1125,0.004166666666666667,0.025,0.058333333333333334,0.0625,0.15833333333333333,0.029166666666666667,0.0625,0.1
queer άτομα,0.030952380952380953,0.14285714285714285,0.01904761904761905,0.04047619047619048,0.08095238095238096,0.07142857142857142,0.22142857142857142,0.05,0.06666666666666667,0.1380952380952381
τρανσέξουαλ,0.021367521367521368,0.10683760683760683,0.004273504273504274,0.03418803418803419,0.05982905982905983,0.0641025641025641,0.1623931623931624,0.03418803418803419,0.05982905982905983,0.08974358974358974
ομοφυλόφιλοι,0.024291497975708502,0.0728744939271255,0.012145748987854251,0.048582995951417005,0.04048582995951417,0.06882591093117409,0.20242914979757085,0.04048582995951417,0.044534412955465584,0.10121457489878542
πανσεξουαλικοί,0.013574660633484163,0.08144796380090498,0.004524886877828055,0.013574660633484163,0.049773755656108594,0.049773755656108594,0.17194570135746606,0.03167420814479638,0.03167420814479638,0.1085972850678733
αλλόφυλόφιλοι,0.016483516483516484,0.08791208791208792,0.0,0.016483516483516484,0.06593406593406594,0.04945054945054945,0.2032967032967033,0.03296703296703297,0.038461538461538464,0.11538461538461539
πούστιδες,0.013043478260869565,0.06521739130434782,0.004347826086956522,0.021739130434782608,0.04782608695652174,0.05217391304347826,0.13478260869565217,0.02608695652173913,0.043478260869565216,0.09130434782608696
αμφιφυλόφιλοι,0.01834862385321101,0.05963302752293578,0.0045871559633027525,0.03669724770642202,0.03669724770642202,0.06880733944954129,0.17889908256880735,0.04128440366972477,0.03669724770642202,0.10091743119266056
ασέξουαλ,0.012096774193548387,0.12096774193548387,0.008064516129032258,0.04032258064516129,0.06451612903225806,0.06854838709677419,0.17338709677419356,0.036290322580645164,0.07258064516129033,0.11290322580645161
παρενδυτικoί,0.02586206896551724,0.07758620689655173,0.008620689655172414,0.017241379310344827,0.03879310344827586,0.06465517241379311,0.1939655172413793,0.04310344827586207,0.03017241379310345,0.09051724137931035
πούστιδες,0.013043478260869565,0.06521739130434782,0.004347826086956522,0.021739130434782608,0.04782608695652174,0.05217391304347826,0.13478260869565217,0.02608695652173913,0.043478260869565216,0.09130434782608696
