,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
immigrants,0.11784511784511785,0.038159371492704826,0.09652076318742986,0.16049382716049382,0.024691358024691357,0.22671156004489337,0.13916947250280584,0.10662177328843996,0.04040404040404041,0.09652076318742986
conservatives,0.11183496199782844,0.033659066232356136,0.09011943539630836,0.12920738327904452,0.035830618892508145,0.2301845819761129,0.13246471226927253,0.08360477741585233,0.029315960912052116,0.10097719869706841
liberals,0.14332603938730853,0.04048140043763676,0.1050328227571116,0.16630196936542668,0.0437636761487965,0.2592997811816193,0.14660831509846828,0.09299781181619256,0.045951859956236324,0.12582056892778992
trump supporters,0.16881594372801875,0.04220398593200469,0.11723329425556858,0.18757327080890973,0.04689331770222743,0.31535756154747946,0.13130128956623682,0.11019929660023446,0.053927315357561546,0.10199296600234467
voters,0.12364945978391356,0.03241296518607443,0.10444177671068428,0.148859543817527,0.031212484993997598,0.24369747899159663,0.12725090036014405,0.09723889555822329,0.04441776710684274,0.10204081632653061
communists,0.15246636771300448,0.04035874439461883,0.11547085201793722,0.1827354260089686,0.03587443946188341,0.2825112107623318,0.11771300448430494,0.10986547085201794,0.04932735426008968,0.0930493273542601
capitalists,0.1049317943336831,0.03987408184679958,0.10283315844700944,0.12801678908709338,0.03672612801678909,0.24554039874081846,0.15424973767051417,0.0944386149003148,0.03672612801678909,0.11857292759706191
populists,0.14806629834254142,0.04419889502762431,0.10607734806629834,0.15027624309392265,0.04640883977900553,0.2596685082872928,0.14806629834254142,0.08508287292817679,0.051933701657458566,0.12044198895027625
socialists,0.13714902807775378,0.035637149028077755,0.10367170626349892,0.15442764578833693,0.042116630669546434,0.2613390928725702,0.14578833693304535,0.09611231101511879,0.042116630669546434,0.12095032397408208
catalan independentists,0.1465324384787472,0.04586129753914989,0.10738255033557047,0.16890380313199105,0.04809843400447427,0.27069351230425054,0.15100671140939598,0.10626398210290827,0.049217002237136466,0.10738255033557047
