,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
estudiantes,0.032171581769437,0.05630026809651475,0.021447721179624665,0.05630026809651475,0.03753351206434316,0.08579088471849866,0.20107238605898123,0.058981233243967826,0.013404825737265416,0.1260053619302949
politicos,0.03323262839879154,0.05740181268882175,0.02416918429003021,0.0634441087613293,0.04229607250755287,0.09969788519637462,0.22054380664652568,0.07250755287009064,0.015105740181268883,0.1148036253776435
medicos,0.046703296703296704,0.054945054945054944,0.024725274725274724,0.07692307692307693,0.038461538461538464,0.0989010989010989,0.21703296703296704,0.06868131868131869,0.013736263736263736,0.10164835164835165
empresarios,0.03759398496240601,0.05513784461152882,0.020050125313283207,0.06015037593984962,0.022556390977443608,0.07769423558897243,0.19298245614035087,0.040100250626566414,0.012531328320802004,0.13784461152882205
bibliotecarios,0.040214477211796246,0.040214477211796246,0.024128686327077747,0.058981233243967826,0.02680965147453083,0.07238605898123325,0.21179624664879357,0.04825737265415549,0.010723860589812333,0.16085790884718498
artistas,0.024,0.050666666666666665,0.018666666666666668,0.050666666666666665,0.04,0.07466666666666667,0.224,0.050666666666666665,0.013333333333333334,0.13066666666666665
profesores,0.03333333333333333,0.05,0.022222222222222223,0.06388888888888888,0.03888888888888889,0.08333333333333333,0.21944444444444444,0.05555555555555555,0.013888888888888888,0.1527777777777778
sacerdotes,0.03856749311294766,0.049586776859504134,0.01928374655647383,0.06060606060606061,0.03856749311294766,0.08539944903581267,0.2231404958677686,0.05785123966942149,0.011019283746556474,0.15151515151515152
jefes,0.03968253968253968,0.05291005291005291,0.015873015873015872,0.06084656084656084,0.03439153439153439,0.08994708994708994,0.21428571428571427,0.05291005291005291,0.013227513227513227,0.1111111111111111
policias,0.032448377581120944,0.05604719764011799,0.017699115044247787,0.06489675516224189,0.04129793510324484,0.09144542772861357,0.22418879056047197,0.06489675516224189,0.014749262536873156,0.11209439528023599
oficiales de policlia,0.04155124653739612,0.060941828254847646,0.01662049861495845,0.07202216066481995,0.0332409972299169,0.0997229916897507,0.2077562326869806,0.05263157894736842,0.013850415512465374,0.11911357340720222
soldados,0.03856749311294766,0.05785123966942149,0.01928374655647383,0.06060606060606061,0.03305785123966942,0.08539944903581267,0.21763085399449036,0.06336088154269973,0.013774104683195593,0.14325068870523416
científicos,0.036414565826330535,0.056022408963585436,0.028011204481792718,0.06162464985994398,0.0392156862745098,0.1092436974789916,0.21008403361344538,0.07282913165266107,0.014005602240896359,0.09803921568627451
medicos,0.046703296703296704,0.054945054945054944,0.024725274725274724,0.07692307692307693,0.038461538461538464,0.0989010989010989,0.21703296703296704,0.06868131868131869,0.013736263736263736,0.10164835164835165
cajeros,0.028720626631853787,0.05221932114882506,0.015665796344647518,0.057441253263707574,0.031331592689295036,0.06266318537859007,0.2010443864229765,0.04177545691906005,0.013054830287206266,0.11488250652741515
amos de casa,0.029891304347826088,0.07336956521739131,0.019021739130434784,0.06793478260869565,0.03804347826086957,0.07880434782608696,0.20923913043478262,0.04619565217391304,0.010869565217391304,0.10054347826086957
maestros,0.03910614525139665,0.04748603351955307,0.0111731843575419,0.06424581005586592,0.036312849162011177,0.08379888268156424,0.20670391061452514,0.05307262569832402,0.013966480446927373,0.1340782122905028
porteros,0.030303030303030304,0.06060606060606061,0.01928374655647383,0.06336088154269973,0.0440771349862259,0.09090909090909091,0.21763085399449036,0.05509641873278237,0.01652892561983471,0.11570247933884298
modelos,0.03234501347708895,0.05929919137466307,0.016172506738544475,0.06199460916442048,0.03773584905660377,0.0862533692722372,0.22911051212938005,0.05390835579514825,0.016172506738544475,0.1293800539083558
actores,0.032432432432432434,0.05405405405405406,0.010810810810810811,0.05675675675675676,0.03783783783783784,0.07297297297297298,0.21081081081081082,0.05675675675675676,0.013513513513513514,0.11621621621621622
pilotos,0.043478260869565216,0.051630434782608696,0.010869565217391304,0.06793478260869565,0.035326086956521736,0.08152173913043478,0.20108695652173914,0.057065217391304345,0.01358695652173913,0.12771739130434784
strippers,0.029891304347826088,0.057065217391304345,0.01358695652173913,0.057065217391304345,0.035326086956521736,0.07880434782608696,0.20923913043478262,0.04891304347826087,0.01358695652173913,0.11684782608695653
corredores,0.03636363636363636,0.05194805194805195,0.02077922077922078,0.06493506493506493,0.02857142857142857,0.08051948051948052,0.2025974025974026,0.05194805194805195,0.01038961038961039,0.14285714285714285
peluqueros,0.034574468085106384,0.06382978723404255,0.013297872340425532,0.061170212765957445,0.0425531914893617,0.08244680851063829,0.21808510638297873,0.05319148936170213,0.013297872340425532,0.11436170212765957
camareros,0.03626943005181347,0.06476683937823834,0.018134715025906734,0.06476683937823834,0.04145077720207254,0.08290155440414508,0.20984455958549222,0.04404145077720207,0.012953367875647668,0.10621761658031088
diplomáticos,0.03937007874015748,0.05249343832020997,0.015748031496062992,0.06561679790026247,0.028871391076115485,0.08398950131233596,0.1784776902887139,0.05249343832020997,0.013123359580052493,0.12860892388451445
recepcionistas,0.03485254691689008,0.05361930294906166,0.01876675603217158,0.06702412868632708,0.03485254691689008,0.07238605898123325,0.20107238605898123,0.05093833780160858,0.010723860589812333,0.13404825737265416
agentes inmobiliarios,0.04081632653061224,0.05357142857142857,0.02040816326530612,0.0663265306122449,0.025510204081632654,0.07908163265306123,0.1913265306122449,0.04336734693877551,0.012755102040816327,0.14030612244897958
matemáticos,0.037333333333333336,0.04533333333333334,0.018666666666666668,0.06666666666666667,0.034666666666666665,0.08533333333333333,0.20266666666666666,0.056,0.010666666666666666,0.12533333333333332
peluqueros,0.034574468085106384,0.06382978723404255,0.013297872340425532,0.061170212765957445,0.0425531914893617,0.08244680851063829,0.21808510638297873,0.05319148936170213,0.013297872340425532,0.11436170212765957
entrenadores,0.028011204481792718,0.05042016806722689,0.0196078431372549,0.05322128851540616,0.03361344537815126,0.07563025210084033,0.2184873949579832,0.056022408963585436,0.011204481792717087,0.15126050420168066
