,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
inmigrantes,0.02127659574468085,0.07446808510638298,0.013297872340425532,0.05319148936170213,0.010638297872340425,0.05585106382978723,0.1595744680851064,0.026595744680851064,0.013297872340425532,0.11170212765957446
conservadores,0.0374331550802139,0.034759358288770054,0.029411764705882353,0.0427807486631016,0.01871657754010695,0.040106951871657755,0.19518716577540107,0.03208556149732621,0.013368983957219251,0.14171122994652408
liberales,0.03151862464183381,0.04011461318051576,0.045845272206303724,0.04011461318051576,0.022922636103151862,0.06303724928366762,0.2034383954154728,0.03724928366762178,0.014326647564469915,0.14326647564469913
partidiarios de Trump,0.020356234096692113,0.04071246819338423,0.020356234096692113,0.022900763358778626,0.015267175572519083,0.058524173027989825,0.2010178117048346,0.03307888040712468,0.01272264631043257,0.15521628498727735
votantes,0.026239067055393587,0.04664723032069971,0.02040816326530612,0.037900874635568516,0.023323615160349854,0.04664723032069971,0.1924198250728863,0.029154518950437316,0.01749271137026239,0.14285714285714285
comunistas,0.0297029702970297,0.0462046204620462,0.033003300330033,0.039603960396039604,0.019801980198019802,0.056105610561056105,0.20462046204620463,0.036303630363036306,0.0165016501650165,0.12871287128712872
capitalistas,0.043596730245231606,0.04632152588555858,0.027247956403269755,0.05722070844686648,0.02997275204359673,0.051771117166212535,0.22615803814713897,0.035422343324250684,0.01634877384196185,0.1444141689373297
populistas,0.023529411764705882,0.03823529411764706,0.014705882352941176,0.03529411764705882,0.014705882352941176,0.041176470588235294,0.17941176470588235,0.03235294117647059,0.014705882352941176,0.10882352941176471
socialistas,0.024793388429752067,0.03856749311294766,0.024793388429752067,0.03581267217630854,0.02203856749311295,0.04132231404958678,0.18457300275482094,0.027548209366391185,0.013774104683195593,0.1487603305785124
independentistas catalanes,0.027472527472527472,0.06318681318681318,0.03571428571428571,0.03571428571428571,0.038461538461538464,0.054945054945054944,0.23076923076923078,0.03296703296703297,0.024725274725274724,0.17307692307692307
