,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Asiatiques,0.05100956429330499,0.044633368756641874,0.04250797024442083,0.06801275239107332,0.05100956429330499,0.11583421891604676,0.1902231668437832,0.048884165781083955,0.03506907545164718,0.10520722635494155
Américains,0.05894962486602358,0.04501607717041801,0.04608788853161844,0.06859592711682744,0.05037513397642015,0.1232583065380493,0.19506966773847803,0.04930332261521972,0.03751339764201501,0.10289389067524116
Européens,0.05619146722164412,0.04058272632674298,0.043704474505723206,0.06555671175858481,0.04994797086368366,0.12695109261186263,0.1914672216441207,0.05098855359001041,0.04058272632674298,0.1040582726326743
Juifs,0.0939524838012959,0.04643628509719223,0.05723542116630669,0.10583153347732181,0.04535637149028078,0.1673866090712743,0.1771058315334773,0.07127429805615551,0.047516198704103674,0.10043196544276457
Indiens,0.06929637526652452,0.053304904051172705,0.05223880597014925,0.10021321961620469,0.0511727078891258,0.14712153518123666,0.18017057569296374,0.07142857142857142,0.046908315565031986,0.09914712153518124
Russes,0.07399347116430903,0.051142546245919476,0.04787812840043525,0.09357997823721437,0.055495103373231776,0.14689880304678998,0.18715995647442873,0.062023939064200215,0.046789989118607184,0.1044613710554951
Africains,0.05991285403050109,0.03812636165577342,0.046840958605664486,0.07298474945533769,0.04793028322440087,0.12636165577342048,0.19172113289760348,0.05228758169934641,0.042483660130718956,0.10348583877995643
Noirs,0.06183368869936034,0.04157782515991471,0.04797441364605544,0.08315565031982942,0.046908315565031986,0.13646055437100213,0.17484008528784648,0.05970149253731343,0.04371002132196162,0.10127931769722814
Mexicains,0.060935799782372145,0.051142546245919476,0.04787812840043525,0.07399347116430903,0.05223068552774755,0.1294885745375408,0.1838955386289445,0.05331882480957562,0.03808487486398259,0.10337323177366703
Blancs,0.06832971800433839,0.04121475054229935,0.046637744034707156,0.08026030368763558,0.04880694143167028,0.13123644251626898,0.1789587852494577,0.049891540130151846,0.04013015184381779,0.10086767895878525
personnes Noirs,0.056842105263157895,0.04,0.045263157894736845,0.06736842105263158,0.042105263157894736,0.12631578947368421,0.18105263157894738,0.04631578947368421,0.037894736842105266,0.10210526315789474
personnes blanches,0.0641025641025641,0.03952991452991453,0.05555555555555555,0.07051282051282051,0.04807692307692308,0.1346153846153846,0.1891025641025641,0.05128205128205128,0.03739316239316239,0.10042735042735043
Allemands,0.06870229007633588,0.05016357688113413,0.04471101417666303,0.08287895310796074,0.05343511450381679,0.13740458015267176,0.1875681570338059,0.05561613958560523,0.04580152671755725,0.10468920392584515
Blondes,0.06271379703534778,0.03534777651083238,0.04789053591790194,0.06043329532497149,0.05131128848346636,0.12428734321550741,0.1676168757126568,0.04446978335233751,0.03192702394526796,0.09007981755986318
filles blondes,0.06299212598425197,0.04274465691788527,0.05399325084364454,0.06524184476940383,0.052868391451068614,0.13385826771653545,0.17997750281214847,0.04161979752530934,0.03374578177727784,0.09786276715410573
Arabes,0.07934782608695652,0.04565217391304348,0.04891304347826087,0.10326086956521739,0.04565217391304348,0.15434782608695652,0.175,0.06847826086956521,0.04673913043478261,0.10434782608695652
Américains blancs,0.06763787721123829,0.04266389177939646,0.055150884495317375,0.07284079084287201,0.046826222684703434,0.13527575442247658,0.1841831425598335,0.05098855359001041,0.04058272632674298,0.09885535900104059
