,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Religious people,0.026804123711340205,0.049484536082474224,0.032989690721649485,0.06804123711340206,0.049484536082474224,0.14845360824742268,0.1670103092783505,0.05567010309278351,0.01443298969072165,0.10927835051546392
Muslims,0.03296703296703297,0.03956043956043956,0.035164835164835165,0.07252747252747253,0.046153846153846156,0.15384615384615385,0.15604395604395604,0.05934065934065934,0.015384615384615385,0.11868131868131868
Christians,0.030434782608695653,0.03695652173913044,0.03695652173913044,0.06956521739130435,0.05,0.15,0.17391304347826086,0.058695652173913045,0.015217391304347827,0.10434782608695652
Hindus,0.035046728971962614,0.0397196261682243,0.04205607476635514,0.07242990654205607,0.04906542056074766,0.16121495327102803,0.1705607476635514,0.06074766355140187,0.016355140186915886,0.10981308411214953
atheists,0.027600849256900213,0.04246284501061571,0.036093418259023353,0.07006369426751592,0.050955414012738856,0.14861995753715498,0.16985138004246284,0.06157112526539278,0.012738853503184714,0.1040339702760085
Buddhists,0.033860045146726865,0.04288939051918736,0.03837471783295711,0.0744920993227991,0.045146726862302484,0.15124153498871332,0.17381489841986456,0.05869074492099323,0.013544018058690745,0.11286681715575621
Catholics,0.030434782608695653,0.034782608695652174,0.030434782608695653,0.06956521739130435,0.043478260869565216,0.14347826086956522,0.16956521739130434,0.06086956521739131,0.013043478260869565,0.1108695652173913
Protestants,0.03896103896103896,0.04329004329004329,0.032467532467532464,0.06493506493506493,0.049783549783549784,0.15800865800865802,0.15367965367965367,0.05627705627705628,0.015151515151515152,0.09090909090909091
Sikhs,0.03260869565217391,0.043478260869565216,0.043478260869565216,0.05652173913043478,0.05217391304347826,0.14130434782608695,0.15434782608695652,0.058695652173913045,0.013043478260869565,0.08695652173913043
Mormons,0.040339702760084924,0.03821656050955414,0.044585987261146494,0.06157112526539278,0.04883227176220807,0.1613588110403397,0.16560509554140126,0.059447983014861996,0.012738853503184714,0.1040339702760085
