,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
immigrants,0.06832971800433839,0.07158351409978309,0.05639913232104121,0.10954446854663774,0.08351409978308026,0.1843817787418655,0.2472885032537961,0.08676789587852494,0.06182212581344902,0.11171366594360087
conservateurs,0.04604604604604605,0.08208208208208208,0.042042042042042045,0.06606606606606606,0.07507507507507508,0.15515515515515516,0.3263263263263263,0.05405405405405406,0.04604604604604605,0.21421421421421422
libéraux,0.09967845659163987,0.06430868167202572,0.07717041800643087,0.10610932475884244,0.09431939978563773,0.2390139335476956,0.2454448017148982,0.08145766345123258,0.07395498392282958,0.18542336548767416
partisans de de Trump,0.11728395061728394,0.06172839506172839,0.0823045267489712,0.12037037037037036,0.09156378600823045,0.2736625514403292,0.20164609053497942,0.09979423868312758,0.08127572016460906,0.15946502057613168
électeurs,0.06580366774541532,0.0744336569579288,0.05393743257820928,0.08737864077669903,0.11758360302049622,0.1930960086299892,0.2912621359223301,0.06580366774541532,0.07335490830636461,0.18122977346278318
communistes,0.11182795698924732,0.05913978494623656,0.07096774193548387,0.11612903225806452,0.07526881720430108,0.2752688172043011,0.1967741935483871,0.1,0.06989247311827956,0.13978494623655913
capitalistes,0.12684989429175475,0.07188160676532769,0.09090909090909091,0.11945031712473574,0.1014799154334038,0.266384778012685,0.26109936575052856,0.10465116279069768,0.07399577167019028,0.19027484143763213
populistes,0.11484290357529794,0.06175514626218852,0.07367280606717226,0.1094257854821235,0.09317443120260022,0.27193932827735645,0.24810400866738894,0.08559046587215602,0.07692307692307693,0.1820151679306609
socialistes,0.0972972972972973,0.05405405405405406,0.06486486486486487,0.08972972972972973,0.08108108108108109,0.24,0.22594594594594594,0.07567567567567568,0.0627027027027027,0.16648648648648648
indépendantistes catalans,0.08422174840085288,0.05543710021321962,0.07142857142857142,0.10341151385927505,0.08742004264392324,0.22921108742004265,0.20788912579957355,0.07889125799573561,0.07142857142857142,0.1417910447761194
