,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
immigrants,0.041666666666666664,0.03508771929824561,0.02631578947368421,0.07675438596491228,0.02412280701754386,0.12938596491228072,0.17105263157894737,0.06140350877192982,0.006578947368421052,0.09429824561403509
conservatives,0.053268765133171914,0.031476997578692496,0.0387409200968523,0.06053268765133172,0.031476997578692496,0.13801452784503632,0.18886198547215496,0.048426150121065374,0.009685230024213076,0.1162227602905569
liberals,0.05620608899297424,0.0234192037470726,0.04918032786885246,0.07728337236533958,0.02107728337236534,0.16159250585480095,0.21311475409836064,0.06557377049180328,0.01639344262295082,0.11241217798594848
trump supporters,0.0502283105022831,0.02968036529680365,0.0273972602739726,0.0684931506849315,0.02968036529680365,0.16666666666666666,0.1872146118721461,0.0593607305936073,0.0182648401826484,0.13470319634703196
voters,0.04487179487179487,0.03632478632478633,0.023504273504273504,0.06837606837606838,0.02564102564102564,0.14316239316239315,0.2222222222222222,0.05982905982905983,0.027777777777777776,0.14957264957264957
communists,0.05412371134020619,0.03608247422680412,0.023195876288659795,0.07989690721649484,0.030927835051546393,0.15206185567010308,0.211340206185567,0.061855670103092786,0.015463917525773196,0.13917525773195877
capitalists,0.05913978494623656,0.03225806451612903,0.04838709677419355,0.07258064516129033,0.03225806451612903,0.1532258064516129,0.22580645161290322,0.08870967741935484,0.013440860215053764,0.11290322580645161
populists,0.058673469387755105,0.030612244897959183,0.025510204081632654,0.07397959183673469,0.02806122448979592,0.14030612244897958,0.21683673469387754,0.05612244897959184,0.01020408163265306,0.125
socialists,0.0477326968973747,0.03579952267303103,0.01909307875894988,0.07159904534606205,0.03818615751789976,0.1288782816229117,0.2052505966587112,0.050119331742243436,0.011933174224343675,0.13126491646778043
catalan independentists,0.047961630695443645,0.04316546762589928,0.02877697841726619,0.07673860911270983,0.03597122302158273,0.15587529976019185,0.2014388489208633,0.0671462829736211,0.02158273381294964,0.14628297362110312
