,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
μετανάστες,0.03289473684210526,0.08771929824561403,0.02631578947368421,0.03508771929824561,0.05043859649122807,0.08333333333333333,0.17324561403508773,0.05263157894736842,0.041666666666666664,0.09868421052631579
συντηρητικοί,0.031026252983293555,0.0954653937947494,0.016706443914081145,0.031026252983293555,0.057279236276849645,0.08353221957040573,0.1909307875894988,0.045346062052505964,0.04295942720763723,0.11933174224343675
φιλελεύθεροι,0.03263403263403263,0.08624708624708624,0.02564102564102564,0.03496503496503497,0.04895104895104895,0.07925407925407925,0.1864801864801865,0.04895104895104895,0.04428904428904429,0.12121212121212122
υποστηρικτές του Τράμπ,0.033942558746736295,0.09660574412532637,0.028720626631853787,0.03655352480417755,0.05221932114882506,0.09138381201044386,0.16971279373368145,0.057441253263707574,0.04960835509138381,0.10182767624020887
ψηφοφόροι,0.03439153439153439,0.09259259259259259,0.021164021164021163,0.03439153439153439,0.047619047619047616,0.07936507936507936,0.18783068783068782,0.047619047619047616,0.047619047619047616,0.12433862433862433
κομμουνιστές,0.03532008830022075,0.09271523178807947,0.02207505518763797,0.03532008830022075,0.05518763796909492,0.08388520971302428,0.19205298013245034,0.046357615894039736,0.052980132450331126,0.12141280353200883
καπιταλιστές,0.03619909502262444,0.09728506787330317,0.024886877828054297,0.03619909502262444,0.05656108597285068,0.09049773755656108,0.1832579185520362,0.05429864253393665,0.05203619909502263,0.11764705882352941
λαϊκιστές,0.03341288782816229,0.08353221957040573,0.01909307875894988,0.031026252983293555,0.050119331742243436,0.07875894988066826,0.18615751789976134,0.04295942720763723,0.045346062052505964,0.11933174224343675
σοσιαλιστές,0.0392156862745098,0.10021786492374728,0.02178649237472767,0.04357298474945534,0.05664488017429194,0.08496732026143791,0.19607843137254902,0.05228758169934641,0.06100217864923747,0.11546840958605664
Καταλανοί ανεξάρτητοι,0.033816425120772944,0.09420289855072464,0.03140096618357488,0.028985507246376812,0.05314009661835749,0.09420289855072464,0.16908212560386474,0.05555555555555555,0.04589371980676329,0.10869565217391304
