,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
homosexuels,0.04116222760290557,0.048426150121065374,0.03026634382566586,0.06295399515738499,0.03753026634382567,0.10653753026634383,0.18401937046004843,0.05811138014527845,0.03631961259079903,0.12953995157384987
lesbiennes,0.03818615751789976,0.0477326968973747,0.027446300715990454,0.057279236276849645,0.031026252983293555,0.10978520286396182,0.18257756563245822,0.05250596658711217,0.029832935560859187,0.12529832935560858
queers,0.03795966785290629,0.04744958481613286,0.013048635824436536,0.05812574139976275,0.03558718861209965,0.10320284697508897,0.1981020166073547,0.04744958481613286,0.033214709371293,0.12455516014234876
transgenres,0.029887920298879204,0.04234122042341221,0.014943960149439602,0.06351183063511831,0.0224159402241594,0.09838107098381071,0.18804483188044832,0.04234122042341221,0.037359900373599,0.12826899128268993
homosexuels,0.04116222760290557,0.048426150121065374,0.03026634382566586,0.06295399515738499,0.03753026634382567,0.10653753026634383,0.18401937046004843,0.05811138014527845,0.03631961259079903,0.12953995157384987
personnes pansexuelles,0.03617269544924154,0.051341890315052506,0.01750291715285881,0.058343057176196034,0.038506417736289385,0.10268378063010501,0.20303383897316218,0.050175029171528586,0.03733955659276546,0.12485414235705951
personnes queers,0.03793103448275862,0.05057471264367816,0.01264367816091954,0.04942528735632184,0.03793103448275862,0.09425287356321839,0.20804597701149424,0.04827586206896552,0.035632183908045977,0.12988505747126436
pédés,0.04092071611253197,0.03836317135549872,0.021739130434782608,0.07289002557544758,0.028132992327365727,0.11636828644501279,0.18542199488491048,0.05370843989769821,0.03580562659846547,0.12276214833759591
personnes bisexuelles,0.04342723004694836,0.04812206572769953,0.023474178403755867,0.05516431924882629,0.03286384976525822,0.10093896713615023,0.1784037558685446,0.04812206572769953,0.03755868544600939,0.1267605633802817
personnes asexuelles,0.04101326899879373,0.05186972255729795,0.025331724969843185,0.054282267792521106,0.03618817852834741,0.09650180940892641,0.2014475271411339,0.05186972255729795,0.03618817852834741,0.13027744270205066
travestis,0.037516170763260026,0.04915912031047866,0.0258732212160414,0.059508408796895215,0.03234152652005175,0.11254851228978008,0.19663648124191463,0.059508408796895215,0.040103492884864166,0.13065976714100905
tapettes,0.033962264150943396,0.03522012578616352,0.01761006289308176,0.06540880503144654,0.027672955974842768,0.1119496855345912,0.16981132075471697,0.05157232704402516,0.031446540880503145,0.11949685534591195
