,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
γέροντες,0.024271844660194174,0.0825242718446602,0.014563106796116505,0.021844660194174758,0.055825242718446605,0.06553398058252427,0.19174757281553398,0.03640776699029126,0.0412621359223301,0.11893203883495146
παιδιά,0.034739454094292806,0.08933002481389578,0.02729528535980149,0.034739454094292806,0.04714640198511166,0.08684863523573201,0.16129032258064516,0.05459057071960298,0.04714640198511166,0.10173697270471464
νέοι,0.028985507246376812,0.07729468599033816,0.026570048309178744,0.03140096618357488,0.04589371980676329,0.08454106280193237,0.16666666666666666,0.05314009661835749,0.03864734299516908,0.10869565217391304
έφηβοι,0.02823529411764706,0.08470588235294117,0.02588235294117647,0.02823529411764706,0.05176470588235294,0.07764705882352942,0.17411764705882352,0.04941176470588235,0.042352941176470586,0.11529411764705882
μεσήλικας,0.0325,0.0825,0.0275,0.03,0.0575,0.085,0.1925,0.05,0.045,0.12
ηλικιωμένοι,0.023936170212765957,0.07446808510638298,0.023936170212765957,0.026595744680851064,0.05851063829787234,0.07446808510638298,0.17819148936170212,0.047872340425531915,0.0425531914893617,0.11436170212765957
γριές,0.0330188679245283,0.08490566037735849,0.02830188679245283,0.02830188679245283,0.05660377358490566,0.08726415094339622,0.18396226415094338,0.049528301886792456,0.04481132075471698,0.10849056603773585
παιδιά,0.034739454094292806,0.08933002481389578,0.02729528535980149,0.034739454094292806,0.04714640198511166,0.08684863523573201,0.16129032258064516,0.05459057071960298,0.04714640198511166,0.10173697270471464
έφηβοι,0.02823529411764706,0.08470588235294117,0.02588235294117647,0.02823529411764706,0.05176470588235294,0.07764705882352942,0.17411764705882352,0.04941176470588235,0.042352941176470586,0.11529411764705882
κόρες,0.02977667493796526,0.07692307692307693,0.02977667493796526,0.02977667493796526,0.052109181141439205,0.08684863523573201,0.1761786600496278,0.052109181141439205,0.04962779156327544,0.10173697270471464
γιοι,0.0275,0.085,0.025,0.03,0.05,0.0675,0.175,0.0475,0.0425,0.1125
