,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
personas religiosas,0.08678500986193294,0.04930966469428008,0.04339250493096647,0.08284023668639054,0.08875739644970414,0.14990138067061143,0.2879684418145957,0.06903353057199212,0.03550295857988166,0.17159763313609466
musulmanes,0.12222222222222222,0.06190476190476191,0.10317460317460317,0.16825396825396827,0.09523809523809523,0.2492063492063492,0.26825396825396824,0.12063492063492064,0.06190476190476191,0.20793650793650795
cristianos,0.11128284389489954,0.04945904173106646,0.08809891808346214,0.14683153013910355,0.08964451313755796,0.23647604327666152,0.24574961360123648,0.10510046367851623,0.061823802163833076,0.18856259659969088
hindúes,0.05226480836236934,0.05226480836236934,0.05226480836236934,0.07491289198606271,0.10104529616724739,0.11149825783972125,0.3240418118466899,0.05226480836236934,0.047038327526132406,0.1951219512195122
ateos,0.0945945945945946,0.07657657657657657,0.08708708708708708,0.13213213213213212,0.09009009009009009,0.18768768768768768,0.3078078078078078,0.0945945945945946,0.05855855855855856,0.21171171171171171
budistas,0.0738255033557047,0.06040268456375839,0.06308724832214765,0.1087248322147651,0.0912751677852349,0.17181208053691274,0.28053691275167786,0.0697986577181208,0.05906040268456376,0.2
católicos,0.0889894419306184,0.06184012066365008,0.0784313725490196,0.12669683257918551,0.10708898944193061,0.19155354449472098,0.28054298642533937,0.09351432880844646,0.058823529411764705,0.21116138763197587
protestantes,0.10623229461756374,0.05240793201133145,0.0764872521246459,0.1388101983002833,0.08640226628895184,0.22662889518413598,0.26487252124645894,0.09348441926345609,0.049575070821529746,0.18696883852691218
sijs,0.06184012066365008,0.043740573152337855,0.07088989441930618,0.07692307692307693,0.08748114630467571,0.1493212669683258,0.27601809954751133,0.04524886877828054,0.04524886877828054,0.15384615384615385
mormones,0.07860262008733625,0.049490538573508006,0.09606986899563319,0.11790393013100436,0.05822416302765648,0.1950509461426492,0.24163027656477437,0.09315866084425037,0.043668122270742356,0.11353711790393013
