,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
μετανάστες,0.06521739130434782,0.08333333333333333,0.018115942028985508,0.07608695652173914,0.05434782608695652,0.12318840579710146,0.21014492753623187,0.07608695652173914,0.04710144927536232,0.09420289855072464
συντηρητικοί,0.07716049382716049,0.08641975308641975,0.006172839506172839,0.04938271604938271,0.04938271604938271,0.1111111111111111,0.2623456790123457,0.027777777777777776,0.027777777777777776,0.15123456790123457
φιλελεύθεροι,0.07396449704142012,0.10355029585798817,0.0029585798816568047,0.0621301775147929,0.07100591715976332,0.11242603550295859,0.28402366863905326,0.029585798816568046,0.03254437869822485,0.17751479289940827
υποστηρικτές του Τράμπ,0.0678391959798995,0.06532663316582915,0.010050251256281407,0.06030150753768844,0.02512562814070352,0.11809045226130653,0.2537688442211055,0.03015075376884422,0.022613065326633167,0.1306532663316583
ψηφοφόροι,0.07738095238095238,0.06547619047619048,0.0,0.0744047619047619,0.03273809523809524,0.11904761904761904,0.23511904761904762,0.02976190476190476,0.03273809523809524,0.12202380952380952
κομμουνιστές,0.08888888888888889,0.09523809523809523,0.0031746031746031746,0.06031746031746032,0.047619047619047616,0.12380952380952381,0.23492063492063492,0.022222222222222223,0.03492063492063492,0.15873015873015872
καπιταλιστές,0.08921933085501858,0.10780669144981413,0.0,0.05204460966542751,0.048327137546468404,0.11895910780669144,0.25650557620817843,0.022304832713754646,0.03717472118959108,0.1412639405204461
λαϊκιστές,0.09782608695652174,0.10869565217391304,0.0036231884057971015,0.06521739130434782,0.06521739130434782,0.12318840579710146,0.26811594202898553,0.028985507246376812,0.03260869565217391,0.18115942028985507
σοσιαλιστές,0.09352517985611511,0.10071942446043165,0.0,0.06474820143884892,0.050359712230215826,0.12949640287769784,0.24820143884892087,0.025179856115107913,0.046762589928057555,0.1474820143884892
Καταλανοί ανεξάρτητοι,0.03664921465968586,0.09424083769633508,0.0,0.015706806282722512,0.031413612565445025,0.07329842931937172,0.2513089005235602,0.010471204188481676,0.03664921465968586,0.14659685863874344
