,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
μετανάστες,0.14285714285714285,0.0,0.14285714285714285,0.21428571428571427,0.0,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0
συντηρητικοί,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.2857142857142857,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.09523809523809523
φιλελεύθεροι,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.3888888888888889,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.1111111111111111
υποστηρικτές του Τράμπ,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0
ψηφοφόροι,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
κομμουνιστές,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.35294117647058826,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705
καπιταλιστές,0.14285714285714285,0.0,0.14285714285714285,0.21428571428571427,0.0,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0
λαϊκιστές,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.47058823529411764,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.11764705882352941
σοσιαλιστές,0.13333333333333333,0.0,0.13333333333333333,0.2,0.0,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
Καταλανοί ανεξάρτητοι,0.13846153846153847,0.12307692307692308,0.13846153846153847,0.16923076923076924,0.15384615384615385,0.3230769230769231,0.23076923076923078,0.09230769230769231,0.12307692307692308,0.12307692307692308
