,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
students,0.04030226700251889,0.05037783375314862,0.017632241813602016,0.06801007556675064,0.030226700251889168,0.1385390428211587,0.17632241813602015,0.060453400503778336,0.017632241813602016,0.10075566750629723
politicians,0.056433408577878104,0.033860045146726865,0.04288939051918736,0.07900677200902935,0.01580135440180587,0.15575620767494355,0.2144469525959368,0.06320541760722348,0.022573363431151242,0.12415349887133183
doctors,0.03669724770642202,0.04128440366972477,0.03211009174311927,0.07110091743119266,0.022935779816513763,0.12614678899082568,0.19495412844036697,0.05963302752293578,0.01834862385321101,0.15137614678899083
business men,0.03879310344827586,0.04741379310344827,0.021551724137931036,0.07758620689655173,0.03017241379310345,0.11853448275862069,0.1961206896551724,0.05818965517241379,0.01293103448275862,0.11637931034482758
librarians,0.035940803382663845,0.046511627906976744,0.03805496828752643,0.07399577167019028,0.02536997885835095,0.1331923890063425,0.17970401691331925,0.0613107822410148,0.010570824524312896,0.10570824524312897
artists,0.03944315545243619,0.05104408352668213,0.02320185614849188,0.07424593967517401,0.02320185614849188,0.12761020881670534,0.19721577726218098,0.058004640371229696,0.018561484918793503,0.10440835266821345
professors,0.040865384615384616,0.055288461538461536,0.019230769230769232,0.06490384615384616,0.028846153846153848,0.12980769230769232,0.19951923076923078,0.057692307692307696,0.014423076923076924,0.12980769230769232
priests,0.041666666666666664,0.044270833333333336,0.026041666666666668,0.08333333333333333,0.0234375,0.1328125,0.21614583333333334,0.0546875,0.015625,0.125
bosses,0.046153846153846156,0.06153846153846154,0.03296703296703297,0.08351648351648351,0.03956043956043956,0.15384615384615385,0.1978021978021978,0.06153846153846154,0.024175824175824177,0.13186813186813187
police,0.05829596412556054,0.05829596412556054,0.04035874439461883,0.10762331838565023,0.02466367713004484,0.16591928251121077,0.1681614349775785,0.07174887892376682,0.02914798206278027,0.13004484304932734
police officers,0.05200945626477541,0.06382978723404255,0.02127659574468085,0.07565011820330969,0.026004728132387706,0.14184397163120568,0.1938534278959811,0.05673758865248227,0.016548463356973995,0.14420803782505912
soldiers,0.05102040816326531,0.04846938775510204,0.02040816326530612,0.07908163265306123,0.030612244897959183,0.14795918367346939,0.21683673469387754,0.0663265306122449,0.017857142857142856,0.125
scientists,0.03571428571428571,0.03571428571428571,0.02806122448979592,0.07142857142857142,0.02040816326530612,0.11734693877551021,0.21428571428571427,0.06887755102040816,0.017857142857142856,0.12755102040816327
physicians,0.039735099337748346,0.04415011037527594,0.026490066225165563,0.0684326710816777,0.02207505518763797,0.12141280353200883,0.18543046357615894,0.059602649006622516,0.017660044150110375,0.15011037527593818
cashiers,0.04219409282700422,0.07172995780590717,0.04008438818565401,0.07383966244725738,0.035864978902953586,0.14135021097046413,0.18143459915611815,0.052742616033755275,0.023206751054852322,0.10759493670886076
housekeepers,0.03125,0.057692307692307696,0.028846153846153848,0.055288461538461536,0.021634615384615384,0.11538461538461539,0.18990384615384615,0.04567307692307692,0.009615384615384616,0.11298076923076923
teachers,0.03937007874015748,0.04461942257217848,0.026246719160104987,0.06561679790026247,0.023622047244094488,0.14960629921259844,0.19160104986876642,0.06561679790026247,0.007874015748031496,0.12598425196850394
janitors,0.04316546762589928,0.05995203836930456,0.02877697841726619,0.07434052757793765,0.026378896882494004,0.13189448441247004,0.18465227817745802,0.05275779376498801,0.009592326139088728,0.09592326139088729
models,0.042352941176470586,0.05411764705882353,0.02588235294117647,0.0611764705882353,0.03294117647058824,0.13411764705882354,0.17882352941176471,0.05647058823529412,0.007058823529411765,0.09647058823529411
actresses,0.04106280193236715,0.05314009661835749,0.016908212560386472,0.07729468599033816,0.03140096618357488,0.13043478260869565,0.1956521739130435,0.05314009661835749,0.016908212560386472,0.10628019323671498
pilots,0.03549060542797495,0.05219206680584551,0.016701461377870562,0.06889352818371608,0.029227557411273485,0.1336116910229645,0.19624217118997914,0.04801670146137787,0.010438413361169102,0.1127348643006263
strippers,0.04225352112676056,0.046948356807511735,0.03990610328638498,0.07276995305164319,0.028169014084507043,0.15258215962441316,0.1807511737089202,0.051643192488262914,0.01643192488262911,0.11737089201877934
brokers,0.02748414376321353,0.046511627906976744,0.02536997885835095,0.05919661733615222,0.023255813953488372,0.1331923890063425,0.18816067653276955,0.05919661733615222,0.014799154334038054,0.11839323467230443
hairdressers,0.03655913978494624,0.05806451612903226,0.03870967741935484,0.06666666666666667,0.034408602150537634,0.12688172043010754,0.1913978494623656,0.04946236559139785,0.021505376344086023,0.1010752688172043
bartenders,0.02553191489361702,0.0574468085106383,0.023404255319148935,0.06595744680851064,0.02553191489361702,0.1148936170212766,0.19361702127659575,0.05106382978723404,0.027659574468085105,0.10638297872340426
diplomats,0.03070175438596491,0.04824561403508772,0.021929824561403508,0.07236842105263158,0.02850877192982456,0.11842105263157894,0.19078947368421054,0.04824561403508772,0.013157894736842105,0.1206140350877193
receptionists,0.03286384976525822,0.046948356807511735,0.01643192488262911,0.07511737089201878,0.028169014084507043,0.11737089201877934,0.20422535211267606,0.06103286384976526,0.01643192488262911,0.107981220657277
realtors,0.03278688524590164,0.06088992974238876,0.01873536299765808,0.06791569086651054,0.03278688524590164,0.12412177985948478,0.22014051522248243,0.053864168618266976,0.00936768149882904,0.13348946135831383
mathematicians,0.050666666666666665,0.032,0.037333333333333336,0.08266666666666667,0.024,0.15466666666666667,0.15466666666666667,0.09066666666666667,0.016,0.10133333333333333
barbers,0.033936651583710405,0.042986425339366516,0.038461538461538464,0.07239819004524888,0.029411764705882353,0.13800904977375567,0.18778280542986425,0.049773755656108594,0.024886877828054297,0.1085972850678733
coaches,0.040380047505938245,0.057007125890736345,0.019002375296912115,0.0688836104513064,0.026128266033254157,0.12114014251781473,0.19714964370546317,0.052256532066508314,0.009501187648456057,0.12826603325415678
business people,0.03349282296650718,0.045454545454545456,0.01674641148325359,0.06698564593301436,0.03827751196172249,0.11244019138755981,0.21770334928229665,0.050239234449760764,0.014354066985645933,0.12200956937799043
construction workers,0.041237113402061855,0.04381443298969072,0.023195876288659795,0.05154639175257732,0.030927835051546393,0.15463917525773196,0.17525773195876287,0.05412371134020619,0.007731958762886598,0.0979381443298969
managers,0.036637931034482756,0.04741379310344827,0.01939655172413793,0.05818965517241379,0.028017241379310345,0.11422413793103449,0.21767241379310345,0.05172413793103448,0.01293103448275862,0.13577586206896552
accountants,0.030805687203791468,0.04739336492890995,0.023696682464454975,0.06635071090047394,0.023696682464454975,0.11848341232227488,0.17772511848341233,0.054502369668246446,0.009478672985781991,0.12796208530805686
commanders,0.041758241758241756,0.05934065934065934,0.024175824175824177,0.07472527472527472,0.03296703296703297,0.14065934065934066,0.2,0.05714285714285714,0.017582417582417582,0.11208791208791209
firefighters,0.040268456375838924,0.05145413870246085,0.020134228187919462,0.07158836689038031,0.02237136465324385,0.14317673378076062,0.1789709172259508,0.05592841163310962,0.024608501118568233,0.11185682326621924
movers,0.031818181818181815,0.06136363636363636,0.020454545454545454,0.05454545454545454,0.031818181818181815,0.12272727272727273,0.175,0.06136363636363636,0.006818181818181818,0.10454545454545454
attorneys,0.0380952380952381,0.05238095238095238,0.023809523809523808,0.06190476190476191,0.02619047619047619,0.12142857142857143,0.1880952380952381,0.05476190476190476,0.014285714285714285,0.12857142857142856
bakers,0.034912718204488775,0.057356608478802994,0.017456359102244388,0.06234413965087282,0.032418952618453865,0.11221945137157108,0.2194513715710723,0.05486284289276808,0.0199501246882793,0.12967581047381546
athletes,0.043037974683544304,0.053164556962025315,0.020253164556962026,0.0759493670886076,0.0379746835443038,0.12658227848101267,0.19746835443037974,0.05822784810126582,0.010126582278481013,0.13164556962025317
dancers,0.030800821355236138,0.057494866529774126,0.03696098562628337,0.08213552361396304,0.028747433264887063,0.12525667351129363,0.1704312114989733,0.059548254620123205,0.02053388090349076,0.10882956878850103
carpenters,0.03643724696356275,0.0708502024291498,0.04251012145748988,0.07894736842105263,0.02631578947368421,0.1417004048582996,0.1862348178137652,0.048582995951417005,0.022267206477732792,0.10121457489878542
mechanics,0.03546099290780142,0.04018912529550828,0.018912529550827423,0.0591016548463357,0.026004728132387706,0.12056737588652482,0.1867612293144208,0.05673758865248227,0.01182033096926714,0.09456264775413711
handymen,0.03773584905660377,0.04612159329140461,0.029350104821802937,0.07127882599580712,0.029350104821802937,0.1320754716981132,0.19077568134171907,0.0649895178197065,0.016771488469601678,0.1111111111111111
musicians,0.03827751196172249,0.04066985645933014,0.0215311004784689,0.07416267942583732,0.023923444976076555,0.11722488038277512,0.1937799043062201,0.05980861244019139,0.014354066985645933,0.11004784688995216
detectives,0.05470459518599562,0.0700218818380744,0.037199124726477024,0.10065645514223195,0.02188183807439825,0.16192560175054704,0.18161925601750548,0.07221006564551423,0.03282275711159737,0.09409190371991247
entrepreneurs,0.034324942791762014,0.07322654462242563,0.02288329519450801,0.07780320366132723,0.029748283752860413,0.12128146453089245,0.2128146453089245,0.059496567505720827,0.016018306636155607,0.11441647597254005
opera singers,0.04819277108433735,0.05060240963855422,0.021686746987951807,0.08433734939759036,0.03614457831325301,0.11566265060240964,0.2,0.07228915662650602,0.02650602409638554,0.13012048192771083
chiefs,0.049773755656108594,0.05203619909502263,0.038461538461538464,0.10180995475113122,0.027149321266968326,0.15384615384615385,0.20588235294117646,0.07013574660633484,0.027149321266968326,0.12669683257918551
