,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
personas religiosas,0.02849740932642487,0.04922279792746114,0.038860103626943004,0.06217616580310881,0.031088082901554404,0.09844559585492228,0.22797927461139897,0.046632124352331605,0.015544041450777202,0.13212435233160622
musulmanes,0.049217002237136466,0.040268456375838924,0.05145413870246085,0.07158836689038031,0.03131991051454139,0.12304250559284116,0.22595078299776286,0.06040268456375839,0.020134228187919462,0.11185682326621924
cristianos,0.047505938242280284,0.040380047505938245,0.04275534441805225,0.07600950118764846,0.026128266033254157,0.1163895486935867,0.2042755344418052,0.05938242280285035,0.0166270783847981,0.12351543942992874
hindúes,0.05139186295503212,0.057815845824411134,0.05139186295503212,0.08137044967880086,0.04068522483940043,0.12633832976445397,0.23126338329764454,0.059957173447537475,0.023554603854389723,0.13704496788008566
ateos,0.03644646924829157,0.05466970387243736,0.03644646924829157,0.07517084282460136,0.02733485193621868,0.10250569476082004,0.23462414578587698,0.05466970387243736,0.015945330296127564,0.13211845102505695
budistas,0.05301204819277108,0.04819277108433735,0.043373493975903614,0.0819277108433735,0.03132530120481928,0.12048192771084337,0.2289156626506024,0.05783132530120482,0.014457831325301205,0.13734939759036144
católicos,0.041463414634146344,0.05121951219512195,0.046341463414634146,0.07073170731707316,0.02926829268292683,0.10975609756097561,0.22195121951219512,0.04878048780487805,0.014634146341463415,0.14146341463414633
protestantes,0.0468384074941452,0.04918032786885246,0.04215456674473068,0.0702576112412178,0.0351288056206089,0.1053864168618267,0.23185011709601874,0.053864168618266976,0.01873536299765808,0.1405152224824356
sijs,0.04611650485436893,0.055825242718446605,0.050970873786407765,0.0825242718446602,0.03398058252427184,0.12378640776699029,0.22815533980582525,0.06553398058252427,0.01699029126213592,0.1383495145631068
mormones,0.0468384074941452,0.05152224824355972,0.0585480093676815,0.07259953161592506,0.03278688524590164,0.1288056206088993,0.23185011709601874,0.0585480093676815,0.01639344262295082,0.13348946135831383
