,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ομοφυλόφιλοι,9.0,11.0,0.0,4.0,3.0,23.0,10.0,13.0,11.0,3.0
λεσβίες,8.0,11.0,0.0,5.0,3.0,18.0,14.0,10.0,10.0,3.0
queer άτομα,9.0,17.0,0.0,5.0,8.0,24.0,28.0,10.0,10.0,8.0
τρανσέξουαλ,12.0,13.0,0.0,6.0,5.0,21.0,24.0,11.0,11.0,2.0
ομοφυλόφιλοι,9.0,11.0,0.0,4.0,3.0,23.0,10.0,13.0,11.0,3.0
πανσεξουαλικοί,8.0,8.0,0.0,4.0,2.0,20.0,7.0,9.0,10.0,1.0
αλλόφυλόφιλοι,5.0,10.0,0.0,4.0,2.0,21.0,7.0,13.0,10.0,1.0
πούστιδες,10.0,16.0,0.0,5.0,6.0,19.0,23.0,10.0,10.0,2.0
αμφιφυλόφιλοι,7.0,10.0,0.0,5.0,2.0,22.0,8.0,14.0,10.0,1.0
ασέξουαλ,12.0,12.0,0.0,6.0,5.0,19.0,24.0,11.0,10.0,3.0
παρενδυτικoί,13.0,16.0,1.0,6.0,10.0,19.0,23.0,11.0,11.0,6.0
πούστιδες,10.0,16.0,0.0,5.0,6.0,19.0,23.0,10.0,10.0,2.0
