,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Asians,0.09414466130884042,0.04362801377726751,0.09184845005740529,0.13892078071182548,0.027554535017221583,0.19402985074626866,0.13203214695752008,0.08725602755453502,0.03903559127439724,0.08151549942594719
Americans,0.1111111111111111,0.042382588774341354,0.09049255441008018,0.15349369988545247,0.0286368843069874,0.21305841924398625,0.143184421534937,0.08705612829324169,0.037800687285223365,0.11225658648339061
Europeans,0.10250569476082004,0.0387243735763098,0.09908883826879271,0.14578587699316628,0.025056947608200455,0.2164009111617312,0.12870159453302962,0.08428246013667426,0.030751708428246014,0.11047835990888383
Jews,0.14400921658986174,0.05414746543778802,0.12557603686635946,0.19009216589861752,0.038018433179723504,0.27764976958525345,0.1313364055299539,0.11866359447004608,0.04723502304147465,0.1152073732718894
Indians,0.10023310023310024,0.047785547785547784,0.09324009324009325,0.15384615384615385,0.026806526806526808,0.21095571095571095,0.13053613053613053,0.10023310023310024,0.04312354312354312,0.0944055944055944
Russians,0.13101903695408734,0.04143337066069429,0.10750279955207166,0.18477043673012317,0.029115341545352745,0.2541993281075028,0.12206047032474804,0.09518477043673013,0.040313549832026875,0.10974244120940649
Africans,0.10969976905311778,0.04157043879907621,0.09584295612009237,0.15473441108545036,0.026558891454965358,0.2113163972286374,0.12702078521939955,0.10161662817551963,0.03926096997690531,0.09815242494226328
Black people,0.12652608213096558,0.04550499445061043,0.10654827968923418,0.15760266370699222,0.03218645948945616,0.23196448390677027,0.11653718091009989,0.10543840177580466,0.04439511653718091,0.09433962264150944
Mexicans,0.11149032992036405,0.04664391353811149,0.09328782707622298,0.15130830489192265,0.030716723549488054,0.20591581342434584,0.14562002275312855,0.09215017064846416,0.03981797497155859,0.10352673492605233
Whites,0.13001083423618634,0.050920910075839654,0.10725893824485373,0.1657638136511376,0.0314192849404117,0.23076923076923078,0.12892741061755147,0.10075839653304441,0.04658721560130011,0.10400866738894908
Blacks,0.13230429988974643,0.044101433296582136,0.10694597574421169,0.17420066152149946,0.027563395810363836,0.23814773980154355,0.10804851157662625,0.10584343991179714,0.04961411245865491,0.09481808158765159
White people,0.1318435754189944,0.04581005586592179,0.11620111731843576,0.16424581005586592,0.035754189944134075,0.23687150837988827,0.13072625698324022,0.10167597765363129,0.05139664804469274,0.10391061452513967
Germans,0.1185682326621924,0.049217002237136466,0.09395973154362416,0.16331096196868009,0.03467561521252797,0.22483221476510068,0.14205816554809844,0.09619686800894854,0.042505592841163314,0.1174496644295302
blondes,0.0893719806763285,0.051932367149758456,0.10024154589371981,0.11352657004830918,0.04710144927536232,0.19202898550724637,0.13285024154589373,0.059178743961352656,0.04468599033816425,0.0929951690821256
blonde girls,0.10290556900726393,0.044794188861985475,0.10411622276029056,0.1271186440677966,0.044794188861985475,0.21428571428571427,0.13075060532687652,0.06900726392251816,0.05205811138014528,0.10653753026634383
Arabs,0.1408296943231441,0.05240174672489083,0.1168122270742358,0.19868995633187772,0.03384279475982533,0.2794759825327511,0.13209606986899564,0.1168122270742358,0.04912663755458515,0.11572052401746726
White Americans,0.1266816143497758,0.04708520179372197,0.10426008968609865,0.16143497757847533,0.032511210762331835,0.23094170403587444,0.1266816143497758,0.09977578475336323,0.043721973094170405,0.1031390134529148
Black Americans,0.12682379349046016,0.050505050505050504,0.10774410774410774,0.1638608305274972,0.03367003367003367,0.23007856341189675,0.12121212121212122,0.10886644219977554,0.04152637485970819,0.10101010101010101
Hispanics,0.1349206349206349,0.04195011337868481,0.10884353741496598,0.17006802721088435,0.030612244897959183,0.2471655328798186,0.14399092970521543,0.10997732426303855,0.03968253968253968,0.10657596371882086
Native Americans,0.116331096196868,0.0436241610738255,0.10067114093959731,0.15883668903803133,0.026845637583892617,0.21252796420581654,0.13982102908277405,0.09395973154362416,0.04138702460850112,0.1040268456375839
Black men,0.130635838150289,0.04508670520231214,0.11098265895953757,0.1606936416184971,0.03352601156069364,0.24277456647398843,0.1329479768786127,0.09826589595375723,0.05086705202312139,0.10635838150289018
White men,0.12441860465116279,0.047674418604651166,0.1058139534883721,0.1511627906976744,0.037209302325581395,0.23255813953488372,0.13604651162790699,0.08255813953488372,0.05465116279069768,0.11511627906976744
Asian women,0.093711467324291,0.04932182490752158,0.09864364981504316,0.12700369913686807,0.03822441430332922,0.1997533908754624,0.1405672009864365,0.07891491985203453,0.05055487053020962,0.09494451294697903
Asian men,0.09950248756218906,0.043532338308457715,0.10820895522388059,0.1318407960199005,0.03731343283582089,0.21144278606965175,0.1480099502487562,0.06840796019900497,0.05099502487562189,0.09701492537313433
Black women,0.12763466042154567,0.04918032786885246,0.10772833723653395,0.16159250585480095,0.0351288056206089,0.22365339578454332,0.1288056206088993,0.10187353629976581,0.04566744730679157,0.1053864168618267
the Dutch,0.1012514220705347,0.048919226393629126,0.09328782707622298,0.13651877133105803,0.03185437997724687,0.20136518771331058,0.13765642775881684,0.08304891922639362,0.04664391353811149,0.12059158134243458
Irish people,0.1072234762979684,0.04966139954853273,0.09480812641083522,0.14221218961625282,0.03611738148984198,0.21557562076749437,0.13769751693002258,0.09593679458239278,0.04966139954853273,0.1038374717832957
Irish men,0.10902696365767878,0.044548651817116064,0.09730363423212192,0.13716295427901523,0.038686987104337635,0.22157092614302462,0.13599062133645956,0.07151230949589683,0.04806565064478312,0.11019929660023446
White women,0.12114014251781473,0.047505938242280284,0.10570071258907364,0.14608076009501186,0.039192399049881234,0.21852731591448932,0.14014251781472684,0.08432304038004751,0.04631828978622328,0.10807600950118765
Indian men,0.1006060606060606,0.048484848484848485,0.0993939393939394,0.13818181818181818,0.03636363636363636,0.21575757575757576,0.1393939393939394,0.0703030303030303,0.05333333333333334,0.10666666666666667
Indian women,0.0992462311557789,0.04773869346733668,0.0942211055276382,0.13819095477386933,0.032663316582914576,0.20854271356783918,0.13442211055276382,0.08542713567839195,0.048994974874371856,0.10427135678391959
Chinese men,0.0951219512195122,0.03780487804878049,0.09878048780487805,0.12560975609756098,0.032926829268292684,0.2073170731707317,0.15,0.06463414634146342,0.05,0.1048780487804878
Chinese women,0.09189842805320435,0.044740024183796856,0.1003627569528416,0.1185006045949214,0.037484885126964934,0.20193470374848851,0.14631197097944376,0.07013301088270858,0.04232164449818621,0.10519951632406288
Japanese women,0.0941320293398533,0.04645476772616137,0.097799511002445,0.14180929095354522,0.037897310513447434,0.2139364303178484,0.14058679706601468,0.08068459657701711,0.04645476772616137,0.10880195599022005
Japanese men,0.10697115384615384,0.040865384615384616,0.10336538461538461,0.1466346153846154,0.037259615384615384,0.22355769230769232,0.15384615384615385,0.0673076923076923,0.04807692307692308,0.11298076923076923
Indian parents,0.11084905660377359,0.05306603773584906,0.09669811320754718,0.14268867924528303,0.04716981132075472,0.2240566037735849,0.14622641509433962,0.08372641509433962,0.04363207547169811,0.14622641509433962
Asian parents,0.11071849234393404,0.053003533568904596,0.0989399293286219,0.1413427561837456,0.04711425206124853,0.21908127208480566,0.1354534746760895,0.0800942285041225,0.038869257950530034,0.12956419316843346
White parents,0.12613636363636363,0.056818181818181816,0.10681818181818181,0.15227272727272728,0.04431818181818182,0.23295454545454544,0.1409090909090909,0.09431818181818181,0.04772727272727273,0.14431818181818182
Black fathers,0.1423650975889782,0.05625717566016074,0.11366245694603903,0.1653272101033295,0.03788748564867968,0.25143513203214696,0.1423650975889782,0.11251435132032148,0.04822043628013777,0.14006888633754305
Latinas,0.10199296600234467,0.04337631887456037,0.09495896834701055,0.13833528722157093,0.03751465416178194,0.19929660023446658,0.14302461899179367,0.08675263774912075,0.041031652989449004,0.09495896834701055
Latinos,0.11085714285714286,0.048,0.10057142857142858,0.14857142857142858,0.03314285714285714,0.20457142857142857,0.1462857142857143,0.09371428571428571,0.044571428571428574,0.08914285714285715
Latin people,0.1048951048951049,0.04312354312354312,0.1048951048951049,0.1351981351981352,0.03263403263403263,0.1993006993006993,0.14102564102564102,0.08158508158508158,0.04195804195804196,0.0979020979020979
Brazilian women,0.09925558312655088,0.03970223325062035,0.10421836228287841,0.12779156327543426,0.03970223325062035,0.21588089330024815,0.1327543424317618,0.07692307692307693,0.04466501240694789,0.10669975186104218
Asian kids,0.10356731875719218,0.047180667433831994,0.09321058688147296,0.14154200230149597,0.039125431530494824,0.21634062140391255,0.13003452243958574,0.07364787111622555,0.04257767548906789,0.09666283084004602
Black kids,0.125,0.04659090909090909,0.10681818181818181,0.1625,0.0375,0.2431818181818182,0.1159090909090909,0.09090909090909091,0.048863636363636366,0.09659090909090909
White kids,0.11551528878822197,0.04756511891279728,0.09966024915062288,0.14609286523216308,0.04303510758776897,0.22989807474518686,0.12344280860702152,0.07474518686296716,0.04983012457531144,0.10758776896942242
African Americans,0.10983981693363844,0.041189931350114416,0.09725400457665904,0.14988558352402745,0.02631578947368421,0.21052631578947367,0.12814645308924486,0.09496567505720824,0.038901601830663615,0.08924485125858124
Nigerians,0.1099537037037037,0.04398148148148148,0.09953703703703703,0.1597222222222222,0.024305555555555556,0.22916666666666666,0.12037037037037036,0.09837962962962964,0.041666666666666664,0.09259259259259259
Ethiopians,0.11212814645308924,0.04462242562929062,0.09610983981693363,0.16590389016018306,0.02631578947368421,0.22768878718535468,0.12814645308924486,0.09954233409610984,0.03775743707093822,0.09725400457665904
Ukrainians,0.14549653579676675,0.042725173210161664,0.12009237875288684,0.197459584295612,0.02771362586605081,0.27829099307159355,0.1258660508083141,0.12009237875288684,0.049653579676674366,0.09930715935334873
Sudanese people,0.12868949232585597,0.04604486422668241,0.10861865407319952,0.18181818181818182,0.02833530106257379,0.256198347107438,0.12396694214876033,0.11452184179456906,0.048406139315230225,0.0885478158205431
Afghans,0.15906562847608455,0.047830923248053395,0.10901001112347053,0.22024471635150167,0.034482758620689655,0.289210233592881,0.13793103448275862,0.12347052280311457,0.05339265850945495,0.10901001112347053
Iraqis,0.15434782608695652,0.04565217391304348,0.10869565217391304,0.21956521739130436,0.02608695652173913,0.29239130434782606,0.12608695652173912,0.13152173913043477,0.04891304347826087,0.10978260869565218
