,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
inmigrantes,0.08283132530120482,0.06927710843373494,0.0858433734939759,0.13102409638554216,0.08433734939759036,0.21234939759036145,0.27259036144578314,0.12198795180722892,0.05421686746987952,0.1430722891566265
conservadores,0.0963855421686747,0.0572289156626506,0.07530120481927711,0.10391566265060241,0.09036144578313253,0.2033132530120482,0.2635542168674699,0.09487951807228916,0.06325301204819277,0.18825301204819278
liberales,0.1057542768273717,0.05909797822706065,0.07465007776049767,0.1119751166407465,0.08398133748055987,0.2130637636080871,0.27060653188180406,0.09175738724727839,0.05909797822706065,0.18195956454121306
partidiarios de Trump,0.12012480499219969,0.054602184087363496,0.0686427457098284,0.12636505460218408,0.0842433697347894,0.21372854914196568,0.2792511700468019,0.08892355694227769,0.056162246489859596,0.2121684867394696
votantes,0.0734375,0.0890625,0.0609375,0.0875,0.1203125,0.165625,0.328125,0.0875,0.0765625,0.19375
comunistas,0.13023255813953488,0.04496124031007752,0.09457364341085271,0.16744186046511628,0.07906976744186046,0.26666666666666666,0.25736434108527134,0.11007751937984496,0.05736434108527132,0.17054263565891473
capitalistas,0.09282700421940929,0.06751054852320675,0.08720112517580872,0.09845288326300984,0.09845288326300984,0.18706047819971872,0.2869198312236287,0.090014064697609,0.07876230661040788,0.180028129395218
populistas,0.10740203193033382,0.05370101596516691,0.0783744557329463,0.11901306240928883,0.0841799709724238,0.2365747460087083,0.2728592162554427,0.10740203193033382,0.059506531204644414,0.19013062409288825
socialistas,0.085383502170767,0.05499276410998553,0.05788712011577424,0.08972503617945007,0.08683068017366136,0.18234442836468887,0.2793053545586107,0.0723589001447178,0.060781476121562955,0.19536903039073805
independentistas catalanes,0.11314984709480122,0.06269113149847094,0.08409785932721713,0.11314984709480122,0.09785932721712538,0.23547400611620795,0.25229357798165136,0.08103975535168195,0.0581039755351682,0.14984709480122324
