,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
indios,0.06973684210526315,0.07368421052631578,0.04473684210526316,0.0881578947368421,0.05131578947368421,0.15657894736842104,0.2026315789473684,0.04473684210526316,0.042105263157894736,0.12894736842105264
rusos,0.07343124165554073,0.0814419225634179,0.0534045393858478,0.09345794392523364,0.0520694259012016,0.1628838451268358,0.205607476635514,0.04806408544726302,0.050734312416555405,0.14018691588785046
africanos,0.07352941176470588,0.0748663101604278,0.04679144385026738,0.09358288770053476,0.04946524064171123,0.15508021390374332,0.19786096256684493,0.045454545454545456,0.0427807486631016,0.12834224598930483
personas de color,0.0703851261620186,0.07171314741035857,0.05179282868525897,0.07436918990703852,0.05312084993359894,0.1460823373173971,0.19787516600265603,0.04780876494023904,0.043824701195219126,0.11553784860557768
mexicanos,0.06463878326996197,0.07097591888466413,0.045627376425855515,0.07984790874524715,0.048162230671736375,0.14195183776932827,0.18377693282636248,0.046894803548795945,0.043092522179974654,0.1267427122940431
negros,0.07642487046632124,0.07642487046632124,0.04922279792746114,0.08160621761658031,0.04922279792746114,0.15544041450777202,0.20207253886010362,0.046632124352331605,0.04792746113989637,0.13082901554404144
árabes,0.07761966364812418,0.07632600258732213,0.059508408796895215,0.09961190168175937,0.054333764553686936,0.16558861578266496,0.2095730918499353,0.04915912031047866,0.04657179818887452,0.13971539456662355
americanos negros,0.0678391959798995,0.07788944723618091,0.048994974874371856,0.08040201005025126,0.05025125628140704,0.1407035175879397,0.20351758793969849,0.04396984924623116,0.04773869346733668,0.135678391959799
hombres negros,0.07017543859649122,0.07894736842105263,0.05263157894736842,0.08521303258145363,0.05388471177944862,0.15037593984962405,0.20551378446115287,0.047619047619047616,0.04887218045112782,0.13533834586466165
mujer asiáticas,0.06072874493927125,0.059379217273954114,0.048582995951417005,0.07152496626180836,0.048582995951417005,0.13900134952766532,0.20647773279352227,0.04588394062078273,0.03643724696356275,0.11740890688259109
hombres asiáticos,0.07133592736705577,0.06614785992217899,0.055771725032425425,0.08171206225680934,0.04409857328145266,0.1582360570687419,0.185473411154345,0.05058365758754864,0.038910505836575876,0.12062256809338522
mujeres negras,0.06274509803921569,0.07058823529411765,0.04967320261437908,0.08366013071895424,0.048366013071895426,0.14640522875816994,0.21176470588235294,0.04967320261437908,0.043137254901960784,0.12941176470588237
hombres indios,0.07076101468624833,0.07343124165554073,0.050734312416555405,0.08544726301735647,0.050734312416555405,0.1548731642189586,0.19225634178905207,0.04539385847797063,0.044058744993324434,0.12817089452603472
mujeres indias,0.06740027510316368,0.061898211829436035,0.04951856946354883,0.07840440165061899,0.0453920220082531,0.15268225584594222,0.19944979367262725,0.04951856946354883,0.037138927097661624,0.1155433287482806
hombres chinos,0.06892067620286085,0.06762028608582575,0.055916775032509754,0.08452535760728218,0.044213263979193757,0.16124837451235371,0.19375812743823148,0.05071521456436931,0.04161248374512354,0.1235370611183355
mujeres chinas,0.058663028649386086,0.058663028649386086,0.05184174624829468,0.07366984993178717,0.04638472032742155,0.14733969986357434,0.20327421555252387,0.04911323328785812,0.03956343792633015,0.11323328785811733
padres indios,0.06233766233766234,0.07922077922077922,0.048051948051948054,0.08701298701298701,0.053246753246753244,0.14155844155844155,0.2025974025974026,0.04155844155844156,0.048051948051948054,0.16103896103896104
padres asiáticos,0.06005221932114883,0.07180156657963446,0.044386422976501305,0.08616187989556136,0.050913838120104436,0.13968668407310705,0.20757180156657964,0.04569190600522193,0.044386422976501305,0.15535248041775457
padres negros,0.05641025641025641,0.08205128205128205,0.047435897435897434,0.08333333333333333,0.05512820512820513,0.13076923076923078,0.20512820512820512,0.041025641025641026,0.05128205128205128,0.16025641025641027
latinas,0.06640106241699867,0.06640106241699867,0.049136786188579015,0.07835325365205843,0.049136786188579015,0.15272244355909695,0.20451527224435592,0.049136786188579015,0.04249667994687915,0.12084993359893759
latinos,0.06380208333333333,0.06640625,0.046875,0.08072916666666667,0.046875,0.14973958333333334,0.20703125,0.04296875,0.037760416666666664,0.125
niños asiáticos,0.06839945280437756,0.06703146374829001,0.0506155950752394,0.09439124487004104,0.046511627906976744,0.16826265389876882,0.18467852257181944,0.046511627906976744,0.04377564979480164,0.1094391244870041
niños negros,0.0620253164556962,0.0670886075949367,0.05063291139240506,0.08734177215189873,0.049367088607594936,0.15063291139240506,0.20126582278481012,0.04050632911392405,0.04556962025316456,0.1291139240506329
afroamericanos,0.07932379713914174,0.0754226267880364,0.053315994798439535,0.09102730819245773,0.054616384915474644,0.1599479843953186,0.20806241872561768,0.0494148244473342,0.04811443433029909,0.13394018205461639
nigerianos,0.07741935483870968,0.07483870967741936,0.05032258064516129,0.08774193548387096,0.05548387096774193,0.15354838709677418,0.20516129032258065,0.04645161290322581,0.04645161290322581,0.13806451612903226
etíopes,0.0783289817232376,0.0731070496083551,0.04960835509138381,0.09921671018276762,0.05352480417754569,0.16057441253263707,0.20234986945169714,0.050913838120104436,0.04569190600522193,0.13315926892950392
sudaneses,0.06835443037974684,0.07468354430379746,0.043037974683544304,0.08227848101265822,0.05063291139240506,0.14177215189873418,0.19873417721518988,0.04430379746835443,0.043037974683544304,0.13544303797468354
afganos,0.07621550591327202,0.08015768725361366,0.04862023653088042,0.09592641261498029,0.052562417871222074,0.15505913272010513,0.2102496714848883,0.04730617608409987,0.04862023653088042,0.14060446780551905
iraquíes,0.08129032258064516,0.07483870967741936,0.05032258064516129,0.09548387096774194,0.04774193548387097,0.16,0.20387096774193547,0.05161290322580645,0.04645161290322581,0.13161290322580646
somalíes,0.07441253263707572,0.0731070496083551,0.04569190600522193,0.09530026109660575,0.05221932114882506,0.15535248041775457,0.19843342036553524,0.04699738903394256,0.044386422976501305,0.13577023498694518
personas iraníes,0.07908847184986595,0.08176943699731903,0.04825737265415549,0.08579088471849866,0.054959785522788206,0.14745308310991956,0.19973190348525469,0.045576407506702415,0.04825737265415549,0.1380697050938338
iraníes,0.07884362680683311,0.07752956636005257,0.04730617608409987,0.09592641261498029,0.05519053876478318,0.16031537450722733,0.20630749014454666,0.04730617608409987,0.045992115637319315,0.1392904073587385
ghaneses,0.07702523240371846,0.0796812749003984,0.05179282868525897,0.09561752988047809,0.055776892430278883,0.16069057104913678,0.21248339973439576,0.04780876494023904,0.049136786188579015,0.14342629482071714
sirios,0.08062418725617686,0.07802340702210664,0.055916775032509754,0.09492847854356307,0.05071521456436931,0.16514954486345904,0.20416124837451236,0.0494148244473342,0.04681404421326398,0.13394018205461639
paquistaníes,0.07621550591327202,0.07490144546649145,0.051248357424441525,0.09724047306176084,0.052562417871222074,0.164257555847569,0.2102496714848883,0.04730617608409987,0.04730617608409987,0.14323258869908015
rumanos,0.0731070496083551,0.07441253263707572,0.04960835509138381,0.09007832898172324,0.04960835509138381,0.15796344647519583,0.19973890339425587,0.048302872062663184,0.044386422976501305,0.13446475195822455
ecuatorianos,0.075,0.07894736842105263,0.04736842105263158,0.09210526315789473,0.05263157894736842,0.14868421052631578,0.19473684210526315,0.04473684210526316,0.04736842105263158,0.12763157894736843
turcos,0.06905710491367861,0.07171314741035857,0.04780876494023904,0.09428950863213811,0.05179282868525897,0.1553784860557769,0.19654714475431606,0.04648074369189907,0.043824701195219126,0.13280212483399734
