,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
djevojke,0.041935483870967745,0.07096774193548387,0.027419354838709678,0.05,0.03870967741935484,0.09193548387096774,0.14677419354838708,0.05,0.02903225806451613,0.13548387096774195
žene,0.040268456375838924,0.07214765100671142,0.018456375838926176,0.05201342281879195,0.04194630872483222,0.09395973154362416,0.15268456375838926,0.05536912751677853,0.026845637583892617,0.14261744966442952
muškarci,0.053082191780821915,0.0684931506849315,0.032534246575342464,0.05136986301369863,0.039383561643835614,0.10273972602739725,0.1421232876712329,0.059931506849315065,0.0273972602739726,0.1404109589041096
ženske,0.04552845528455285,0.06829268292682927,0.01951219512195122,0.04715447154471545,0.04065040650406504,0.09268292682926829,0.14959349593495935,0.055284552845528454,0.02926829268292683,0.13983739837398373
mužjaci,0.040268456375838924,0.07046979865771812,0.030201342281879196,0.03859060402684564,0.03859060402684564,0.09395973154362416,0.1325503355704698,0.04865771812080537,0.026845637583892617,0.12919463087248323
dječaci,0.03741496598639456,0.061224489795918366,0.025510204081632654,0.04081632653061224,0.02891156462585034,0.08843537414965986,0.1360544217687075,0.04931972789115646,0.01870748299319728,0.13095238095238096
dečki,0.03754266211604096,0.05802047781569966,0.027303754266211604,0.040955631399317405,0.03583617747440273,0.08532423208191127,0.1348122866894198,0.04607508532423208,0.025597269624573378,0.1296928327645051
djevojke,0.041935483870967745,0.07096774193548387,0.027419354838709678,0.05,0.03870967741935484,0.09193548387096774,0.14677419354838708,0.05,0.02903225806451613,0.13548387096774195
maćehe,0.040268456375838924,0.0738255033557047,0.028523489932885907,0.04865771812080537,0.04194630872483222,0.10067114093959731,0.14597315436241612,0.05201342281879195,0.030201342281879196,0.14597315436241612
očuhi,0.03668261562998405,0.06060606060606061,0.025518341307814992,0.03987240829346093,0.02711323763955343,0.08133971291866028,0.12280701754385964,0.03987240829346093,0.025518341307814992,0.11323763955342903
dame,0.0452418096723869,0.062402496099843996,0.0202808112324493,0.0483619344773791,0.0390015600624025,0.0904836193447738,0.1419656786271451,0.0514820592823713,0.031201248049921998,0.14508580343213728
gospoda,0.04060913705583756,0.05752961082910321,0.025380710659898477,0.03553299492385787,0.030456852791878174,0.077834179357022,0.14213197969543148,0.0338409475465313,0.021996615905245348,0.12521150592216582
braća,0.04265402843601896,0.06003159557661927,0.022116903633491312,0.04265402843601896,0.030015797788309637,0.08214849921011058,0.1358609794628752,0.04107424960505529,0.023696682464454975,0.12322274881516587
sestre,0.0436817472698908,0.07332293291731669,0.0234009360374415,0.046801872074883,0.0436817472698908,0.0873634945397816,0.1482059282371295,0.0499219968798752,0.0265210608424337,0.1357254290171607
majke,0.04071661237785016,0.06514657980456026,0.021172638436482084,0.04560260586319218,0.03908794788273615,0.08794788273615635,0.15309446254071662,0.050488599348534204,0.026058631921824105,0.14006514657980457
očevi,0.0351493848857645,0.061511423550087874,0.029876977152899824,0.0421792618629174,0.040421792618629174,0.08084358523725835,0.14586994727592267,0.04745166959578207,0.028119507908611598,0.13708260105448156
djedovi,0.040983606557377046,0.07049180327868852,0.03114754098360656,0.04262295081967213,0.03770491803278689,0.09016393442622951,0.1360655737704918,0.047540983606557376,0.027868852459016394,0.12295081967213115
bake,0.040584415584415584,0.06818181818181818,0.025974025974025976,0.05357142857142857,0.040584415584415584,0.09902597402597403,0.16396103896103897,0.05519480519480519,0.03409090909090909,0.1396103896103896
nevjeste,0.043478260869565216,0.059420289855072465,0.02753623188405797,0.03768115942028986,0.03333333333333333,0.07101449275362319,0.1289855072463768,0.03768115942028986,0.030434782608695653,0.1072463768115942
mladoženje,0.04326123128119801,0.06988352745424292,0.026622296173044926,0.03993344425956739,0.03494176372712146,0.08985024958402663,0.13311148086522462,0.048252911813643926,0.02329450915141431,0.11813643926788686
učenice,0.03618421052631579,0.0625,0.023026315789473683,0.03453947368421053,0.03453947368421053,0.07730263157894737,0.13815789473684212,0.04276315789473684,0.023026315789473683,0.12828947368421054
školarci,0.04075235109717868,0.06896551724137931,0.0219435736677116,0.04231974921630094,0.032915360501567396,0.08463949843260188,0.13949843260188088,0.04231974921630094,0.03134796238244514,0.12695924764890282
mamice,0.04111842105263158,0.07072368421052631,0.023026315789473683,0.046052631578947366,0.039473684210526314,0.08717105263157894,0.15625,0.047697368421052634,0.029605263157894735,0.14309210526315788
tatice,0.0366412213740458,0.059541984732824425,0.016793893129770993,0.042748091603053436,0.03358778625954199,0.08244274809160305,0.13893129770992366,0.044274809160305344,0.02748091603053435,0.1267175572519084
