,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gay ljudi,0.07377049180327869,0.06147540983606557,0.036885245901639344,0.05737704918032787,0.042008196721311473,0.13524590163934427,0.1403688524590164,0.060450819672131145,0.027663934426229508,0.0860655737704918
lezbijke,0.07583417593528817,0.06673407482305359,0.04044489383215369,0.054600606673407485,0.05156723963599596,0.13751263902932254,0.14054600606673406,0.06167846309403438,0.030333670374115267,0.0859453993933266
queer ljudi,0.059134107708553325,0.07286166842661035,0.027455121436114043,0.042238648363252376,0.046462513199577615,0.10665258711721225,0.14994720168954592,0.042238648363252376,0.029567053854276663,0.0897571277719113
transrodne osobe,0.06288032454361055,0.06389452332657201,0.03144016227180527,0.05070993914807302,0.04563894523326572,0.11866125760649088,0.13691683569979715,0.05476673427991886,0.028397565922920892,0.08316430020283976
homoseksualci,0.07942973523421588,0.06619144602851323,0.04175152749490835,0.06415478615071284,0.04378818737270876,0.1334012219959267,0.14358452138492872,0.059063136456211814,0.026476578411405296,0.0845213849287169
panseksualne osobe,0.06680161943319839,0.06680161943319839,0.03340080971659919,0.057692307692307696,0.04554655870445344,0.12753036437246965,0.14271255060728744,0.0597165991902834,0.02631578947368421,0.08299595141700405
pederi,0.0690010298661174,0.06488156539649846,0.03604531410916581,0.05149330587023687,0.04325437693099897,0.1380020597322348,0.13903192584963955,0.05149330587023687,0.025746652935118436,0.08650875386199794
pederi,0.0690010298661174,0.06488156539649846,0.03604531410916581,0.05149330587023687,0.04325437693099897,0.1380020597322348,0.13903192584963955,0.05149330587023687,0.025746652935118436,0.08650875386199794
biseksualne osobe,0.06510681586978637,0.06612410986775177,0.03560528992878942,0.052899287894201424,0.04781281790437437,0.12512716174974567,0.14649033570701933,0.056968463886063074,0.029501525940996948,0.08646998982706001
aseksualne osobe,0.06376518218623482,0.06781376518218624,0.032388663967611336,0.05161943319838057,0.04757085020242915,0.12246963562753037,0.1437246963562753,0.053643724696356275,0.02834008097165992,0.08704453441295547
crossdresserke,0.06834170854271357,0.06733668341708543,0.02914572864321608,0.05025125628140704,0.04924623115577889,0.1306532663316583,0.14170854271356784,0.0592964824120603,0.031155778894472363,0.0814070351758794
pederi,0.0690010298661174,0.06488156539649846,0.03604531410916581,0.05149330587023687,0.04325437693099897,0.1380020597322348,0.13903192584963955,0.05149330587023687,0.025746652935118436,0.08650875386199794
