,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
inmigrantes,0.07702702702702703,0.07162162162162163,0.05405405405405406,0.08648648648648649,0.04864864864864865,0.15945945945945947,0.2,0.043243243243243246,0.04054054054054054,0.12702702702702703
conservadores,0.07133917396745933,0.07384230287859825,0.052565707133917394,0.08760951188986232,0.05131414267834793,0.14893617021276595,0.2265331664580726,0.04505632040050062,0.04755944931163955,0.14893617021276595
liberales,0.07751937984496124,0.08139534883720931,0.05555555555555555,0.08914728682170543,0.05297157622739018,0.15762273901808785,0.22609819121447028,0.04780361757105943,0.04909560723514212,0.1511627906976744
partidiarios de Trump,0.07740324594257178,0.07990012484394507,0.05493133583021224,0.08239700374531835,0.052434456928838954,0.15980024968789014,0.2222222222222222,0.046192259675405745,0.04744069912609238,0.14606741573033707
votantes,0.0646830530401035,0.06597671410090557,0.04657179818887452,0.07632600258732213,0.04139715394566624,0.15135834411384216,0.20439844760672704,0.047865459249676584,0.037516170763260026,0.12160413971539456
comunistas,0.07456724367509987,0.07989347536617843,0.05459387483355526,0.09587217043941411,0.047936085219707054,0.15712383488681758,0.21304926764314247,0.047936085219707054,0.0492676431424767,0.14380825565912117
capitalistas,0.07627118644067797,0.06779661016949153,0.053268765133171914,0.09564164648910412,0.044794188861985475,0.16101694915254236,0.20581113801452786,0.039951573849878935,0.039951573849878935,0.1343825665859564
populistas,0.08026315789473684,0.08552631578947369,0.056578947368421055,0.0881578947368421,0.05131578947368421,0.15789473684210525,0.21052631578947367,0.04736842105263158,0.05,0.14736842105263157
socialistas,0.06942752740560293,0.07551766138855055,0.049939098660170524,0.08404384896467722,0.048721071863580996,0.146163215590743,0.21193666260657734,0.04263093788063337,0.04628501827040195,0.13763702801461633
independentistas catalanes,0.06723716381418093,0.07701711491442542,0.0488997555012225,0.08801955990220049,0.04645476772616137,0.16014669926650366,0.21271393643031786,0.04645476772616137,0.044009779951100246,0.14180929095354522
