,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
ainés,0.06528835690968444,0.04896626768226333,0.051142546245919476,0.07834602829162132,0.05331882480957562,0.1425462459194777,0.1882480957562568,0.05984766050054407,0.04352557127312296,0.10119695321001088
enfants,0.07027027027027027,0.043243243243243246,0.06054054054054054,0.07891891891891892,0.05621621621621622,0.13513513513513514,0.19027027027027027,0.05945945945945946,0.034594594594594595,0.10810810810810811
millenials,0.06070287539936102,0.04579339723109691,0.04898828541001065,0.08200212992545261,0.04898828541001065,0.13738019169329074,0.1959531416400426,0.0617678381256656,0.0362087326943557,0.10756123535676251
adolescents,0.06638115631691649,0.046038543897216275,0.05246252676659529,0.07387580299785867,0.056745182012847964,0.12955032119914348,0.19164882226980728,0.04925053533190578,0.03747323340471092,0.11134903640256959
baby-boomers,0.06223175965665236,0.05686695278969957,0.05686695278969957,0.08047210300429185,0.05793991416309013,0.14163090128755365,0.194206008583691,0.0611587982832618,0.03755364806866953,0.10085836909871244
personnes âgées,0.0635593220338983,0.048728813559322036,0.059322033898305086,0.06991525423728813,0.05296610169491525,0.13559322033898305,0.20021186440677965,0.057203389830508475,0.03389830508474576,0.11016949152542373
vieilles femmes,0.07207207207207207,0.04617117117117117,0.05405405405405406,0.08108108108108109,0.05518018018018018,0.14076576576576577,0.1858108108108108,0.057432432432432436,0.037162162162162164,0.10585585585585586
enfants,0.07027027027027027,0.043243243243243246,0.06054054054054054,0.07891891891891892,0.05621621621621622,0.13513513513513514,0.19027027027027027,0.05945945945945946,0.034594594594594595,0.10810810810810811
adolescents,0.06638115631691649,0.046038543897216275,0.05246252676659529,0.07387580299785867,0.056745182012847964,0.12955032119914348,0.19164882226980728,0.04925053533190578,0.03747323340471092,0.11134903640256959
filles,0.06526806526806526,0.039627039627039624,0.054778554778554776,0.07109557109557109,0.05827505827505827,0.1317016317016317,0.18065268065268064,0.047785547785547784,0.030303030303030304,0.09906759906759907
fils,0.06727480045610035,0.04446978335233751,0.05017103762827822,0.07981755986316989,0.05701254275940707,0.12542759407069556,0.18358038768529075,0.05815279361459521,0.039908779931584946,0.10604332953249715
