,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
gente gay,0.07620320855614973,0.07754010695187166,0.053475935828877004,0.0855614973262032,0.04946524064171123,0.1497326203208556,0.19786096256684493,0.0481283422459893,0.045454545454545456,0.1323529411764706
lesbianas,0.07681755829903979,0.06584362139917696,0.04801097393689986,0.08916323731138547,0.04663923182441701,0.15363511659807957,0.20987654320987653,0.05075445816186557,0.0411522633744856,0.13168724279835392
personas queer,0.07320261437908497,0.0784313725490196,0.050980392156862744,0.08235294117647059,0.05359477124183006,0.1477124183006536,0.20130718954248367,0.0457516339869281,0.047058823529411764,0.12810457516339868
transexuales,0.0738255033557047,0.07785234899328859,0.053691275167785234,0.09395973154362416,0.052348993288590606,0.1597315436241611,0.20939597315436242,0.05100671140939597,0.04832214765100671,0.13288590604026845
homosexuales,0.06640106241699867,0.07304116865869854,0.06108897742363878,0.09163346613545817,0.05046480743691899,0.15405046480743692,0.20849933598937584,0.05312084993359894,0.04780876494023904,0.13545816733067728
personas pansexuales,0.06864064602960969,0.07806191117092867,0.04979811574697174,0.08882907133243607,0.04979811574697174,0.15208613728129206,0.20592193808882908,0.047106325706594884,0.04979811574697174,0.13324360699865412
queers,0.07539682539682539,0.07671957671957672,0.05291005291005291,0.08994708994708994,0.051587301587301584,0.1626984126984127,0.20105820105820105,0.047619047619047616,0.04365079365079365,0.1335978835978836
maricones,0.06938775510204082,0.06938775510204082,0.04353741496598639,0.08843537414965986,0.05442176870748299,0.14285714285714285,0.1945578231292517,0.04625850340136054,0.04217687074829932,0.12108843537414966
personas bisexuales,0.06481481481481481,0.07407407407407407,0.04894179894179894,0.08862433862433862,0.04894179894179894,0.14814814814814814,0.20634920634920634,0.047619047619047616,0.046296296296296294,0.13095238095238096
personas asexuales,0.06542056074766354,0.07610146862483311,0.050734312416555405,0.08811748998664887,0.04806408544726302,0.1548731642189586,0.2082777036048064,0.04806408544726302,0.04539385847797063,0.1268357810413885
travestis,0.07513661202185792,0.07923497267759563,0.04918032786885246,0.08879781420765027,0.04918032786885246,0.15300546448087432,0.2062841530054645,0.04781420765027322,0.04644808743169399,0.1325136612021858
maricas,0.07114624505928854,0.07246376811594203,0.04743083003952569,0.09617918313570488,0.04743083003952569,0.15942028985507245,0.20553359683794467,0.04084321475625823,0.03820816864295125,0.13043478260869565
