,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Religious people,0.03316326530612245,0.025510204081632654,0.02806122448979592,0.06887755102040816,0.030612244897959183,0.1377551020408163,0.1989795918367347,0.061224489795918366,0.015306122448979591,0.10459183673469388
Muslims,0.062162162162162166,0.03783783783783784,0.02972972972972973,0.0891891891891892,0.02972972972972973,0.14864864864864866,0.1810810810810811,0.062162162162162166,0.01891891891891892,0.10270270270270271
Christians,0.040983606557377046,0.03825136612021858,0.03278688524590164,0.08469945355191257,0.040983606557377046,0.15300546448087432,0.2185792349726776,0.06284153005464481,0.01912568306010929,0.11748633879781421
Hindus,0.05187319884726225,0.0345821325648415,0.02881844380403458,0.08069164265129683,0.025936599423631124,0.13256484149855907,0.207492795389049,0.05475504322766571,0.011527377521613832,0.10662824207492795
atheists,0.05722070844686648,0.02997275204359673,0.035422343324250684,0.08174386920980926,0.021798365122615803,0.14713896457765668,0.1989100817438692,0.07901907356948229,0.027247956403269755,0.10354223433242507
Buddhists,0.05154639175257732,0.028350515463917526,0.04639175257731959,0.07474226804123711,0.01804123711340206,0.13144329896907217,0.16237113402061856,0.05670103092783505,0.01288659793814433,0.09020618556701031
Catholics,0.0392156862745098,0.029411764705882353,0.024509803921568627,0.0661764705882353,0.03676470588235294,0.12990196078431374,0.2034313725490196,0.058823529411764705,0.014705882352941176,0.11029411764705882
Protestants,0.05722070844686648,0.03814713896457766,0.035422343324250684,0.08991825613079019,0.0326975476839237,0.17166212534059946,0.19618528610354224,0.07084468664850137,0.013623978201634877,0.09536784741144415
Sikhs,0.04785894206549118,0.027707808564231738,0.042821158690176324,0.0982367758186398,0.020151133501259445,0.1561712846347607,0.20151133501259447,0.06297229219143577,0.015113350125944584,0.11083123425692695
Mormons,0.06166219839142091,0.045576407506702415,0.03753351206434316,0.08579088471849866,0.03485254691689008,0.15281501340482573,0.21179624664879357,0.06166219839142091,0.029490616621983913,0.09919571045576407
