,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Religious people,0.12457142857142857,0.053714285714285714,0.10514285714285715,0.16457142857142856,0.037714285714285714,0.24457142857142858,0.128,0.11542857142857142,0.044571428571428574,0.11428571428571428
Muslims,0.14385150812064965,0.05916473317865429,0.12180974477958237,0.19605568445475638,0.04060324825986079,0.2877030162412993,0.12529002320185614,0.12761020881670534,0.048723897911832945,0.12529002320185614
Christians,0.1289198606271777,0.059233449477351915,0.1091753774680604,0.17770034843205576,0.04413472706155633,0.27293844367015097,0.1440185830429733,0.1254355400696864,0.047619047619047616,0.1289198606271777
Hindus,0.13911060433295325,0.059293044469783354,0.11288483466362599,0.19840364880273662,0.04561003420752566,0.28278221208665905,0.13911060433295325,0.13568985176738882,0.04789053591790194,0.12428734321550741
atheists,0.14665127020785218,0.05658198614318707,0.12933025404157045,0.18013856812933027,0.04387990762124711,0.2967667436489607,0.1351039260969977,0.12124711316397228,0.04734411085450346,0.12471131639722864
Buddhists,0.12903225806451613,0.06810035842293907,0.11230585424133811,0.17204301075268819,0.052568697729988054,0.25089605734767023,0.14814814814814814,0.12066905615292713,0.053763440860215055,0.11230585424133811
Catholics,0.12630359212050984,0.06257242178447277,0.10428736964078796,0.16685979142526072,0.05098493626882966,0.24449594438006952,0.15295480880648898,0.11935110081112399,0.05214368482039398,0.15990730011587487
Protestants,0.14206437291897892,0.05438401775804662,0.11542730299667037,0.19089900110987792,0.03995560488346282,0.27524972253052166,0.14206437291897892,0.12874583795782463,0.04328523862375139,0.1320754716981132
Sikhs,0.1480225988700565,0.0576271186440678,0.11977401129943503,0.20677966101694914,0.04519774011299435,0.29491525423728815,0.1423728813559322,0.13559322033898305,0.04745762711864407,0.12768361581920903
Mormons,0.15401785714285715,0.05357142857142857,0.12388392857142858,0.20647321428571427,0.04017857142857143,0.3013392857142857,0.1328125,0.1328125,0.04799107142857143,0.13169642857142858
