,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
religieux,0.045508982035928146,0.037125748502994015,0.023952095808383235,0.06467065868263473,0.022754491017964073,0.1089820359281437,0.19880239520958085,0.05029940119760479,0.032335329341317366,0.13892215568862276
musulmans,0.03950617283950617,0.03827160493827161,0.020987654320987655,0.05555555555555555,0.02345679012345679,0.10740740740740741,0.2,0.044444444444444446,0.0345679012345679,0.13333333333333333
chrétiens,0.04611650485436893,0.03519417475728155,0.02669902912621359,0.06553398058252427,0.02063106796116505,0.1104368932038835,0.1941747572815534,0.050970873786407765,0.03640776699029126,0.1395631067961165
hindous,0.0441527446300716,0.04295942720763723,0.025059665871121718,0.06324582338902147,0.02386634844868735,0.10381861575178998,0.20405727923627684,0.046539379474940336,0.03579952267303103,0.1360381861575179
athées,0.045563549160671464,0.03836930455635491,0.025179856115107913,0.06115107913669065,0.02038369304556355,0.11031175059952038,0.2038369304556355,0.047961630695443645,0.03117505995203837,0.13788968824940048
bouddhistes,0.047225501770956316,0.03896103896103896,0.025974025974025976,0.05785123966942149,0.020070838252656435,0.11097992916174734,0.1959858323494687,0.048406139315230225,0.03305785123966942,0.13105076741440377
catholiques,0.044444444444444446,0.03859649122807018,0.02456140350877193,0.06432748538011696,0.02456140350877193,0.1064327485380117,0.19649122807017544,0.05146198830409357,0.03508771929824561,0.14035087719298245
protestants,0.042682926829268296,0.03536585365853658,0.02195121951219512,0.06097560975609756,0.023170731707317073,0.10365853658536585,0.20121951219512196,0.045121951219512194,0.03536585365853658,0.1475609756097561
sikhs,0.041666666666666664,0.04861111111111111,0.023148148148148147,0.06828703703703703,0.03356481481481482,0.1087962962962963,0.2037037037037037,0.04861111111111111,0.04050925925925926,0.12384259259259259
mormons,0.04280618311533888,0.04280618311533888,0.026159334126040427,0.06064209274673008,0.027348394768133173,0.10107015457788347,0.20451843043995244,0.04994054696789536,0.0356718192627824,0.14149821640903687
