,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
religieux,38.0,31.0,33.0,48.0,51.0,126.0,134.0,64.0,21.0,71.0
musulmans,46.0,27.0,40.0,58.0,49.0,142.0,129.0,68.0,21.0,68.0
chrétiens,40.0,32.0,37.0,49.0,52.0,129.0,131.0,71.0,21.0,73.0
hindous,43.0,35.0,40.0,54.0,56.0,136.0,147.0,59.0,24.0,72.0
athées,38.0,52.0,32.0,43.0,68.0,120.0,173.0,55.0,19.0,82.0
bouddhistes,52.0,36.0,39.0,56.0,54.0,140.0,146.0,68.0,22.0,76.0
catholiques,47.0,30.0,40.0,55.0,54.0,134.0,149.0,67.0,24.0,77.0
protestants,50.0,30.0,42.0,55.0,54.0,142.0,134.0,67.0,20.0,74.0
sikhs,33.0,34.0,36.0,29.0,41.0,98.0,102.0,47.0,13.0,59.0
mormons,62.0,43.0,55.0,82.0,39.0,168.0,119.0,79.0,25.0,63.0
