,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
religieux,0.07783783783783783,0.043243243243243246,0.04864864864864865,0.08324324324324324,0.04216216216216216,0.13945945945945945,0.16756756756756758,0.05837837837837838,0.046486486486486484,0.10270270270270271
musulmans,0.08360836083608361,0.0462046204620462,0.04950495049504951,0.10231023102310231,0.0429042904290429,0.15291529152915292,0.17491749174917492,0.06820682068206821,0.045104510451045104,0.10451045104510451
chrétiens,0.07759562841530054,0.04480874316939891,0.048087431693989074,0.08961748633879782,0.04262295081967213,0.146448087431694,0.16830601092896175,0.06994535519125683,0.041530054644808745,0.09836065573770492
hindous,0.0671067106710671,0.041804180418041806,0.047304730473047306,0.07700770077007701,0.0462046204620462,0.1353135313531353,0.18371837183718373,0.0539053905390539,0.041804180418041806,0.1001100110011001
athées,0.06573275862068965,0.03987068965517242,0.04741379310344827,0.07435344827586207,0.057112068965517244,0.13900862068965517,0.19504310344827586,0.052801724137931036,0.03125,0.12823275862068967
bouddhistes,0.08333333333333333,0.04004329004329004,0.05303030303030303,0.09415584415584416,0.03896103896103896,0.15043290043290045,0.17532467532467533,0.06168831168831169,0.049783549783549784,0.09956709956709957
catholiques,0.08047210300429185,0.043991416309012876,0.0536480686695279,0.0890557939914163,0.0407725321888412,0.148068669527897,0.17274678111587982,0.06223175965665236,0.04935622317596566,0.09871244635193133
protestants,0.08489525909592062,0.04299889746416759,0.05181918412348401,0.09151047409040794,0.04189636163175303,0.1543550165380375,0.16979051819184124,0.06725468577728776,0.040793825799338476,0.0970231532524807
sikhs,0.07394766780432309,0.040955631399317405,0.051194539249146756,0.09328782707622298,0.040955631399317405,0.14334470989761092,0.17633674630261661,0.055745164960182024,0.04209328782707622,0.10238907849829351
mormons,0.08636836628511967,0.046826222684703434,0.06347554630593132,0.09469302809573361,0.04058272632674298,0.16337148803329865,0.17793964620187305,0.06659729448491156,0.054110301768990635,0.09261186264308012
