,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
immigrants,0.06330472103004292,0.03111587982832618,0.04184549356223176,0.07296137339055794,0.03540772532188841,0.13090128755364808,0.16952789699570817,0.0536480686695279,0.043991416309012876,0.09227467811158799
conservateurs,0.06010362694300518,0.04145077720207254,0.04145077720207254,0.06632124352331606,0.04145077720207254,0.12746113989637306,0.19170984455958548,0.04559585492227979,0.03419689119170984,0.12746113989637306
libéraux,0.07626208378088077,0.03866809881847476,0.047261009667024706,0.07626208378088077,0.045112781954887216,0.13748657357679914,0.17508055853920515,0.05907626208378088,0.04189044038668099,0.10633727175080558
partisans de de Trump,0.08333333333333333,0.04220779220779221,0.05519480519480519,0.08008658008658008,0.050865800865800864,0.14393939393939395,0.17857142857142858,0.05194805194805195,0.04112554112554113,0.11147186147186147
électeurs,0.07135016465422613,0.03951701427003293,0.05159165751920966,0.07793633369923161,0.05159165751920966,0.14270032930845225,0.1734357848518112,0.05378704720087816,0.04061470911086718,0.11855104281009879
communistes,0.08333333333333333,0.03418803418803419,0.05235042735042735,0.08012820512820513,0.03952991452991453,0.14743589743589744,0.16987179487179488,0.056623931623931624,0.03952991452991453,0.09401709401709402
capitalistes,0.062436028659160696,0.038894575230296824,0.042988741044012284,0.07778915046059365,0.038894575230296824,0.14534288638689866,0.19959058341862845,0.052200614124872056,0.03480040941658137,0.13203684749232344
populistes,0.08559046587215602,0.04875406283856988,0.05850487540628386,0.07692307692307693,0.04983748645720477,0.14301191765980498,0.180931744312026,0.04983748645720477,0.04658721560130011,0.10834236186348863
socialistes,0.07419354838709677,0.03978494623655914,0.047311827956989246,0.06989247311827956,0.04408602150537634,0.13333333333333333,0.1827956989247312,0.05268817204301075,0.03763440860215054,0.11612903225806452
indépendantistes catalans,0.07270811380400422,0.0410958904109589,0.04847207586933614,0.07270811380400422,0.045310853530031614,0.13487881981032665,0.18229715489989462,0.05268703898840885,0.03898840885142255,0.10221285563751317
