anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
59.0,47.0,41.0,80.0,65.0,174.0,198.0,99.0,19.0,95.0
54.0,58.0,41.0,62.0,73.0,157.0,210.0,93.0,18.0,99.0
50.0,55.0,40.0,67.0,65.0,173.0,197.0,88.0,18.0,87.0
49.0,43.0,46.0,75.0,43.0,177.0,204.0,90.0,25.0,86.0
59.0,47.0,41.0,80.0,65.0,174.0,198.0,99.0,19.0,95.0
53.0,40.0,46.0,70.0,65.0,166.0,212.0,91.0,22.0,102.0
47.0,45.0,39.0,67.0,72.0,172.0,220.0,101.0,22.0,104.0
50.0,55.0,40.0,75.0,53.0,190.0,184.0,94.0,15.0,84.0
50.0,37.0,39.0,67.0,73.0,153.0,229.0,98.0,23.0,107.0
55.0,41.0,46.0,79.0,65.0,179.0,221.0,96.0,22.0,105.0
57.0,64.0,42.0,57.0,83.0,156.0,228.0,77.0,22.0,104.0
36.0,67.0,37.0,43.0,76.0,142.0,204.0,73.0,25.0,85.0
