,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
elders,0.03018867924528302,0.0509433962264151,0.035849056603773584,0.0660377358490566,0.03773584905660377,0.11320754716981132,0.18867924528301888,0.05660377358490566,0.011320754716981131,0.1339622641509434
kids,0.026119402985074626,0.061567164179104475,0.03544776119402985,0.07276119402985075,0.048507462686567165,0.11753731343283583,0.19776119402985073,0.054104477611940295,0.013059701492537313,0.12126865671641791
millenials,0.02857142857142857,0.05892857142857143,0.03571428571428571,0.05892857142857143,0.03571428571428571,0.09821428571428571,0.2,0.048214285714285716,0.010714285714285714,0.14107142857142857
teens,0.028462998102466792,0.056925996204933584,0.03984819734345351,0.0777988614800759,0.04364326375711575,0.12333965844402277,0.19734345351043645,0.04743833017077799,0.013282732447817837,0.1157495256166983
boomers,0.02376599634369287,0.04936014625228519,0.03290676416819013,0.062157221206581355,0.03656307129798903,0.09689213893967093,0.21572212065813529,0.054844606946983544,0.012797074954296161,0.14990859232175502
old people,0.02681992337164751,0.05938697318007663,0.034482758620689655,0.06321839080459771,0.05555555555555555,0.11877394636015326,0.19731800766283525,0.05172413793103448,0.013409961685823755,0.11877394636015326
old women,0.03435114503816794,0.05916030534351145,0.04198473282442748,0.06297709923664122,0.05343511450381679,0.11068702290076336,0.18702290076335878,0.05343511450381679,0.011450381679389313,0.11068702290076336
children,0.027624309392265192,0.06445672191528545,0.03130755064456722,0.06998158379373849,0.049723756906077346,0.11970534069981584,0.19521178637200737,0.055248618784530384,0.01289134438305709,0.10865561694290976
teenagers,0.029296875,0.044921875,0.033203125,0.068359375,0.046875,0.119140625,0.1953125,0.0546875,0.01171875,0.123046875
daughters,0.0225140712945591,0.0450281425891182,0.03564727954971857,0.06378986866791744,0.043151969981238276,0.10318949343339587,0.1951219512195122,0.0525328330206379,0.013133208255159476,0.14446529080675422
sons,0.02564102564102564,0.05128205128205128,0.03663003663003663,0.056776556776556776,0.038461538461538464,0.10073260073260074,0.20512820512820512,0.05311355311355311,0.01282051282051282,0.13186813186813187
