,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
studenti,0.06320081549439348,0.06931702344546381,0.02854230377166157,0.04892966360856269,0.04485219164118247,0.12130479102956167,0.1488277268093782,0.05402650356778797,0.02854230377166157,0.09683995922528033
političari,0.055327868852459015,0.06454918032786885,0.031762295081967214,0.036885245901639344,0.04610655737704918,0.11475409836065574,0.1526639344262295,0.0389344262295082,0.028688524590163935,0.10450819672131148
liječnici,0.07077856420626896,0.06875631951466127,0.03134479271991911,0.04954499494438827,0.044489383215369056,0.12740141557128412,0.13144590495449948,0.055611729019211326,0.029322548028311426,0.09201213346814964
poslovni ljudi,0.05717151454363089,0.06619859578736209,0.024072216649949848,0.04312938816449348,0.044132397191574725,0.11334002006018054,0.14343029087261785,0.03811434302908726,0.02106318956870612,0.09729187562688064
knjižničari,0.06822810590631365,0.06720977596741344,0.028513238289205704,0.04378818737270876,0.04786150712830957,0.13034623217922606,0.14765784114052954,0.05295315682281059,0.03054989816700611,0.10896130346232179
umjetnici,0.05804480651731161,0.06109979633401222,0.024439918533604887,0.05091649694501019,0.04175152749490835,0.10081466395112017,0.1425661914460285,0.04684317718940937,0.03054989816700611,0.08044806517311609
profesori,0.06686626746506986,0.06387225548902195,0.029940119760479042,0.041916167664670656,0.041916167664670656,0.1187624750499002,0.1497005988023952,0.04790419161676647,0.02694610778443114,0.0998003992015968
svećenici,0.07520325203252033,0.08231707317073171,0.03556910569105691,0.04878048780487805,0.051829268292682924,0.12601626016260162,0.15955284552845528,0.057926829268292686,0.036585365853658534,0.10365853658536585
šefovi,0.06018054162487462,0.05616850551654965,0.029087261785356068,0.04012036108324975,0.044132397191574725,0.11534603811434303,0.14844533600802406,0.04212637913741224,0.023069207622868605,0.10631895687061184
policajci,0.06879361914257229,0.06081754735792622,0.03290129611166501,0.047856430707876374,0.04187437686939183,0.12562313060817548,0.12861415752741776,0.0518444666001994,0.026919242273180457,0.08773678963110668
policajci,0.06879361914257229,0.06081754735792622,0.03290129611166501,0.047856430707876374,0.04187437686939183,0.12562313060817548,0.12861415752741776,0.0518444666001994,0.026919242273180457,0.08773678963110668
vojnici,0.07228915662650602,0.06526104417670683,0.03112449799196787,0.06224899598393574,0.040160642570281124,0.1285140562248996,0.14156626506024098,0.05923694779116466,0.025100401606425703,0.09538152610441768
znanstvenici,0.06653019447287616,0.06755373592630501,0.0255885363357216,0.04503582395087001,0.042988741044012284,0.12077789150460594,0.14636642784032752,0.04503582395087001,0.0255885363357216,0.09825997952917093
liječnici,0.07077856420626896,0.06875631951466127,0.03134479271991911,0.04954499494438827,0.044489383215369056,0.12740141557128412,0.13144590495449948,0.055611729019211326,0.029322548028311426,0.09201213346814964
Blagajnici,0.07172131147540983,0.06762295081967214,0.03483606557377049,0.060450819672131145,0.0471311475409836,0.1362704918032787,0.14344262295081966,0.06454918032786885,0.030737704918032786,0.08811475409836066
domaćice,0.06332992849846783,0.06741573033707865,0.028600612870275793,0.049029622063329927,0.05311542390194075,0.12257405515832483,0.14402451481103168,0.056179775280898875,0.030643513789581207,0.08682328907048008
učitelji,0.06760847628657922,0.06659939455095863,0.03128153380423814,0.045408678102926335,0.04339051463168517,0.12209889001009082,0.14026236125126135,0.05146316851664985,0.027245206861755803,0.09384460141271443
domari,0.06707317073170732,0.06707317073170732,0.03048780487804878,0.059959349593495935,0.044715447154471545,0.12398373983739837,0.15142276422764228,0.06097560975609756,0.029471544715447155,0.08841463414634146
modeli,0.06120434353405726,0.06515301085883514,0.022704837117472853,0.045409674234945706,0.04343534057255676,0.10463968410661402,0.1362290227048371,0.04837117472852912,0.029615004935834157,0.08292201382033564
glumice,0.06693306693306693,0.060939060939060936,0.029970029970029972,0.04395604395604396,0.05094905094905095,0.11388611388611389,0.14585414585414586,0.04895104895104895,0.03196803196803197,0.07592407592407592
piloti,0.057482656095143705,0.06739345887016848,0.024777006937561942,0.057482656095143705,0.03468780971258672,0.11892963330029732,0.14271555996035679,0.04757185332011893,0.02081268582755203,0.0931615460852329
striptizete,0.0730282375851996,0.06621226874391431,0.03213242453748783,0.05939629990262902,0.05258033106134372,0.12852969814995133,0.14703018500486856,0.062317429406037,0.03018500486854917,0.08471275559883155
posrednici,0.07164179104477612,0.06467661691542288,0.031840796019900496,0.05572139303482587,0.04378109452736319,0.13333333333333333,0.14527363184079603,0.05373134328358209,0.026865671641791045,0.09751243781094528
frizeri,0.05639476334340383,0.06545820745216516,0.025176233635448138,0.04229607250755287,0.0513595166163142,0.11278952668680765,0.1379657603222558,0.0513595166163142,0.030211480362537766,0.08761329305135952
barmeni,0.0688622754491018,0.06287425149700598,0.029940119760479042,0.059880239520958084,0.04590818363273453,0.12874251497005987,0.14171656686626746,0.059880239520958084,0.027944111776447105,0.08582834331337326
diplomati,0.06218144750254842,0.07033639143730887,0.029561671763506627,0.039755351681957186,0.04383282364933741,0.11518858307849134,0.15188583078491336,0.0417940876656473,0.026503567787971458,0.10601427115188583
recepcionari,0.06368159203980099,0.06766169154228856,0.027860696517412936,0.046766169154228855,0.04776119402985075,0.12437810945273632,0.1482587064676617,0.05472636815920398,0.027860696517412936,0.08855721393034825
trgovci nekretninama,0.06963249516441006,0.0609284332688588,0.030947775628626693,0.05899419729206963,0.04061895551257253,0.12572533849129594,0.14216634429400388,0.05319148936170213,0.0183752417794971,0.10638297872340426
matematičari,0.05864509605662285,0.07684529828109202,0.0262891809908999,0.046511627906976744,0.03842264914054601,0.11526794742163801,0.13245702730030334,0.055611729019211326,0.03134479271991911,0.09302325581395349
brijači,0.07149950347567031,0.06454816285998013,0.033763654419066536,0.0605759682224429,0.04667328699106256,0.13604766633565044,0.1420059582919563,0.0605759682224429,0.028798411122144985,0.08838133068520357
treneri,0.06554121151936444,0.06355511420059583,0.029791459781529295,0.04270109235352532,0.04270109235352532,0.10923535253227408,0.14498510427010924,0.04568023833167825,0.025819265143992055,0.1002979145978153
Poslovni ljudi,0.06864754098360656,0.050204918032786885,0.03381147540983607,0.04815573770491803,0.040983606557377046,0.13422131147540983,0.13729508196721313,0.050204918032786885,0.0235655737704918,0.09016393442622951
Građevinski radnici,0.06755373592630501,0.06550665301944729,0.032753326509723645,0.04912998976458546,0.04605936540429888,0.12384851586489252,0.1473899692937564,0.05629477993858751,0.02354145342886387,0.10644831115660185
menadžeri,0.06779661016949153,0.06879361914257229,0.028913260219341975,0.05084745762711865,0.04685942173479561,0.12562313060817548,0.14456630109670987,0.045862412761714856,0.024925224327018942,0.10269192422731804
računovođe,0.060903732809430254,0.07072691552062868,0.026522593320235755,0.05009823182711198,0.04518664047151277,0.12278978388998035,0.14734774066797643,0.047151277013752456,0.02455795677799607,0.11198428290766209
zapovjednici,0.06370070778564206,0.07280080889787664,0.03134479271991911,0.04954499494438827,0.0455005055611729,0.12740141557128412,0.15369059656218403,0.0455005055611729,0.027300303336703743,0.10212335692618807
vatrogasci,0.07348560079443893,0.06256206554121152,0.03277060575968222,0.0605759682224429,0.041708043694141016,0.13704071499503476,0.13902681231380337,0.06156901688182721,0.025819265143992055,0.0903674280039722
pokretači,0.066,0.068,0.029,0.053,0.046,0.125,0.144,0.052,0.03,0.099
odvjetnici,0.06906906906906907,0.07007007007007007,0.03403403403403404,0.04904904904904905,0.04504504504504504,0.12812812812812813,0.14814814814814814,0.05205205205205205,0.02902902902902903,0.1001001001001001
pekari,0.06875631951466127,0.06673407482305359,0.032355915065722954,0.05965621840242669,0.04853387259858443,0.1243680485338726,0.14661274014155712,0.05864509605662285,0.0262891809908999,0.08493427704752275
sportaši,0.06167846309403438,0.0717896865520728,0.025278058645096056,0.06572295247724974,0.041456016177957536,0.11931243680485339,0.13346814964610718,0.056622851365015166,0.025278058645096056,0.07684529828109202
plesačice,0.0748768472906404,0.061083743842364535,0.030541871921182268,0.059113300492610835,0.042364532019704436,0.12512315270935961,0.13399014778325122,0.06206896551724138,0.03152709359605911,0.0748768472906404
stolari,0.06976744186046512,0.0717896865520728,0.032355915065722954,0.055611729019211326,0.047522750252780584,0.13346814964610718,0.14762386248736098,0.05864509605662285,0.03134479271991911,0.08998988877654196
mehaničari,0.06766169154228856,0.0626865671641791,0.026865671641791045,0.05572139303482587,0.03582089552238806,0.12238805970149254,0.12736318407960198,0.05373134328358209,0.024875621890547265,0.08557213930348259
kućni majstori,0.059487179487179485,0.06769230769230769,0.028717948717948718,0.04923076923076923,0.052307692307692305,0.1117948717948718,0.14461538461538462,0.052307692307692305,0.028717948717948718,0.09743589743589744
glazbenici,0.05725567620927937,0.06219151036525173,0.02665350444225074,0.050345508390918066,0.04639684106614018,0.10760118460019744,0.1441263573543929,0.05231984205330701,0.029615004935834157,0.08588351431391905
detektivi,0.069,0.06,0.036,0.053,0.045,0.129,0.138,0.056,0.029,0.092
poduzetnici,0.061946902654867256,0.0727630285152409,0.024582104228121928,0.046214355948869225,0.049164208456243856,0.11897738446411013,0.1504424778761062,0.048180924287118974,0.025565388397246803,0.09931170108161258
operni pjevači,0.059880239520958084,0.06287425149700598,0.02694610778443114,0.04890219560878244,0.046906187624750496,0.10878243512974052,0.1377245508982036,0.04890219560878244,0.028942115768463075,0.08383233532934131
poglavice,0.07243460764587525,0.07243460764587525,0.03420523138832998,0.060362173038229376,0.04426559356136821,0.13078470824949698,0.14285714285714285,0.059356136820925554,0.028169014084507043,0.0875251509054326
odvjetnici,0.06906906906906907,0.07007007007007007,0.03403403403403404,0.04904904904904905,0.04504504504504504,0.12812812812812813,0.14814814814814814,0.05205205205205205,0.02902902902902903,0.1001001001001001
programeri softvera,0.06274900398406374,0.07071713147410359,0.02888446215139442,0.054780876494023904,0.043824701195219126,0.13047808764940239,0.14342629482071714,0.055776892430278883,0.030876494023904383,0.09661354581673307
poljoprivrednici,0.059123343527013254,0.07033639143730887,0.024464831804281346,0.047910295616717634,0.04485219164118247,0.11213047910295616,0.13353720693170235,0.05198776758409786,0.024464831804281346,0.08970438328236494
književnici,0.07106598984771574,0.06598984771573604,0.028426395939086295,0.04263959390862944,0.04568527918781726,0.1218274111675127,0.14111675126903553,0.048730964467005075,0.03654822335025381,0.08730964467005076
developeri nekretnina,0.0642570281124498,0.0823293172690763,0.02710843373493976,0.050200803212851405,0.04417670682730924,0.11546184738955824,0.14457831325301204,0.05823293172690763,0.024096385542168676,0.09738955823293173
mesari,0.06974358974358974,0.06974358974358974,0.029743589743589743,0.05641025641025641,0.052307692307692305,0.12512820512820513,0.14974358974358976,0.06256410256410257,0.028717948717948718,0.08615384615384615
električari,0.06432160804020101,0.06633165829145729,0.027135678391959798,0.053266331658291456,0.04120603015075377,0.12462311557788945,0.14170854271356784,0.054271356783919596,0.024120603015075376,0.0914572864321608
