,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
estudiantes,0.03287671232876712,0.049315068493150684,0.021917808219178082,0.052054794520547946,0.03561643835616438,0.043835616438356165,0.2191780821917808,0.038356164383561646,0.0136986301369863,0.1589041095890411
politicos,0.01834862385321101,0.05198776758409786,0.021406727828746176,0.03363914373088685,0.027522935779816515,0.03669724770642202,0.22018348623853212,0.03058103975535168,0.01529051987767584,0.1529051987767584
medicos,0.02865329512893983,0.03724928366762178,0.03724928366762178,0.045845272206303724,0.022922636103151862,0.06017191977077364,0.16905444126074498,0.045845272206303724,0.014326647564469915,0.1174785100286533
empresarios,0.04239401496259352,0.04488778054862843,0.03740648379052369,0.04987531172069826,0.017456359102244388,0.06982543640897755,0.18703241895261846,0.04987531172069826,0.014962593516209476,0.1571072319201995
bibliotecarios,0.053475935828877004,0.045454545454545456,0.0427807486631016,0.07219251336898395,0.02406417112299465,0.058823529411764705,0.20855614973262032,0.05614973262032086,0.016042780748663103,0.18181818181818182
artistas,0.03485254691689008,0.04289544235924933,0.0160857908847185,0.040214477211796246,0.032171581769437,0.032171581769437,0.2225201072386059,0.040214477211796246,0.013404825737265416,0.13404825737265416
profesores,0.051490514905149054,0.04878048780487805,0.02710027100271003,0.06233062330623306,0.02168021680216802,0.05962059620596206,0.20596205962059622,0.05962059620596206,0.016260162601626018,0.17073170731707318
sacerdotes,0.040229885057471264,0.04310344827586207,0.034482758620689655,0.05747126436781609,0.022988505747126436,0.04885057471264368,0.21839080459770116,0.04310344827586207,0.017241379310344827,0.1781609195402299
jefes,0.020348837209302327,0.0436046511627907,0.046511627906976744,0.0377906976744186,0.020348837209302327,0.061046511627906974,0.20348837209302326,0.0377906976744186,0.014534883720930232,0.1308139534883721
policias,0.024539877300613498,0.046012269938650305,0.03374233128834356,0.05521472392638037,0.024539877300613498,0.049079754601226995,0.21779141104294478,0.03987730061349693,0.015337423312883436,0.15030674846625766
oficiales de policlia,0.025,0.041666666666666664,0.044444444444444446,0.03611111111111111,0.019444444444444445,0.06388888888888888,0.19444444444444445,0.044444444444444446,0.016666666666666666,0.15555555555555556
soldados,0.03283582089552239,0.05373134328358209,0.03582089552238806,0.0626865671641791,0.026865671641791045,0.0626865671641791,0.2298507462686567,0.05373134328358209,0.01791044776119403,0.1701492537313433
científicos,0.03197674418604651,0.04941860465116279,0.03488372093023256,0.046511627906976744,0.03197674418604651,0.04941860465116279,0.2238372093023256,0.0436046511627907,0.01744186046511628,0.14825581395348839
medicos,0.02865329512893983,0.03724928366762178,0.03724928366762178,0.045845272206303724,0.022922636103151862,0.06017191977077364,0.16905444126074498,0.045845272206303724,0.014326647564469915,0.1174785100286533
cajeros,0.03291139240506329,0.05569620253164557,0.035443037974683546,0.04810126582278481,0.027848101265822784,0.06329113924050633,0.17721518987341772,0.043037974683544304,0.012658227848101266,0.1240506329113924
amos de casa,0.018072289156626505,0.0572289156626506,0.03313253012048193,0.03313253012048193,0.030120481927710843,0.05421686746987952,0.20180722891566266,0.03614457831325301,0.012048192771084338,0.12951807228915663
