,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
personas religiosas,0.06933333333333333,0.07066666666666667,0.05733333333333333,0.09733333333333333,0.052,0.16133333333333333,0.21466666666666667,0.05333333333333334,0.048,0.14133333333333334
musulmanes,0.08060109289617487,0.07377049180327869,0.06284153005464481,0.10109289617486339,0.05191256830601093,0.1680327868852459,0.21994535519125682,0.0546448087431694,0.04781420765027322,0.14617486338797814
cristianos,0.08460471567267684,0.07766990291262135,0.06102635228848821,0.10124826629680998,0.05409153952843273,0.17198335644937587,0.22052704576976423,0.052704576976421634,0.049930651872399444,0.13592233009708737
hindúes,0.07272727272727272,0.08051948051948052,0.046753246753246755,0.09350649350649351,0.05454545454545454,0.15974025974025974,0.2038961038961039,0.045454545454545456,0.048051948051948054,0.14025974025974025
ateos,0.08042895442359249,0.08310991957104558,0.054959785522788206,0.09785522788203753,0.057640750670241284,0.16353887399463807,0.2064343163538874,0.05093833780160858,0.05227882037533512,0.14209115281501342
budistas,0.08082191780821918,0.07671232876712329,0.056164383561643834,0.09452054794520548,0.057534246575342465,0.1684931506849315,0.21780821917808219,0.049315068493150684,0.049315068493150684,0.136986301369863
católicos,0.08355437665782493,0.06763925729442971,0.0649867374005305,0.09814323607427056,0.050397877984084884,0.17374005305039789,0.21485411140583555,0.0649867374005305,0.042440318302387266,0.14323607427055704
protestantes,0.08597883597883597,0.07804232804232804,0.0582010582010582,0.09788359788359788,0.05423280423280423,0.17063492063492064,0.2261904761904762,0.05423280423280423,0.051587301587301584,0.15211640211640212
sijs,0.07190412782956059,0.07057256990679095,0.05326231691078562,0.09320905459387484,0.0492676431424767,0.15712383488681758,0.20239680426098536,0.045272969374167776,0.03861517976031957,0.13315579227696406
mormones,0.07742782152230972,0.08005249343832022,0.047244094488188976,0.09317585301837271,0.05511811023622047,0.15485564304461943,0.2020997375328084,0.045931758530183726,0.045931758530183726,0.13517060367454067
