,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
elders,0.04941860465116279,0.0436046511627907,0.020348837209302327,0.08139534883720931,0.029069767441860465,0.15406976744186046,0.19186046511627908,0.05813953488372093,0.014534883720930232,0.11627906976744186
kids,0.03902439024390244,0.06341463414634146,0.024390243902439025,0.07317073170731707,0.05853658536585366,0.14390243902439023,0.2,0.05609756097560976,0.014634146341463415,0.12926829268292683
millenials,0.04025423728813559,0.059322033898305086,0.0211864406779661,0.07415254237288135,0.03177966101694915,0.12076271186440678,0.2033898305084746,0.05508474576271186,0.014830508474576272,0.13135593220338984
teens,0.047619047619047616,0.030303030303030304,0.06926406926406926,0.08225108225108226,0.030303030303030304,0.1774891774891775,0.1471861471861472,0.06926406926406926,0.015151515151515152,0.08441558441558442
boomers,0.035555555555555556,0.057777777777777775,0.02666666666666667,0.06444444444444444,0.044444444444444446,0.13333333333333333,0.22,0.04888888888888889,0.022222222222222223,0.1288888888888889
old people,0.03125,0.06009615384615385,0.02403846153846154,0.0673076923076923,0.04326923076923077,0.11778846153846154,0.20673076923076922,0.05048076923076923,0.026442307692307692,0.10096153846153846
old women,0.037296037296037296,0.037296037296037296,0.02097902097902098,0.06293706293706294,0.037296037296037296,0.10955710955710955,0.1888111888111888,0.04428904428904429,0.016317016317016316,0.09324009324009325
children,0.03667481662591687,0.061124694376528114,0.014669926650366748,0.08068459657701711,0.04645476772616137,0.13447432762836187,0.18581907090464547,0.05134474327628362,0.017114914425427872,0.11246943765281174
teenagers,0.04784688995215311,0.05263157894736842,0.03349282296650718,0.09330143540669857,0.03588516746411483,0.14832535885167464,0.20813397129186603,0.06698564593301436,0.01674641148325359,0.10287081339712918
daughters,0.046189376443418015,0.04387990762124711,0.020785219399538105,0.06928406466512702,0.046189376443418015,0.14087759815242495,0.19399538106235567,0.06004618937644342,0.016166281755196306,0.13163972286374134
sons,0.045112781954887216,0.045112781954887216,0.020050125313283207,0.07268170426065163,0.040100250626566414,0.14786967418546365,0.18546365914786966,0.05263157894736842,0.012531328320802004,0.11528822055137844
