,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Θρησκευόμενοι,0.026881720430107527,0.0967741935483871,0.010752688172043012,0.021505376344086023,0.05913978494623656,0.06451612903225806,0.1881720430107527,0.04838709677419355,0.03763440860215054,0.11827956989247312
μουσουλμάνοι,0.018072289156626505,0.060240963855421686,0.0,0.012048192771084338,0.04216867469879518,0.024096385542168676,0.1566265060240964,0.006024096385542169,0.030120481927710843,0.0963855421686747
Χριστιανοί,0.024844720496894408,0.06832298136645963,0.0,0.024844720496894408,0.055900621118012424,0.049689440993788817,0.15527950310559005,0.006211180124223602,0.043478260869565216,0.11180124223602485
Ινδουιστές,0.0196078431372549,0.08496732026143791,0.0,0.0,0.05228758169934641,0.032679738562091505,0.16993464052287582,0.013071895424836602,0.0196078431372549,0.10457516339869281
άθεοι,0.014423076923076924,0.10096153846153846,0.004807692307692308,0.009615384615384616,0.07211538461538461,0.04326923076923077,0.19230769230769232,0.028846153846153848,0.03365384615384615,0.125
Βουδιστές,0.030303030303030304,0.07272727272727272,0.006060606060606061,0.01818181818181818,0.048484848484848485,0.07878787878787878,0.14545454545454545,0.048484848484848485,0.04242424242424243,0.10303030303030303
Καθολικοί,0.019801980198019802,0.09405940594059406,0.0049504950495049506,0.0297029702970297,0.04950495049504951,0.06435643564356436,0.18811881188118812,0.034653465346534656,0.034653465346534656,0.10396039603960396
Προτεστάντες,0.02,0.06,0.0,0.013333333333333334,0.04,0.05333333333333334,0.13333333333333333,0.03333333333333333,0.013333333333333334,0.11333333333333333
Σιχ,0.0,0.09821428571428571,0.0,0.0,0.09821428571428571,0.044642857142857144,0.16964285714285715,0.03571428571428571,0.0625,0.125
Μορμόνοι,0.005291005291005291,0.07407407407407407,0.005291005291005291,0.015873015873015872,0.047619047619047616,0.047619047619047616,0.1746031746031746,0.037037037037037035,0.026455026455026454,0.1164021164021164
