,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
students,0.03187250996015936,0.025896414342629483,0.03187250996015936,0.05976095617529881,0.0398406374501992,0.13147410358565736,0.17131474103585656,0.05179282868525897,0.01195219123505976,0.08366533864541832
politicians,0.038202247191011236,0.029213483146067417,0.04269662921348315,0.06741573033707865,0.035955056179775284,0.16853932584269662,0.15056179775280898,0.06292134831460675,0.015730337078651686,0.1146067415730337
doctors,0.03711340206185567,0.03917525773195876,0.041237113402061855,0.05979381443298969,0.04329896907216495,0.13814432989690723,0.1731958762886598,0.05567010309278351,0.01443298969072165,0.1154639175257732
business men,0.02564102564102564,0.045364891518737675,0.03550295857988166,0.04339250493096647,0.05325443786982249,0.11242603550295859,0.1913214990138067,0.055226824457593686,0.013806706114398421,0.09467455621301775
librarians,0.025440313111545987,0.0410958904109589,0.0410958904109589,0.05283757338551859,0.04500978473581213,0.13111545988258316,0.17221135029354206,0.0547945205479452,0.007827788649706457,0.10176125244618395
artists,0.023483365949119372,0.0410958904109589,0.033268101761252444,0.060665362035225046,0.046966731898238745,0.1350293542074364,0.17416829745596868,0.0547945205479452,0.011741682974559686,0.10763209393346379
professors,0.028688524590163935,0.03278688524590164,0.03278688524590164,0.06147540983606557,0.045081967213114756,0.13729508196721313,0.1721311475409836,0.055327868852459015,0.012295081967213115,0.09016393442622951
priests,0.03225806451612903,0.04086021505376344,0.04086021505376344,0.05806451612903226,0.05161290322580645,0.13763440860215054,0.17204301075268819,0.05591397849462366,0.012903225806451613,0.0967741935483871
bosses,0.03420523138832998,0.03621730382293763,0.04024144869215292,0.04627766599597585,0.052313883299798795,0.13279678068410464,0.16297786720321933,0.052313883299798795,0.01609657947686117,0.08853118712273642
police,0.02729044834307992,0.04483430799220273,0.03898635477582846,0.06432748538011696,0.05263157894736842,0.14035087719298245,0.16569200779727095,0.056530214424951264,0.01364522417153996,0.0935672514619883
police officers,0.032,0.044,0.034,0.072,0.044,0.146,0.156,0.054,0.016,0.096
soldiers,0.03563941299790356,0.041928721174004195,0.03563941299790356,0.0649895178197065,0.04612159329140461,0.15513626834381553,0.16981132075471697,0.05870020964360587,0.014675052410901468,0.09014675052410902
scientists,0.026607538802660754,0.03991130820399113,0.03325942350332594,0.07317073170731707,0.037694013303769404,0.1419068736141907,0.18181818181818182,0.057649667405764965,0.015521064301552107,0.09534368070953436
physicians,0.026748971193415638,0.03909465020576132,0.03909465020576132,0.06378600823045268,0.03909465020576132,0.13580246913580246,0.16666666666666666,0.05555555555555555,0.012345679012345678,0.10493827160493827
cashiers,0.03868471953578337,0.04448742746615087,0.03288201160541586,0.04061895551257253,0.04642166344294004,0.10831721470019343,0.16634429400386846,0.04642166344294004,0.015473887814313346,0.09284332688588008
housekeepers,0.036016949152542374,0.05084745762711865,0.0423728813559322,0.07203389830508475,0.04449152542372881,0.15466101694915255,0.163135593220339,0.057203389830508475,0.014830508474576272,0.1016949152542373
teachers,0.03368421052631579,0.03368421052631579,0.035789473684210524,0.06526315789473684,0.04842105263157895,0.15368421052631578,0.17684210526315788,0.056842105263157895,0.01263157894736842,0.09894736842105263
janitors,0.035196687370600416,0.041407867494824016,0.047619047619047616,0.043478260869565216,0.045548654244306416,0.12629399585921325,0.16563146997929606,0.053830227743271224,0.014492753623188406,0.08695652173913043
models,0.03353057199211045,0.03550295857988166,0.029585798816568046,0.05128205128205128,0.04339250493096647,0.1203155818540434,0.16962524654832348,0.04930966469428008,0.011834319526627219,0.10059171597633136
actresses,0.028688524590163935,0.03483606557377049,0.03483606557377049,0.05942622950819672,0.05327868852459016,0.13319672131147542,0.18032786885245902,0.05122950819672131,0.012295081967213115,0.09221311475409837
pilots,0.029585798816568046,0.04142011834319527,0.045364891518737675,0.047337278106508875,0.04339250493096647,0.126232741617357,0.16173570019723865,0.05325443786982249,0.011834319526627219,0.08481262327416174
strippers,0.04008438818565401,0.04219409282700422,0.04430379746835443,0.046413502109704644,0.04852320675105485,0.14345991561181434,0.17088607594936708,0.05063291139240506,0.012658227848101266,0.08649789029535865
